State,latitude,longitude,Year,Funding
TOTAL,,,2001,71850706634
ALABAMA,32.799,-86.8073,2001,1205096441
ALASKA,61.385,-152.2683,2001,227988480
ARIZONA,33.7712,-111.3877,2001,1990909460
ARKANSAS,34.9513,-92.3809,2001,618218324
CALIFORNIA,36.17,-119.7462,2001,7895473833
COLORADO,39.0646,-105.3272,2001,1061188114
CONNECTICUT,41.5834,-72.7622,2001,703315579
DELAWARE,39.3498,-75.5148,2001,187754734
DISTRICT OF COLUMBIA,38.9072,-77.037,2001,596359049
FLORIDA,27.8333,-81.717,2001,3622745422
GEORGIA,32.9866,-83.6487,2001,1973334617
HAWAII,21.1098,-157.5311,2001,229367192
IDAHO,44.2394,-114.5103,2001,317431995
ILLINOIS,40.3363,-89.0022,2001,3128505463
INDIANA,39.8647,-86.2604,2001,1565548276
IOWA,42.0046,-93.214,2001,901029813
KANSAS,38.5111,-96.8005,2001,714466440
KENTUCKY,37.669,-84.6514,2001,949124657
LOUISIANA,31.1801,-91.8749,2001,1336661483
MAINE,44.6074,-69.3977,2001,327987375
MARYLAND,39.0724,-76.7902,2001,1094203563
MASSACHUSETTS,42.2373,-71.5314,2001,1908834439
MICHIGAN,43.3504,-84.5603,2001,2438946185
MINNESOTA,45.7326,-93.9196,2001,1266655860
MISSISSIPPI,32.7673,-89.6812,2001,810714107
MISSOURI,38.4623,-92.302,2001,1593065077
MONTANA,46.9048,-110.3261,2001,298360532
NEBRASKA,41.1289,-98.2883,2001,498722144
NEVADA,38.4199,-117.1219,2001,259985925
NEW HAMPSHIRE,43.4108,-71.5653,2001,326084388
NEW JERSEY,40.314,-74.5089,2001,1568266890
NEW MEXICO,34.8375,-106.2371,2001,530066506
NEW YORK,42.1497,-74.9384,2001,6011667167
NORTH CAROLINA,35.6411,-79.8431,2001,1641764159
NORTH DAKOTA,47.5362,-99.793,2001,258845309
OHIO,40.3736,-82.7755,2001,2954518787
OKLAHOMA,35.5376,-96.9247,2001,961098433
OREGON,44.5672,-122.1269,2001,911681573
PENNSYLVANIA,40.5773,-77.264,2001,3795993993
RHODE ISLAND,41.6772,-71.5101,2001,401957614
SOUTH CAROLINA,33.8191,-80.9066,2001,922375423
SOUTH DAKOTA,44.2853,-99.4632,2001,296723889
TENNESSEE,35.7449,-86.7489,2001,1326565262
TEXAS,31.106,-97.6475,2001,4760220857
UTAH,40.1135,-111.8535,2001,510599570
VERMONT,44.0407,-72.7093,2001,253879970
VIRGINIA,37.768,-78.2057,2001,1564714192
WASHINGTON,47.3917,-121.5708,2001,1253035444
WEST VIRGINIA,38.468,-80.9696,2001,520774265
WISCONSIN,44.2563,-89.6385,2001,1205201789
WYOMING,42.7475,-107.2085,2001,152676575
TOTAL,,,2002,83064184074
ALABAMA,32.799,-86.8073,2002,1387975241
ALASKA,61.385,-152.2683,2002,260180178
ARIZONA,33.7712,-111.3877,2002,2520137525
ARKANSAS,34.9513,-92.3809,2002,733650835
CALIFORNIA,36.17,-119.7462,2002,9092121808
COLORADO,39.0646,-105.3272,2002,1238777106
CONNECTICUT,41.5834,-72.7622,2002,825970250
DELAWARE,39.3498,-75.5148,2002,216149404
DISTRICT OF COLUMBIA,38.9072,-77.037,2002,663632391
FLORIDA,27.8333,-81.717,2002,4124966740
GEORGIA,32.9866,-83.6487,2002,2313606367
HAWAII,21.1098,-157.5311,2002,271216945
IDAHO,44.2394,-114.5103,2002,387946629
ILLINOIS,40.3363,-89.0022,2002,3787395383
INDIANA,39.8647,-86.2604,2002,1831992075
IOWA,42.0046,-93.214,2002,1050102995
KANSAS,38.5111,-96.8005,2002,831895259
KENTUCKY,37.669,-84.6514,2002,1097466524
LOUISIANA,31.1801,-91.8749,2002,1454436369
MAINE,44.6074,-69.3977,2002,371144771
MARYLAND,39.0724,-76.7902,2002,1248475008
MASSACHUSETTS,42.2373,-71.5314,2002,2158368561
MICHIGAN,43.3504,-84.5603,2002,2853382957
MINNESOTA,45.7326,-93.9196,2002,1491617009
MISSISSIPPI,32.7673,-89.6812,2002,914917630
MISSOURI,38.4623,-92.302,2002,1825224666
MONTANA,46.9048,-110.3261,2002,337784625
NEBRASKA,41.1289,-98.2883,2002,561372404
NEVADA,38.4199,-117.1219,2002,315850518
NEW HAMPSHIRE,43.4108,-71.5653,2002,379199766
NEW JERSEY,40.314,-74.5089,2002,1788556522
NEW MEXICO,34.8375,-106.2371,2002,609110771
NEW YORK,42.1497,-74.9384,2002,6856280172
NORTH CAROLINA,35.6411,-79.8431,2002,1942521331
NORTH DAKOTA,47.5362,-99.793,2002,293462900
OHIO,40.3736,-82.7755,2002,3346374854
OKLAHOMA,35.5376,-96.9247,2002,1129165230
OREGON,44.5672,-122.1269,2002,1045914343
PENNSYLVANIA,40.5773,-77.264,2002,4218203051
RHODE ISLAND,41.6772,-71.5101,2002,426601401
SOUTH CAROLINA,33.8191,-80.9066,2002,1086611670
SOUTH DAKOTA,44.2853,-99.4632,2002,342344861
TENNESSEE,35.7449,-86.7489,2002,1514613174
TEXAS,31.106,-97.6475,2002,5638643478
UTAH,40.1135,-111.8535,2002,594855398
VERMONT,44.0407,-72.7093,2002,276976033
VIRGINIA,37.768,-78.2057,2002,1772711389
WASHINGTON,47.3917,-121.5708,2002,1501299011
WEST VIRGINIA,38.468,-80.9696,2002,593509323
WISCONSIN,44.2563,-89.6385,2002,1357291868
WYOMING,42.7475,-107.2085,2002,182179355
TOTAL,,,2003,93351867681
ALABAMA,32.799,-86.8073,2003,1584581070
ALASKA,61.385,-152.2683,2003,280079667
ARIZONA,33.7712,-111.3877,2003,3103945066
ARKANSAS,34.9513,-92.3809,2003,829601733
CALIFORNIA,36.17,-119.7462,2003,9928105199
COLORADO,39.0646,-105.3272,2003,1416997560
CONNECTICUT,41.5834,-72.7622,2003,908683240
DELAWARE,39.3498,-75.5148,2003,226632147
DISTRICT OF COLUMBIA,38.9072,-77.037,2003,747391195
FLORIDA,27.8333,-81.717,2003,4631097940
GEORGIA,32.9866,-83.6487,2003,2618655949
HAWAII,21.1098,-157.5311,2003,296507436
IDAHO,44.2394,-114.5103,2003,443846331
ILLINOIS,40.3363,-89.0022,2003,4402319739
INDIANA,39.8647,-86.2604,2003,2012969908
IOWA,42.0046,-93.214,2003,1197441529
KANSAS,38.5111,-96.8005,2003,949612346
KENTUCKY,37.669,-84.6514,2003,1236706200
LOUISIANA,31.1801,-91.8749,2003,1658234909
MAINE,44.6074,-69.3977,2003,402203249
MARYLAND,39.0724,-76.7902,2003,1366392680
MASSACHUSETTS,42.2373,-71.5314,2003,2388397776
MICHIGAN,43.3504,-84.5603,2003,3173344267
MINNESOTA,45.7326,-93.9196,2003,1754990277
MISSISSIPPI,32.7673,-89.6812,2003,1030626853
MISSOURI,38.4623,-92.302,2003,2061996961
MONTANA,46.9048,-110.3261,2003,369708627
NEBRASKA,41.1289,-98.2883,2003,637057108
NEVADA,38.4199,-117.1219,2003,363882348
NEW HAMPSHIRE,43.4108,-71.5653,2003,408411200
NEW JERSEY,40.314,-74.5089,2003,1906148101
NEW MEXICO,34.8375,-106.2371,2003,684817087
NEW YORK,42.1497,-74.9384,2003,7590280856
NORTH CAROLINA,35.6411,-79.8431,2003,2219887909
NORTH DAKOTA,47.5362,-99.793,2003,318814767
OHIO,40.3736,-82.7755,2003,3829932878
OKLAHOMA,35.5376,-96.9247,2003,1250970587
OREGON,44.5672,-122.1269,2003,1188324467
PENNSYLVANIA,40.5773,-77.264,2003,4576009648
RHODE ISLAND,41.6772,-71.5101,2003,500204883
SOUTH CAROLINA,33.8191,-80.9066,2003,1240482040
SOUTH DAKOTA,44.2853,-99.4632,2003,373160375
TENNESSEE,35.7449,-86.7489,2003,1705965593
TEXAS,31.106,-97.6475,2003,6541541039
UTAH,40.1135,-111.8535,2003,674510076
VERMONT,44.0407,-72.7093,2003,304548823
VIRGINIA,37.768,-78.2057,2003,1952288975
WASHINGTON,47.3917,-121.5708,2003,1663743593
WEST VIRGINIA,38.468,-80.9696,2003,677382817
WISCONSIN,44.2563,-89.6385,2003,1511374487
WYOMING,42.7475,-107.2085,2003,211058170
TOTAL,,,2004,1.02331E+11
ALABAMA,32.799,-86.8073,2004,1672101861
ALASKA,61.385,-152.2683,2004,299103691
ARIZONA,33.7712,-111.3877,2004,4312713049
ARKANSAS,34.9513,-92.3809,2004,888970231
CALIFORNIA,36.17,-119.7462,2004,10825485264
COLORADO,39.0646,-105.3272,2004,1665593582
CONNECTICUT,41.5834,-72.7622,2004,965299387
DELAWARE,39.3498,-75.5148,2004,286492122
DISTRICT OF COLUMBIA,38.9072,-77.037,2004,832483943
FLORIDA,27.8333,-81.717,2004,5181788479
GEORGIA,32.9866,-83.6487,2004,3047639805
HAWAII,21.1098,-157.5311,2004,328434252
IDAHO,44.2394,-114.5103,2004,465769792
ILLINOIS,40.3363,-89.0022,2004,4949209265
INDIANA,39.8647,-86.2604,2004,2163633194
IOWA,42.0046,-93.214,2004,1359456012
KANSAS,38.5111,-96.8005,2004,980808704
KENTUCKY,37.669,-84.6514,2004,1360229743
LOUISIANA,31.1801,-91.8749,2004,1717280472
MAINE,44.6074,-69.3977,2004,423214886
MARYLAND,39.0724,-76.7902,2004,1505190669
MASSACHUSETTS,42.2373,-71.5314,2004,2603588836
