State,Total all classes,Violent crime,Property crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,Sex offenses (except forcible rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children,Driving under the influence,Liquor laws,Drunkenness,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Year,Population
ALABAMA,"208,757 ","6,492 ","20,100 ",311 ,386 ,"1,563 ","4,232 ","3,059 ","15,621 ","1,306 ",114 ,"28,388 ","2,394 ","10,974 ",17 ,"2,380 ","2,596 ","1,334 ",135 ,433 ,"16,133 ",110 ,"1,506 ","14,340 ","6,909 ","9,845 ","4,129 ",199 ,"79,847 ",1 ,52 ,443 ,2003,"4,079,102"
ALASKA,"35,754 ","1,418 ","4,462 ",22 ,103 ,110 ,"1,183 ",587 ,"3,429 ",406 ,40 ,"4,071 ",137 ,147 ,2 ,26 ,966 ,382 ,55 ,239 ,"2,045 ",0 ,343 ,"4,891 ","1,602 ",26 ,912 ,9 ,"13,764 ",2 ,2 ,253 ,2003,"631,457"
ARIZONA,"305,252 ","8,657 ","40,305 ",210 ,223 ,"1,561 ","6,663 ","5,198 ","29,615 ","5,262 ",230 ,"22,999 ","2,825 ","2,221 ",264 ,"1,614 ","9,427 ","3,123 ","2,160 ","1,785 ","32,796 ",1 ,"3,321 ","39,046 ","24,972 ",0 ,"16,830 ",718 ,"83,328 ",0 ,"3,489 ","5,371 ",2003,"5,365,487"
ARKANSAS,"120,392 ","3,290 ","10,797 ",29 ,105 ,479 ,"2,677 ","2,078 ","8,316 ",323 ,80 ,"5,212 ","1,511 ","11,730 ",3 ,931 ,907 ,"1,164 ",360 ,326 ,"9,301 ",50 ,567 ,"9,248 ","1,756 ","8,219 ","2,563 ",661 ,"50,744 ",136 ,498 ,418 ,2003,"1,790,768"
CALIFORNIA,"1,457,151 ","128,047 ","176,805 ","1,835 ","2,434 ","17,353 ","106,425 ","50,355 ","94,486 ","30,198 ","1,766 ","86,137 ","12,030 ","10,566 ","1,917 ","18,813 ","27,806 ","27,119 ","13,776 ","15,544 ","273,226 ",564 ,594 ,"184,679 ","27,092 ","97,808 ","17,255 ","5,908 ","308,795 ",0 ,"16,720 ","5,950 ",2003,"34,990,394"
COLORADO,"195,911 ","5,314 ","24,375 ",94 ,411 ,788 ,"4,021 ","2,483 ","19,235 ","2,372 ",285 ,"17,990 ","1,282 ","1,450 ",107 ,693 ,"5,550 ","1,933 ","1,010 ","1,111 ","15,054 ",3 ,"2,329 ","19,715 ","14,304 ",231 ,"11,958 ",875 ,"63,962 ",5 ,"2,695 ","3,965 ",2003,"3,238,375"
CONNECTICUT,"87,176 ","3,692 ","12,502 ",57 ,164 ,991 ,"2,480 ","1,732 ","10,017 ",650 ,103 ,"11,673 ",528 ,"1,055 ",156 ,369 ,"2,094 ",895 ,244 ,409 ,"9,744 ",16 ,998 ,"5,527 ","1,015 ",23 ,"12,522 ",32 ,"23,433 ",7 ,107 ,135 ,2003,"2,269,425"
DELAWARE,"34,912 ","2,470 ","4,860 ",15 ,117 ,477 ,"1,861 ",890 ,"3,735 ",177 ,58 ,"7,114 ",505 ,"1,934 ",191 ,327 ,935 ,372 ,157 ,76 ,"4,211 ",2 ,233 ,223 ,"1,791 ",354 ,"2,076 ",471 ,"6,512 ",0 ,98 ,0 ,2003,"813,337"
DISTRICT OF COLUMBIA,"5,421 ",68 ,77 ,1 ,1 ,20 ,46 ,0 ,37 ,40 ,0 ,133 ,1 ,0 ,0 ,17 ,21 ,25 ,0 ,1 ,108 ,0 ,0 ,29 ,"1,714 ",56 ,213 ,254 ,"2,700 ",0 ,4 ,0 ,2003,
FLORIDA,"974,805 ","52,752 ","130,353 ",701 ,"2,251 ","9,096 ","40,704 ","26,503 ","90,952 ","12,331 ",567 ,"94,188 ","5,381 ","14,123 ","1,007 ","3,978 ","8,238 ","6,760 ","7,529 ","4,137 ","136,804 ",699 ,,"56,976 ","34,223 ",,,,"417,657 ",,,,2003,"17,012,655"
GEORGIA,"265,932 ","11,837 ","32,120 ",417 ,425 ,"2,396 ","8,599 ","5,163 ","24,347 ","2,269 ",341 ,"22,076 ","4,507 ","11,154 ",179 ,"3,889 ","2,026 ","3,990 ","1,628 ","3,727 ","32,940 ",327 ,"4,080 ","24,806 ","8,850 ","4,348 ","20,936 ","1,589 ","67,899 ",607 ,486 ,"1,931 ",2003,"4,729,207"
HAWAII,"58,719 ","1,355 ","6,710 ",26 ,127 ,457 ,745 ,784 ,"4,759 ","1,151 ",16 ,"4,711 ",378 ,413 ,43 ,183 ,776 ,312 ,350 ,382 ,"3,286 ",183 ,898 ,"4,049 ","1,171 ",12 ,649 ,0 ,"27,952 ",0 ,613 ,"4,293 ",2003,"1,257,608"
IDAHO,"73,523 ","1,292 ","7,572 ",24 ,110 ,106 ,"1,052 ","1,025 ","6,004 ",426 ,117 ,"6,803 ",401 ,734 ,68 ,330 ,"1,438 ",575 ,3 ,360 ,"5,258 ",0 ,518 ,"9,355 ","5,048 ",201 ,"2,281 ",9 ,"28,442 ",0 ,778 ,"2,057 ",2003,"1,285,541"
ILLINOIS,"197,983 ","9,570 ","29,111 ",472 ,603 ,"2,909 ","5,586 ","3,325 ","17,244 ","8,402 ",140 ,"29,059 ",258 ,"1,962 ",0 ,0 ,"4,401 ","4,824 ","5,522 ","2,118 ","55,793 ","2,662 ",397 ,"5,967 ","1,018 ",0 ,"20,126 ",0 ,"25,195 ",0 ,0 ,0 ,2003,"2,898,374"
INDIANA,"208,042 ","10,610 ","22,657 ",204 ,209 ,"1,440 ","8,757 ","3,293 ","17,358 ","1,826 ",180 ,"11,373 ","1,187 ","1,871 ",19 ,"4,512 ","2,401 ","1,481 ","1,190 ","1,317 ","20,323 ",177 ,"1,924 ","28,501 ","12,502 ","16,055 ","8,158 ",175 ,"56,614 ",226 ,"1,349 ","3,420 ",2003,"4,568,601"
IOWA,"116,510 ","3,993 ","15,051 ",31 ,126 ,353 ,"3,483 ","2,191 ","12,048 ",685 ,127 ,"10,118 ",869 ,"1,658 ",172 ,220 ,"3,274 ",579 ,246 ,269 ,"10,244 ",9 ,606 ,"12,645 ","12,908 ","7,927 ","5,073 ",27 ,"29,399 ",0 ,742 ,481 ,2003,"2,662,631"
KANSAS,"54,354 ","1,147 ","4,558 ",21 ,86 ,75 ,965 ,844 ,"3,380 ",263 ,71 ,"6,692 ",277 ,"1,306 ",38 ,301 ,"1,427 ",228 ,19 ,176 ,"5,315 ",0 ,165 ,"10,723 ","4,910 ",243 ,"1,946 ",0 ,"13,893 ",0 ,0 ,990 ,2003,"1,306,978"
KENTUCKY,"60,090 ","2,157 ","7,970 ",35 ,86 ,462 ,"1,574 ","1,235 ","6,341 ",355 ,39 ,"3,680 ","1,101 ","3,226 ",70 ,"1,031 ",868 ,502 ,85 ,261 ,"8,896 ",13 ,"1,125 ","5,379 ","1,129 ","5,607 ","2,601 ",3 ,"14,089 ",0 ,132 ,165 ,2003,"1,063,935"
LOUISIANA,"219,924 ","9,938 ","28,803 ",265 ,444 ,"1,400 ","7,829 ","5,565 ","21,859 ","1,210 ",169 ,"27,821 ","1,466 ","2,793 ",28 ,"2,367 ","4,383 ","1,541 ",546 ,"1,283 ","23,602 ",131 ,"1,945 ","11,152 ","5,019 ","4,190 ","15,204 ",314 ,"73,827 ",100 ,"1,585 ","1,886 ",2003,"3,281,940"
MAINE,"55,320 ",814 ,"7,332 ",5 ,94 ,127 ,588 ,"1,257 ","5,628 ",371 ,76 ,"7,261 ",333 ,"1,060 ",34 ,306 ,"1,659 ",254 ,12 ,250 ,"5,048 ",26 ,344 ,"7,294 ","3,431 ",79 ,"1,570 ",0 ,"17,913 ",0 ,106 ,194 ,2003,"1,300,474"
MARYLAND,"324,414 ","12,215 ","38,204 ",324 ,431 ,"3,500 ","7,960 ","7,340 ","24,907 ","5,308 ",649 ,"38,816 ","1,177 ","3,455 ",400 ,245 ,"4,596 ","4,013 ","2,371 ","1,295 ","54,531 ",402 ,"2,669 ","23,558 ","6,234 ",4 ,"6,469 ",170 ,"122,187 ",64 ,561 ,778 ,2003,"5,508,909"
MASSACHUSETTS,"98,390 ","6,930 ","11,669 ",34 ,291 ,793 ,"5,812 ","2,065 ","8,819 ",680 ,105 ,"12,712 ",528 ,"1,045 ",52 ,959 ,"2,090 ",595 ,630 ,420 ,"9,397 ",13 ,"1,839 ","8,582 ","3,192 ","6,250 ","5,286 ",11 ,"25,626 ",149 ,29 ,386 ,2003,"4,488,437"
MICHIGAN,"353,346 ","16,769 ","34,325 ",468 ,"1,006 ","2,337 ","12,958 ","6,059 ","25,734 ","2,094 ",438 ,"32,345 ","1,240 ","6,199 ","1,282 ","5,619 ","4,228 ","4,584 ","1,336 ","1,376 ","33,020 ",111 ,"4,650 ","48,382 ","27,098 ",716 ,"9,867 ",292 ,"116,823 ",33 ,"1,234 ","1,817 ",2003,"9,724,692"
MINNESOTA,"155,088 ","3,377 ","22,362 ",71 ,567 ,406 ,"2,333 ","2,706 ","18,216 ","1,216 ",224 ,"13,053 ","1,586 ","3,812 ",2 ,"1,434 ","4,069 ","1,128 ",84 ,946 ,"13,040 ",22 ,443 ,"24,851 ","22,930 ",0 ,"9,603 ",62 ,"30,201 ",0 ,0 ,"2,083 ",2003,"4,217,436"
MISSISSIPPI,"100,844 ","2,024 ","10,522 ",131 ,186 ,532 ,"1,175 ","1,912 ","7,878 ",478 ,254 ,"10,239 ","1,117 ","1,680 ",546 ,723 ,999 ,685 ,102 ,282 ,"10,697 ",423 ,"3,195 ","11,120 ","2,596 ","6,025 ","7,162 ",87 ,"29,795 ",63 ,483 ,279 ,2003,"1,380,220"
MISSOURI,"324,705 ","14,623 ","43,346 ",305 ,596 ,"2,157 ","11,565 ","6,244 ","32,267 ","4,367 ",468 ,"35,498 ","3,397 ","4,449 ",121 ,"2,636 ","9,606 ","4,227 ","1,394 ","3,226 ","42,131 ",323 ,"5,701 ","36,826 ","10,451 ","2,166 ","14,737 ",642 ,"83,522 ",0 ,"2,185 ","3,498 ",2003,"5,527,314"
MONTANA,"18,855 ",769 ,"3,167 ",10 ,26 ,80 ,653 ,247 ,"2,683 ",212 ,25 ,"1,926 ",64 ,145 ,6 ,20 ,681 ,59 ,2 ,62 ,664 ,1 ,328 ,"2,239 ","1,801 ",0 ,"1,567 ",12 ,"4,797 ",0 ,301 ,244 ,2003,"546,626"
NEBRASKA,"86,544 ","1,286 ","8,823 ",55 ,140 ,275 ,816 ,918 ,"7,382 ",415 ,108 ,"8,543 ",752 ,"1,878 ",119 ,"1,026 ","2,686 ",998 ,490 ,583 ,"9,614 ",22 ,"1,376 ","12,911 ","12,106 ",0 ,"4,013 ",1 ,"18,819 ",1 ,250 ,247 ,2003,"1,489,255"
NEW HAMPSHIRE,"36,477 ",360 ,"1,892 ",5 ,41 ,91 ,223 ,269 ,"1,502 ",102 ,19 ,"3,960 ",151 ,651 ,9 ,250 ,794 ,74 ,14 ,131 ,"2,114 ",8 ,154 ,"5,063 ","4,603 ","3,608 ","1,120 ",57 ,"11,134 ",0 ,15 ,315 ,2003,"887,385"
NEW JERSEY,"363,297 ","14,344 ","32,342 ",293 ,519 ,"3,945 ","9,587 ","6,208 ","24,421 ","1,292 ",421 ,"28,950 ","1,781 ","5,590 ",112 ,"6,139 ","7,263 ","5,623 ","2,106 ","1,844 ","51,630 ",280 ,"15,093 ","23,992 ","7,953 ",9 ,"21,169 ","2,816 ","124,380 ",0 ,"5,205 ","4,676 ",2003,"8,018,213"
NEW MEXICO,"64,435 ","2,249 ","5,519 ",69 ,85 ,273 ,"1,822 ",820 ,"4,399 ",276 ,24 ,"4,612 ",270 ,375 ,118 ,672 ,579 ,597 ,251 ,96 ,"5,084 ",0 ,713 ,"8,832 ","3,304 ","1,319 ","2,358 ",4 ,"26,908 ",31 ,50 ,494 ,2003,"1,031,982"
NEW YORK,"297,442 ","12,818 ","42,567 ",226 ,709 ,"3,150 ","8,733 ","7,199 ","32,390 ","2,574 ",404 ,"26,343 ","4,357 ","11,272 ",216 ,"5,987 ","12,430 ","3,440 ","1,605 ","4,336 ","44,095 ",123 ,"2,882 ","26,843 ","5,970 ",0 ,"13,730 ","1,536 ","76,892 ",0 ,0 ,0 ,2003,"8,561,046"
NORTH CAROLINA,"432,569 ","19,411 ","54,500 ",591 ,726 ,"4,154 ","13,940 ","13,671 ","38,247 ","2,231 ",351 ,"49,865 ","3,806 ","32,764 ","1,893 ","6,637 ","8,153 ","6,568 ","1,243 ","1,631 ","39,583 ",360 ,"7,069 ","54,264 ","13,480 ",0 ,"14,850 ","1,491 ","114,143 ",0 ,2 ,856 ,2003,"6,614,261"
NORTH DAKOTA,"25,585 ",176 ,"2,292 ",3 ,35 ,21 ,117 ,238 ,"1,835 ",201 ,18 ,"1,391 ",191 ,"1,027 ",7 ,127 ,629 ,89 ,0 ,84 ,"1,623 ",0 ,200 ,"3,806 ","5,678 ",451 ,"1,570 ",3 ,"5,271 ",0 ,339 ,631 ,2003,"535,956"
