State,Total all classes ,Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,Sex offenses (except forcible rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children,Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Total Population,Year
ALABAMA,"208,312 ","6,068 ","20,565 ",280 ,457 ,"1,405 ","3,926 ","3,498 ","15,773 ","1,173 ",121 ,"28,536 ","2,490 ","10,432 ",20 ,"2,200 ","2,550 ","1,215 ",173 ,396 ,"18,315 ",54 ,"1,143 ","13,582 ","6,529 ","9,474 ","4,834 ",317 ,"78,939 ",2 ,59 ,419 ,"4,000,192",2004
ALASKA,"36,864 ","1,485 ","3,973 ",31 ,82 ,134 ,"1,238 ",543 ,"3,020 ",395 ,15 ,"3,902 ",139 ,199 ,5 ,33 ,882 ,361 ,102 ,208 ,"1,786 ",23 ,433 ,"5,104 ","1,467 ",56 ,938 ,16 ,"15,471 ",0 ,1 ,280 ,"637,349",2004
ARIZONA,"315,007 ","9,017 ","41,894 ",252 ,222 ,"1,433 ","7,110 ","5,179 ","31,272 ","5,180 ",263 ,"23,308 ","3,123 ","2,294 ",248 ,"1,463 ","9,907 ","3,331 ","2,115 ","1,880 ","35,722 ",15 ,"3,210 ","37,813 ","23,749 ",0 ,"17,181 ",990 ,"89,018 ",0 ,"3,249 ","5,480 ","5,593,717",2004
ARKANSAS,"98,086 ","2,976 ","9,945 ",33 ,112 ,449 ,"2,382 ","1,653 ","7,863 ",390 ,39 ,"5,494 ","1,341 ","4,126 ",4 ,768 ,963 ,978 ,330 ,209 ,"7,313 ",16 ,255 ,"6,908 ","3,464 ","5,561 ","2,221 ",727 ,"42,782 ",142 ,"1,114 ",449 ,"1,469,843",2004
CALIFORNIA,"1,414,732 ","117,860 ","169,143 ","1,894 ","2,099 ","16,762 ","97,105 ","48,917 ","89,261 ","29,346 ","1,619 ","79,845 ","11,532 ","10,129 ","1,691 ","20,230 ","26,515 ","28,413 ","14,134 ","14,493 ","272,980 ",478 ,474 ,"177,405 ","25,558 ","91,064 ","16,739 ","7,063 ","308,364 ",0 ,"15,708 ","4,914 ","33,560,992",2004
COLORADO,"229,977 ","6,143 ","29,734 ",145 ,434 ,794 ,"4,770 ","2,833 ","23,998 ","2,688 ",215 ,"18,667 ","1,893 ","1,786 ",109 ,"1,037 ","6,181 ","2,335 ",864 ,"1,272 ","17,434 ",21 ,"2,876 ","21,253 ","15,081 ",170 ,"13,134 ",962 ,"82,248 ",2 ,"2,792 ","3,983 ","3,941,932",2004
CONNECTICUT,"116,805 ","4,964 ","15,353 ",88 ,239 ,"1,282 ","3,355 ","2,415 ","11,764 ",833 ,341 ,"18,474 ",774 ,"1,328 ",139 ,636 ,"2,508 ","1,270 ",455 ,615 ,"14,904 ",28 ,"1,224 ","8,999 ","1,296 ",2 ,"15,688 ",37 ,"27,819 ",0 ,113 ,179 ,"2,917,685",2004
DELAWARE,"31,048 ","1,894 ","4,795 ",10 ,101 ,305 ,"1,478 ",909 ,"3,709 ",123 ,54 ,"6,337 ",499 ,"1,591 ",183 ,321 ,889 ,333 ,118 ,54 ,"3,243 ",1 ,214 ,170 ,"2,129 ",411 ,"2,320 ",314 ,"5,172 ",0 ,60 ,0 ,"752,330",2004
DISTRICT OF COLUMBIA,"5,779 ",88 ,85 ,0 ,2 ,35 ,51 ,0 ,37 ,48 ,0 ,128 ,7 ,1 ,2 ,18 ,16 ,33 ,0 ,0 ,74 ,0 ,0 ,35 ,"1,682 ",45 ,175 ,354 ,"3,036 ",0 ,0 ,0 ,,2004
FLORIDA,"1,028,856 ","50,838 ","126,598 ",693 ,"2,157 ","9,100 ","38,888 ","25,970 ","88,265 ","11,798 ",565 ,"95,446 ","5,222 ","14,759 ","1,115 ","3,929 ","8,728 ","7,777 ","6,583 ","4,015 ","150,334 ",867 ,0 ,"55,804 ","35,692 ",,,,"461,149 ",,,,"17,390,278",2004
