State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,2005 estimated population,Year
ALABAMA  ,Total all ages,"178,684 ","5,357 ","17,455 ",284 ,359 ,"1,325 ","3,389 ","2,932 ","13,377 ","1,051 ",95 ,"24,141 ","2,001 ","8,060 ",10 ,"1,901 ","2,179 ","1,148 ",124 ,455 ,"15,704 ",49 ,981 ,"11,621 ","4,895 ","8,562 ","4,675 ",297 ,"68,569 ",2 ,76 ,422 ,,"3,227,681",2005
ALASKA,Total all ages,"37,227 ","1,721 ","4,271 ",28 ,67 ,144 ,"1,482 ",549 ,"3,265 ",392 ,65 ,"4,036 ",130 ,181 ,7 ,29 ,981 ,397 ,123 ,213 ,"1,885 ",2 ,494 ,"4,754 ","1,580 ",124 ,"1,040 ",2 ,"14,961 ",6 ,6 ,284 ,,"643,085",2005
ARIZONA,Total all ages,"302,339 ","8,459 ","38,498 ",244 ,215 ,"1,501 ","6,499 ","4,636 ","28,513 ","5,062 ",287 ,"23,542 ","2,773 ","1,985 ",284 ,"1,586 ","10,306 ","3,322 ","1,611 ","1,740 ","35,722 ",23 ,"3,666 ","34,437 ","21,809 ",0 ,"16,738 ",961 ,"85,987 ",0 ,"3,748 ","5,142 ",,"5,350,364",2005
ARKANSAS,Total all ages,"142,878 ","4,698 ","13,871 ",131 ,251 ,631 ,"3,685 ","2,409 ","10,860 ",524 ,78 ,"8,899 ","1,812 ","5,314 ",12 ,"1,267 ","1,328 ","1,476 ",301 ,306 ,"12,009 ",25 ,456 ,"9,983 ","3,143 ","7,734 ","3,163 ","1,255 ","64,230 ",180 ,884 ,532 ,,"2,154,095",2005
CALIFORNIA ,Total all ages,"1,506,819 ","122,875 ","173,561 ","1,953 ","2,095 ","18,150 ","100,677 ","51,086 ","89,779 ","30,967 ","1,729 ","86,613 ","10,755 ","10,258 ","2,042 ","21,770 ","29,940 ","32,968 ","13,911 ","15,378 ","305,745 ",672 ,466 ,"181,243 ","21,311 ","96,308 ","17,195 ","5,738 ","337,119 ",0 ,"16,474 ","4,477 ",,"35,908,932",2005
COLORADO ,Total all ages,"249,404 ","6,336 ","29,857 ",95 ,456 ,855 ,"4,930 ","3,132 ","24,382 ","2,036 ",307 ,"15,236 ","2,051 ","2,175 ",127 ,"1,548 ","5,964 ","2,359 ",869 ,"1,154 ","19,743 ",30 ,"3,265 ","24,444 ","14,505 ",247 ,"17,980 ",568 ,"94,387 ",11 ,"2,975 ","3,573 ",,"4,304,012",2005
CONNECTICUT,Total all ages,"122,966 ","5,297 ","16,034 ",104 ,262 ,"1,219 ","3,712 ","2,636 ","12,154 ",933 ,311 ,"20,556 ",872 ,"1,603 ",192 ,760 ,"2,772 ","1,490 ",493 ,710 ,"14,480 ",80 ,"1,194 ","9,323 ","1,183 ",9 ,"15,958 ",73 ,"29,688 ",0 ,149 ,50 ,,"3,084,326",2005
DELAWARE,Total all ages,"37,332 ","2,421 ","4,984 ",16 ,140 ,461 ,"1,804 ",941 ,"3,803 ",158 ,82 ,"7,456 ",460 ,"2,010 ",243 ,373 ,"1,008 ",391 ,140 ,180 ,"5,018 ",12 ,195 ,200 ,"2,464 ",429 ,"2,768 ",608 ,"5,891 ",0 ,81 ,0 ,,"843,524",2005
DISTRICT OF COLUMBIA    ,Total all ages,"4,504 ",80 ,82 ,0 ,0 ,42 ,38 ,1 ,58 ,23 ,0 ,121 ,1 ,2 ,1 ,10 ,22 ,30 ,0 ,3 ,68 ,0 ,0 ,16 ,"1,107 ",61 ,132 ,198 ,"2,568 ",0 ,2 ,0 ,,,2005
FLORIDA    ,Total all ages,"1,055,052 ","50,929 ","122,426 ",728 ,"2,058 ","8,696 ","39,447 ","24,763 ","85,457 ","11,741 ",465 ,"95,502 ","5,382 ","15,996 ","1,251 ","3,051 ","9,659 ","8,532 ","5,715 ","3,979 ","160,595 ",425 ,0 ,"57,528 ","33,134 ",,,,"480,948 ",,,,,"17,758,612",2005
