State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,2006 estimated population,Year
ALABAMA  ,Total all ages,"189,558 ","5,925 ","17,246 ",347 ,320 ,"1,610 ","3,648 ","3,262 ","12,820 ","1,057 ",107 ,"24,666 ","1,901 ","8,524 ",34 ,"2,232 ","2,058 ","1,238 ",191 ,553 ,"16,860 ",87 ,975 ,"12,374 ","5,778 ","9,371 ","4,478 ",288 ,"74,319 ",0 ,31 ,429 ,"3,691,413",2006
ALASKA,Total all ages,"36,994 ","1,632 ","4,366 ",36 ,60 ,144 ,"1,392 ",555 ,"3,383 ",385 ,43 ,"4,130 ",122 ,165 ,8 ,16 ,954 ,400 ,192 ,183 ,"1,701 ",1 ,345 ,"4,334 ","1,940 ",172 ,913 ,3 ,"15,131 ",1 ,0 ,285 ,"641,049",2006
ARIZONA,Total all ages,"307,695 ","8,633 ","35,301 ",294 ,208 ,"1,566 ","6,565 ","4,629 ","25,846 ","4,538 ",288 ,"24,721 ","3,122 ","2,075 ",294 ,"1,435 ","11,074 ","3,703 ","1,518 ","1,505 ","35,470 ",23 ,"3,371 ","35,251 ","24,317 ",1 ,"17,251 ","1,128 ","88,258 ",0 ,"3,973 ","5,271 ","5,893,944",2006
ARKANSAS,Total all ages,"113,791 ","4,720 ","11,800 ",130 ,240 ,646 ,"3,704 ","2,610 ","8,619 ",485 ,86 ,"8,286 ","1,278 ","2,934 ",8 ,"1,124 ","1,384 ","1,429 ",251 ,235 ,"11,154 ",13 ,273 ,"9,388 ","1,723 ","8,623 ","3,012 ","1,608 ","43,009 ",199 ,810 ,530 ,"1,943,587",2006
CALIFORNIA ,Total all ages,"1,543,797 ","123,875 ","166,417 ","1,965 ","2,119 ","20,343 ","99,448 ","52,204 ","84,265 ","28,283 ","1,665 ","89,196 ","10,110 ","10,157 ","2,269 ","21,380 ","34,527 ","33,547 ","12,908 ","15,665 ","301,406 ",557 ,509 ,"197,775 ","21,533 ","106,859 ","17,014 ","5,198 ","347,996 ",0 ,"19,613 ","5,286 ","36,291,331",2006
COLORADO ,Total all ages,"247,536 ","7,047 ","24,194 ",112 ,484 ,"1,053 ","5,398 ","3,070 ","18,963 ","1,886 ",275 ,"15,801 ","1,699 ","2,537 ",192 ,"1,226 ","6,351 ","2,388 ",497 ,"1,018 ","19,513 ",5 ,"2,976 ","30,862 ","16,968 ",384 ,"12,023 ",190 ,"95,458 ",23 ,"2,579 ","3,605 ","4,493,272",2006
CONNECTICUT,Total all ages,"96,616 ","4,501 ","12,178 ",93 ,234 ,978 ,"3,196 ","1,945 ","9,207 ",694 ,332 ,"14,613 ",645 ,996 ,165 ,606 ,"1,928 ","1,243 ",481 ,423 ,"12,249 ",13 ,"1,087 ","5,105 ",994 ,12 ,"12,879 ",23 ,"26,302 ",0 ,137 ,36 ,"2,137,426",2006
DELAWARE,Total all ages,"39,832 ","2,563 ","5,465 ",19 ,132 ,550 ,"1,862 ","1,083 ","4,126 ",167 ,89 ,"7,890 ",588 ,"2,077 ",227 ,426 ,"1,149 ",464 ,105 ,177 ,"5,538 ",13 ,221 ,233 ,"2,321 ",472 ,"2,769 ",706 ,"6,315 ",0 ,112 ,1 ,"853,476",2006
DISTRICT OF COLUMBIA    ,Total all ages,"5,681 ",94 ,59 ,0 ,0 ,53 ,41 ,1 ,42 ,15 ,1 ,178 ,3 ,1 ,1 ,12 ,29 ,29 ,0 ,2 ,91 ,0 ,0 ,17 ,"1,397 ",78 ,248 ,182 ,"3,258 ",0 ,2 ,0 ,,2006
FLORIDA    ,Total all ages,"1,110,535 ","50,769 ","121,160 ",755 ,"1,960 ","9,703 ","38,351 ","27,188 ","81,597 ","11,902 ",473 ,"94,816 ","4,804 ","16,240 ","1,569 ","2,737 ","9,880 ","8,611 ","5,443 ","3,861 ","168,119 ",352 ,,"55,278 ","32,137 ",,,,"534,759 ",,,,"18,015,015",2006
GEORGIA,Total all ages,"234,735 ","10,295 ","23,418 ",252 ,255 ,"2,002 ","7,786 ","3,948 ","17,305 ","1,682 ",483 ,"16,434 ","3,555 ","6,293 ",127 ,"3,295 ","2,076 ","4,380 ","1,540 ","3,231 ","33,922 ",268 ,"2,420 ","16,615 ","10,220 ","3,207 ","20,530 ",835 ,"70,543 ",20 ,535 ,976 ,"3,185,684",2006
HAWAII,Total all ages,"48,018 ","1,145 ","3,958 ",28 ,89 ,303 ,725 ,421 ,"2,893 ",613 ,31 ,"4,334 ",222 ,209 ,28 ,127 ,937 ,226 ,428 ,305 ,"2,428 ",21 ,27 ,"5,059 ",895 ,6 ,588 ,0 ,"22,520 ",0 ,216 ,"4,339 ","1,081,338",2006
IDAHO,Total all ages,"65,945 ","1,330 ","6,060 ",27 ,127 ,110 ,"1,066 ",904 ,"4,779 ",278 ,99 ,"5,846 ",281 ,511 ,123 ,248 ,"1,170 ",560 ,7 ,326 ,"5,285 ",15 ,446 ,"10,308 ","5,453 ",242 ,"2,451 ",7 ,"22,814 ",0 ,696 ,"1,766 ","1,236,683",2006
ILLINOIS ,Total all ages,"191,165 ",402 ,"23,461 ",320 ,14 ,"3,320 ","5,253 ","2,988 ","14,583 ","5,785 ",105 ,"27,853 ",324 ,"1,296 ",0 ,88 ,"5,737 ","4,096 ","4,736 ",944 ,"57,495 ","3,882 ",424 ,"5,971 ","1,537 ",0 ,"21,513 ",179 ,"30,501 ",0 ,706 ,20 ,"3,011,534",2006
INDIANA,Total all ages,"170,293 ","5,571 ","21,087 ",161 ,153 ,916 ,"4,341 ","3,075 ","16,747 ","1,112 ",153 ,"13,567 ","1,007 ","1,867 ",42 ,"1,004 ","2,447 ","1,324 ",198 ,"1,063 ","19,633 ",32 ,"2,059 ","22,586 ","11,880 ","12,522 ","5,435 ",40 ,"42,647 ",123 ,513 ,"3,646 ","3,741,675",2006
IOWA,Total all ages,"109,230 ","3,847 ","11,736 ",26 ,107 ,331 ,"3,383 ","2,013 ","9,064 ",508 ,151 ,"9,416 ",748 ,"1,031 ",63 ,200 ,"3,278 ",483 ,95 ,280 ,"8,512 ",12 ,931 ,"13,028 ","8,739 ","10,013 ","5,789 ",13 ,"29,651 ",0 ,927 ,438 ,"2,479,827",2006
KANSAS,Total all ages,"70,057 ","2,177 ","5,626 ",47 ,175 ,206 ,"1,749 ",946 ,"4,190 ",422 ,68 ,"9,728 ",508 ,"1,358 ",125 ,275 ,"1,701 ",680 ,212 ,285 ,"6,523 ",0 ,247 ,"11,249 ","6,852 ",238 ,"3,708 ",0 ,"16,953 ",0 ,0 ,"1,612 ","1,783,369",2006
KENTUCKY,Total all ages,"73,504 ","2,039 ","8,443 ",41 ,64 ,807 ,"1,127 ","1,754 ","6,342 ",320 ,27 ,"3,612 ",706 ,"1,170 ",21 ,"1,242 ",779 ,661 ,656 ,110 ,"12,192 ",18 ,"1,203 ","4,971 ","1,014 ","5,543 ","1,943 ",646 ,"26,159 ",0 ,216 ,160 ,"984,186",2006
LOUISIANA,Total all ages,"161,316 ","7,248 ","17,087 ",292 ,306 ,953 ,"5,697 ","3,819 ","12,081 ","1,078 ",109 ,"20,364 ",814 ,"1,974 ",170 ,"1,607 ","3,393 ","1,785 ",519 ,809 ,"23,506 ",80 ,975 ,"8,755 ","6,945 ","2,193 ","17,941 ",294 ,"43,800 ",36 ,497 ,524 ,"2,057,838",2006
MAINE,Total all ages,"57,351 ",741 ,"7,001 ",0 ,81 ,186 ,474 ,"1,376 ","5,258 ",291 ,76 ,"7,100 ",367 ,892 ,48 ,198 ,"1,732 ",400 ,28 ,278 ,"5,779 ",9 ,378 ,"7,704 ","4,952 ",78 ,"1,845 ",0 ,"17,606 ",0 ,74 ,141 ,"1,317,948",2006
MARYLAND,Total all ages,"297,530 ","12,431 ","34,745 ",317 ,400 ,"4,213 ","7,501 ","7,389 ","22,774 ","4,016 ",566 ,"29,762 ","1,207 ","2,563 ",348 ,201 ,"4,444 ","4,385 ","1,694 ","1,330 ","55,466 ",356 ,"2,267 ","22,898 ","6,061 ",3 ,"6,697 ",155 ,"108,635 ",723 ,281 ,878 ,"5,571,209",2006
MASSACHUSETTS,Total all ages,"130,219 ","11,563 ","15,070 ",74 ,303 ,"1,951 ","9,235 ","3,191 ","10,932 ",856 ,91 ,"15,931 ",753 ,"1,365 ",90 ,"1,317 ","3,231 ","1,301 ",823 ,553 ,"17,729 ",10 ,"1,356 ","8,359 ","4,575 ","6,827 ","7,385 ",16 ,"31,463 ",173 ,19 ,310 ,"5,471,817",2006
MICHIGAN,Total all ages,"324,698 ","13,929 ","35,466 ",209 ,747 ,"2,680 ","10,293 ","6,000 ","25,085 ","4,014 ",367 ,"28,791 ","1,261 ","6,384 ","1,358 ","2,464 ","4,326 ","5,309 ",834 ,"1,203 ","33,886 ",160 ,"3,348 ","44,553 ","25,263 ",538 ,"10,301 ",563 ,"101,709 ",0 ,"1,527 ","1,525 ","9,426,852",2006
MINNESOTA ,Total all ages,,,"24,559 ",90 ,,"1,292 ","4,224 ","3,344 ","19,085 ","1,885 ",245 ,"18,075 ","1,927 ","3,786 ",26 ,"1,992 ","5,034 ","2,472 ","1,200 ","1,375 ","18,186 ",26 ,814 ,"26,098 ","25,700 ",0 ,"13,282 ",332 ,"37,857 ",0 ,"4,847 ","4,247 ","4,610,061",2006
MISSISSIPPI,Total all ages,"119,506 ","2,268 ","9,857 ",155 ,203 ,642 ,"1,268 ","2,245 ","6,981 ",525 ,106 ,"12,565 ","1,030 ","2,311 ",739 ,907 ,"1,291 ","1,176 ",171 ,432 ,"16,190 ",397 ,"4,263 ","11,250 ","3,022 ","7,324 ","8,235 ",71 ,"35,165 ",106 ,475 ,261 ,"1,616,759",2006
MISSOURI,Total all ages,"372,182 ","15,892 ","42,055 ",351 ,737 ,"2,443 ","12,361 ","7,129 ","30,253 ","4,205 ",468 ,"37,720 ","3,158 ","4,614 ",165 ,"3,228 ","8,093 ","4,100 ","1,085 ","2,981 ","44,762 ",195 ,"5,169 ","38,859 ","15,123 ",108 ,"16,123 ",324 ,"123,165 ",0 ,"1,914 ","3,349 ","5,748,820",2006
NEBRASKA,Total all ages,"88,602 ","1,575 ","8,973 ",44 ,145 ,317 ,"1,069 ",962 ,"7,565 ",333 ,113 ,"8,594 ",570 ,"1,703 ",78 ,"1,047 ","2,783 ","1,123 ",233 ,609 ,"10,321 ",18 ,"1,621 ","12,726 ","11,549 ",0 ,"4,136 ",42 ,"20,114 ",1 ,379 ,407 ,"1,543,773",2006
NEVADA,Total all ages,"163,109 ","4,895 ","15,323 ",159 ,207 ,"1,659 ","2,870 ","2,954 ","10,025 ","2,195 ",149 ,"19,001 ",999 ,"2,858 ",452 ,"1,890 ","2,221 ","2,445 ","4,609 ","1,308 ","13,784 ",126 ,"1,766 ","11,060 ","8,409 ",189 ,"2,876 ","1,775 ","62,064 ",27 ,"3,381 ","1,651 ","2,481,554",2006
NEW HAMPSHIRE,Total all ages,"46,100 ",592 ,"2,885 ",8 ,67 ,145 ,372 ,397 ,"2,298 ",136 ,54 ,"5,427 ",210 ,"1,027 ",35 ,411 ,"1,350 ",127 ,98 ,200 ,"3,228 ",1 ,158 ,"4,783 ","5,376 ","4,453 ","1,482 ",48 ,"13,841 ",0 ,17 ,351 ,"1,039,150",2006
NEW JERSEY,Total all ages,"388,116 ","14,314 ","31,288 ",312 ,428 ,"4,425 ","9,149 ","6,144 ","23,595 ","1,094 ",455 ,"28,048 ","1,972 ","4,855 ",120 ,"5,114 ","7,660 ","6,460 ","2,022 ","1,761 ","54,168 ",309 ,"15,307 ","25,181 ","8,036 ",3 ,"21,548 ","1,635 ","146,975 ",5 ,"6,322 ","5,013 ","8,446,877",2006
