State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,"2007 
estimated 
population",Year
ALABAMA  ,Total all ages,"199,688 ","6,225 ","20,812 ",336 ,319 ,"1,763 ","3,807 ","3,379 ","16,258 ","1,068 ",107 ,"25,034 ","1,892 ","7,818 ",61 ,"2,255 ","2,033 ","1,467 ",182 ,604 ,"17,309 ",57 ,"1,054 ","12,857 ","6,073 ","10,584 ","5,014 ",421 ,"77,383 ",1 ,55 ,497 ,"3,482,050",2007
ALASKA,Total all ages,"38,578 ","1,727 ","4,247 ",39 ,75 ,160 ,"1,453 ",470 ,"3,390 ",357 ,30 ,"4,098 ",136 ,161 ,8 ,21 ,954 ,402 ,343 ,172 ,"1,759 ",8 ,332 ,"5,187 ","1,847 ",129 ,986 ,7 ,"15,651 ",2 ,11 ,390 ,"654,555",2007
ARIZONA,Total all ages,"321,503 ","8,490 ","39,236 ",297 ,215 ,"1,872 ","6,106 ","4,681 ","30,342 ","3,924 ",289 ,"24,597 ","4,446 ","1,983 ",393 ,"1,285 ","11,573 ","3,688 ","1,600 ","1,695 ","35,384 ",1 ,"3,105 ","38,260 ","27,405 ",4 ,"16,750 ","1,344 ","90,644 ",0 ,"4,268 ","5,352 ","5,941,252",2007
ARKANSAS,Total all ages,"101,694 ","2,937 ","9,343 ",60 ,143 ,416 ,"2,318 ","2,064 ","6,973 ",274 ,32 ,"8,162 ",811 ,"3,124 ",19 ,891 ,"1,336 ",957 ,154 ,154 ,"9,953 ",3 ,234 ,"8,892 ","1,369 ","8,118 ","2,323 ",673 ,"41,421 ",1 ,528 ,291 ,"1,875,132",2007
CALIFORNIA ,Total all ages,"1,540,894 ","124,293 ","165,192 ","2,022 ","2,141 ","21,064 ","99,066 ","53,738 ","87,455 ","22,458 ","1,541 ","90,070 ","9,862 ","10,159 ","2,268 ","19,752 ","34,799 ","32,513 ","12,558 ","15,145 ","289,449 ",689 ,395 ,"204,015 ","21,108 ","112,398 ","16,604 ","4,000 ","350,310 ",0 ,"21,126 ","4,189 ","35,715,843",2007
COLORADO ,Total all ages,"225,099 ","5,741 ","23,984 ",109 ,427 ,864 ,"4,341 ","2,644 ","19,507 ","1,525 ",308 ,"15,089 ","1,256 ","2,379 ",220 ,"1,026 ","5,796 ","2,325 ",668 ,840 ,"18,290 ",8 ,"2,745 ","27,969 ","15,943 ",305 ,"12,287 ",171 ,"80,426 ",9 ,"2,088 ","5,534 ","4,358,882",2007
CONNECTICUT,Total all ages,"120,182 ","5,481 ","15,546 ",66 ,224 ,"1,260 ","3,931 ","2,608 ","11,895 ",805 ,238 ,"19,129 ",792 ,"1,441 ",214 ,450 ,"2,564 ","1,357 ",479 ,564 ,"14,663 ",25 ,"1,318 ","8,571 ","1,130 ",3 ,"15,372 ",36 ,"30,986 ",0 ,43 ,18 ,"3,243,990",2007
DELAWARE,Total all ages,"41,350 ","2,857 ","6,109 ",23 ,130 ,652 ,"2,052 ","1,027 ","4,871 ",147 ,64 ,"8,491 ",633 ,"2,061 ",282 ,454 ,"1,166 ",421 ,188 ,167 ,"5,744 ",2 ,244 ,229 ,"2,503 ",587 ,"2,449 ",560 ,"6,082 ",0 ,121 ,0 ,"853,712",2007
DISTRICT OF COLUMBIA    ,Total all ages,"5,933 ",123 ,91 ,1 ,0 ,77 ,45 ,1 ,62 ,28 ,0 ,196 ,0 ,1 ,0 ,16 ,34 ,29 ,0 ,0 ,77 ,0 ,0 ,23 ,"1,477 ",80 ,204 ,135 ,"3,447 ",0 ,0 ,0 ,,2007
FLORIDA    ,Total all ages,"1,126,395 ","52,291 ","134,478 ",902 ,"1,793 ","11,597 ","37,999 ","28,307 ","94,857 ","10,874 ",440 ,"92,738 ","5,077 ","17,277 ","1,450 ","2,891 ","9,152 ","8,263 ","6,131 ","3,706 ","169,360 ",297 ,,"58,824 ","34,898 ",,,,"529,562 ",,,,"18,207,878",2007
