State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2008 
estimated 
population",Year
ALABAMA  ,Total all ages,"212,192 ","6,541 ","24,496 ",315 ,356 ,"2,047 ","3,823 ","4,110 ","19,192 ","1,067 ",127 ,"26,590 ","1,818 ","8,381 ",153 ,"2,295 ","2,277 ","1,546 ",260 ,582 ,"16,488 ",58 ,"1,055 ","14,991 ","6,077 ","11,087 ","4,862 ",300 ,"81,944 ",0 ,32 ,359 ,,"3,772,968",2008
ALASKA,Total all ages,"38,294 ","2,121 ","4,108 ",22 ,54 ,275 ,"1,770 ",457 ,"3,337 ",268 ,46 ,"4,076 ",87 ,275 ,106 ,38 ,879 ,345 ,159 ,166 ,"1,716 ",0 ,320 ,"5,538 ","1,692 ",108 ,836 ,3 ,"15,379 ",4 ,1 ,337 ,,"666,481",2008
ARIZONA,Total all ages,"334,238 ","9,226 ","41,904 ",310 ,185 ,"2,044 ","6,687 ","5,086 ","33,963 ","2,593 ",262 ,"25,778 ","3,207 ","2,352 ",322 ,"1,285 ","11,680 ","3,681 ","1,602 ","1,773 ","34,242 ",7 ,"3,026 ","39,746 ","29,984 ",12 ,"18,150 ","1,535 ","94,437 ",0 ,"5,066 ","5,223 ",,"6,414,715",2008
ARKANSAS,Total all ages,"138,372 ","4,749 ","15,437 ",118 ,194 ,623 ,"3,814 ","2,992 ","11,967 ",417 ,61 ,"9,701 ",937 ,"3,351 ",54 ,"1,224 ","1,848 ","1,330 ",316 ,194 ,"11,513 ",24 ,117 ,"11,707 ","2,224 ","10,454 ","3,664 ","1,200 ","56,920 ",113 ,772 ,523 ,,"2,403,738",2008
CALIFORNIA ,Total all ages,"1,547,811 ","125,235 ","170,546 ","1,850 ","2,088 ","22,391 ","98,906 ","56,409 ","95,447 ","17,203 ","1,487 ","93,284 ","9,078 ","10,294 ","2,159 ","18,831 ","33,056 ","31,800 ","13,385 ","14,502 ","268,763 ",615 ,380 ,"214,828 ","19,649 ","121,180 ","15,362 ","4,364 ","358,577 ",0 ,"17,697 ","4,226 ",,"36,555,329",2008
COLORADO ,Total all ages,"221,175 ","6,208 ","25,453 ",155 ,453 ,926 ,"4,674 ","2,993 ","20,936 ","1,298 ",226 ,"14,746 ","1,025 ","2,433 ",250 ,760 ,"6,072 ","2,054 ",618 ,903 ,"17,851 ",7 ,"2,991 ","28,198 ","15,108 ",204 ,"11,573 ",211 ,"77,600 ",10 ,"1,844 ","5,056 ",,"4,359,586",2008
CONNECTICUT,Total all ages,"123,405 ","5,934 ","17,141 ",110 ,244 ,"1,245 ","4,335 ","2,846 ","13,466 ",711 ,118 ,"20,336 ",789 ,"1,471 ",181 ,433 ,"3,001 ","1,399 ",523 ,579 ,"16,132 ",37 ,"1,154 ","8,235 ","1,443 ",0 ,"15,758 ",44 ,"28,752 ",0 ,48 ,15 ,,"3,226,747",2008
DELAWARE,Total all ages,"42,641 ","2,942 ","6,746 ",32 ,138 ,713 ,"2,059 ","1,102 ","5,403 ",171 ,70 ,"8,584 ",607 ,"2,077 ",277 ,525 ,"1,184 ",477 ,132 ,202 ,"5,895 ",6 ,239 ,215 ,"2,451 ",769 ,"2,229 ",916 ,"6,068 ",0 ,100 ,0 ,,"873,092",2008
DISTRICT OF COLUMBIA    ,Total all ages,"7,297 ",74 ,104 ,0 ,0 ,39 ,35 ,0 ,73 ,31 ,0 ,200 ,3 ,4 ,0 ,19 ,21 ,33 ,1 ,0 ,79 ,1 ,0 ,32 ,"2,083 ",54 ,240 ,147 ,"4,201 ",0 ,1 ,0 ,,,2008
FLORIDA    ,Total all ages,"1,149,818 ","52,740 ","149,942 ",882 ,"1,770 ","11,870 ","38,218 ","31,468 ","109,021 ","9,073 ",380 ,"90,504 ","5,157 ","17,336 ","1,160 ","3,446 ","8,966 ","8,092 ","6,059 ","3,452 ","159,916 ",464 ,,"61,852 ","33,084 ",,,,"547,648 ",,,,,"18,294,452",2008
GEORGIA,Total all ages,"268,869 ","11,489 ","37,402 ",320 ,313 ,"2,958 ","7,898 ","6,654 ","28,467 ","2,091 ",190 ,"23,411 ","3,852 ","6,738 ",363 ,"3,287 ","3,397 ","4,935 ","1,848 ","3,402 ","34,697 ",319 ,"2,638 ","25,421 ","9,391 ","2,540 ","22,373 ",763 ,"67,641 ",183 ,867 ,"1,912 ",,"5,995,191",2008
HAWAII,Total all ages,"52,818 ","1,319 ","4,523 ",18 ,102 ,393 ,806 ,601 ,"3,467 ",424 ,31 ,"4,894 ",156 ,423 ,74 ,117 ,937 ,199 ,421 ,295 ,"2,022 ",31 ,47 ,"5,812 ","1,185 ",0 ,771 ,0 ,"24,948 ",0 ,283 ,"4,361 ",,"1,145,204",2008
IDAHO,Total all ages,"71,854 ","1,425 ","7,009 ",14 ,102 ,97 ,"1,212 ",938 ,"5,802 ",185 ,84 ,"5,922 ",156 ,490 ,112 ,225 ,"1,426 ",625 ,21 ,314 ,"5,514 ",1 ,622 ,"11,850 ","6,494 ",439 ,"2,442 ",9 ,"24,484 ",0 ,735 ,"1,539 ",,"1,435,156",2008
ILLINOIS ,Total all ages,"172,433 ","8,711 ","23,372 ",364 ,452 ,"2,922 ","4,973 ","2,894 ","15,889 ","4,514 ",75 ,"26,438 ",346 ,330 ,2 ,56 ,"5,172 ","4,117 ","3,616 ",965 ,"45,612 ","3,604 ",362 ,"4,909 ","1,317 ",0 ,"17,947 ",11 ,"24,980 ",0 ,552 ,14 ,,"2,986,566",2008
INDIANA,Total all ages,"220,709 ","8,351 ","30,527 ",268 ,262 ,"1,930 ","5,891 ","4,475 ","23,865 ","1,970 ",217 ,"20,268 ","1,443 ","1,978 ",15 ,"7,142 ","2,775 ","1,921 ","1,256 ","1,516 ","22,671 ",38 ,"1,790 ","23,475 ","9,883 ","18,536 ","8,158 ",36 ,"54,870 ",77 ,730 ,"3,253 ",,"4,658,523",2008
IOWA,Total all ages,"116,614 ","4,230 ","13,950 ",50 ,108 ,404 ,"3,668 ","1,907 ","11,349 ",553 ,141 ,"10,399 ",604 ,"1,155 ",94 ,210 ,"3,307 ",519 ,129 ,237 ,"8,497 ",13 ,870 ,"14,147 ","8,846 ","12,320 ","6,642 ",28 ,"29,057 ",0 ,812 ,548 ,,"2,765,774",2008
KANSAS,Total all ages,"80,352 ","2,491 ","7,187 ",47 ,183 ,285 ,"1,976 ","1,054 ","5,678 ",372 ,83 ,"11,483 ",556 ,"1,427 ",201 ,307 ,"2,020 ",731 ,227 ,325 ,"6,854 ",9 ,261 ,"13,080 ","7,284 ",329 ,"3,806 ",0 ,"20,426 ",0 ,0 ,"1,348 ",,"1,895,788",2008
KENTUCKY,Total all ages,"35,973 ","1,817 ","6,700 ",55 ,33 ,598 ,"1,131 ","1,220 ","5,268 ",150 ,62 ,"2,552 ",573 ,260 ,5 ,652 ,467 ,611 ,539 ,21 ,"7,952 ",11 ,589 ,"2,363 ",97 ,"3,487 ",694 ,383 ,"6,169 ",0 ,8 ,23 ,,"660,796",2008
LOUISIANA,Total all ages,"140,519 ","9,236 ","19,742 ",183 ,238 ,"1,035 ","7,780 ","3,840 ","14,812 ",920 ,170 ,"15,893 ",528 ,"1,794 ",300 ,"1,328 ","2,744 ","1,748 ",412 ,596 ,"17,959 ",83 ,"1,186 ","7,977 ","6,845 ","2,970 ","12,180 ",355 ,"35,613 ",87 ,493 ,450 ,,"2,471,978",2008
