State,,"Total 
all 
classes1",Violent crime2,Property crime2,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2009 
estimated 
population",Year
ALABAMA  ,Total all ages,"193,586 ","5,759 ","24,104 ",292 ,325 ,"1,657 ","3,485 ","4,031 ","19,080 ",868 ,125 ,"24,341 ","1,569 ","7,614 ",158 ,"1,932 ","2,034 ","1,379 ",296 ,550 ,"15,180 ",120 ,860 ,"13,924 ","4,854 ","8,868 ","4,093 ",274 ,"75,466 ",0 ,27 ,184 ,,"3,682,108",2009
ALASKA,Total all ages,"40,349 ","2,145 ","3,937 ",22 ,77 ,283 ,"1,763 ",390 ,"3,236 ",269 ,42 ,"4,947 ",116 ,276 ,90 ,37 ,764 ,365 ,217 ,191 ,"2,050 ",0 ,315 ,"5,428 ","2,391 ",367 ,949 ,0 ,"15,579 ",3 ,16 ,166 ,,"682,496",2009
ARIZONA,Total all ages,"336,686 ","9,364 ","44,116 ",202 ,226 ,"2,214 ","6,722 ","4,547 ","37,430 ","1,911 ",228 ,"27,565 ","2,407 ","2,255 ",260 ,"1,234 ","12,319 ","3,193 ","1,503 ","1,906 ","35,087 ",3 ,"2,998 ","39,260 ","30,113 ",6 ,"18,713 ","1,919 ","93,012 ",0 ,"4,768 ","4,685 ",,"6,505,613",2009
ARKANSAS,Total all ages,"125,958 ","3,988 ","15,785 ",113 ,240 ,632 ,"3,003 ","2,767 ","12,587 ",355 ,76 ,"10,525 ",815 ,"2,736 ",38 ,968 ,"1,554 ","1,158 ",298 ,176 ,"11,213 ",34 ,150 ,"10,130 ","1,988 ","8,932 ","3,457 ",653 ,"50,341 ",0 ,747 ,272 ,,"2,470,159",2009
CALIFORNIA ,Total all ages,"1,474,004 ","121,369 ","164,744 ","1,811 ","2,044 ","21,577 ","95,937 ","55,269 ","93,762 ","14,442 ","1,271 ","91,615 ","8,128 ","9,542 ","1,557 ","17,271 ","29,528 ","29,835 ","12,904 ","13,831 ","251,740 ",658 ,272 ,"208,831 ","17,948 ","115,611 ","13,569 ","4,167 ","345,823 ",0 ,"11,539 ","3,522 ",,"36,772,788",2009
COLORADO,Total all ages,"213,163 ","6,470 ","25,826 ",166 ,421 ,"1,088 ","4,795 ","2,792 ","21,589 ","1,218 ",227 ,"14,544 ","1,004 ","2,482 ",168 ,659 ,"5,571 ","1,836 ",651 ,921 ,"16,658 ",11 ,"2,855 ","27,043 ","13,169 ",229 ,"10,988 ",166 ,"76,023 ",10 ,"1,652 ","4,227 ",,"4,524,405",2009
CONNECTICUT,Total all ages,"138,703 ","6,861 ","19,042 ",118 ,247 ,"1,473 ","5,023 ","2,938 ","15,351 ",654 ,99 ,"23,501 ",819 ,"1,603 ",224 ,423 ,"2,719 ","1,487 ",346 ,614 ,"17,757 ",73 ,"1,530 ","10,178 ","1,507 ",1 ,"16,146 ",45 ,"33,772 ",0 ,52 ,3 ,,"3,518,288",2009
DELAWARE,Total all ages,"42,366 ","2,829 ","7,448 ",31 ,105 ,716 ,"1,977 ","1,215 ","6,044 ",130 ,59 ,"8,597 ",599 ,"1,914 ",237 ,422 ,"1,183 ",410 ,67 ,173 ,"5,752 ",15 ,229 ,230 ,"2,302 ",674 ,"2,048 ","1,258 ","5,791 ",0 ,188 ,0 ,,"884,338",2009
"DISTRICT OF COLUMBIA4, 5",Total all ages,"8,416 ",140 ,143 ,0 ,0 ,96 ,44 ,0 ,121 ,22 ,0 ,278 ,2 ,2 ,0 ,12 ,50 ,39 ,0 ,0 ,121 ,2 ,0 ,49 ,"1,713 ",81 ,286 ,167 ,"5,328 ",0 ,3 ,0 ,,,2009
"FLORIDA4, 6",Total all ages,"1,049,817 ","49,859 ","145,011 ",779 ,"1,642 ","10,964 ","36,474 ","29,681 ","108,081 ","6,859 ",390 ,"91,706 ","4,220 ","15,129 ",957 ,"3,227 ","8,225 ","6,908 ","5,296 ","3,300 ","146,056 ",356 ,,"53,004 ","37,715 ",,,,"478,848 ",,,,,"18,514,171",2009
