Activity,All governments/a (thousands of dollars),Federal government,State government,Local government,Federal government,State government,Local government
Total justice system,"$155,721,690.00 ","$27,820,000.00 ","$58,166,467.00 ","$78,995,330.00 ",-,-,-
Direct expenditure,"$155,721,690.00 ","$23,086,000.00 ","$53,991,300.00 ","$78,644,390.00 ",14.8,34.7,50.5
Intergovernmental expenditure,-,"$4,734,000.00 ","$4,175,167.00 ","$350,940.00 ",-,-,-
Police protection,"$68,911,071.00 ","$14,002,473.00 ","$9,787,596.00 ","$48,219,165.00 ",-,-,-
Direct expenditure,"$68,911,071.00 ","$12,113,000.00 ","$8,580,703.00 ","$48,217,368.00 ",17.6,12.5,70
Intergovernmental expenditure,-,"$2,483,884.00 ","$1,206,893.00 ","$1,797.00 ",-,-,-
Judicial and legal,"$34,298,180.00 ","$8,496,556.00 ","$13,249,668.00 ","$14,842,083.00 ",-,-,-
Direct expenditure,"$34,298,180.00 ","$7,266,000.00 ","$12,370,672.00 ","$14,661,508.00 ",21.2,36.1,42.7
Intergovernmental expenditure,-,"$1,489,961.00 ","$878,996.00 ","$180,575.00 ",-,-,-
Corrections,"$52,512,439.00 ","$4,230,971.00 ","$35,129,203.00 ","$15,934,082.00 ",-,-,-
Direct expenditure,"$52,512,439.00 ","$3,707,000.00 ","$33,039,925.00 ","$15,765,514.00 ",7.1,62.9,30
Intergovernmental expenditure,-,"$760,155.00 ","$2,089,278.00 ","$168,568.00 ",-,-,-
