Activity,All governments/a (thousands of dollars),Federal government,State government,Local government,Federal government,State government,Local government
Total justice system,167112887,30443000,63372304,83377152,-,-,-
Direct expenditure,167112887,25285000,58820452,83007435,15.1,35.2,49.7
Intergovernmental expenditure,-,5158000,4551852,369717,-,-,-
Police protection,72405970,15013811,10496730,50717839,-,-,-
Direct expenditure,72405970,12470000,9219650,50716320,17.2,12.7,70
Intergovernmental expenditure,-,2543811,1277080,1519,-,-,-
Judicial and legal,37751380,10230341,14443708,15938498,-,-,-
Direct expenditure,37751380,8497000,13522531,15731849,22.5,35.8,41.7
Intergovernmental expenditure,-,1733341,921177,206649,-,-,-
Corrections,56955537,5198848,38431866,16720815,-,-,-
Direct expenditure,56955537,4318000,36078271,16559266,7.6,63.3,29.1
Intergovernmental expenditure,-,880848,2353595,161549,-,-,-
