Activity,All governments/a  (thousands of dollars),Federal governments,State governments,Local governments,Federal governments,State governments,Local governments
Total justice system,"$204,136,015 ","$40,019,000 ","$69,747,699 ","$103,906,121 ",--,--,--
Direct expenditure,"$204,136,015 ","$35,415,000 ","$64,947,744 ","$103,773,271 ",17.3,31.8,50.8
Intergovernmental expenditure,--,"$4,604,000 ","$4,799,955 ","$132,850 ",--,--,--
Police protection,"$94,437,440 ","$22,500,588 ","$11,362,668 ","$64,532,177 ",--,--,--
Direct expenditure,"$94,437,440 ","$19,912,000 ","$9,996,942 ","$64,528,498 ",21.1,10.6,68.3
Intergovernmental expenditure,--,"$2,588,588 ","$1,365,726 ","$3,679 ",--,--,--
Judicial and legal,"$44,607,363 ","$10,894,344 ","$17,695,665 ","$18,419,440 ",--,--,--
Direct expenditure,"$44,607,363 ","$9,641,000 ","$16,583,096 ","$18,383,267 ",21.6,37.2,41.2
Intergovernmental expenditure,--,"$1,253,344 ","$1,112,569 ","$36,173 ",--,--,--
Corrections,"$65,091,212 ","$6,624,068 ","$40,689,366 ","$20,954,504 ",--,--,--
Direct expenditure,"$65,091,212 ","$5,862,000 ","$38,367,706 ","$20,861,506 ",9,58.9,32
Intergovernmental expenditure,--,"$762,068 ","$2,321,660 ","$92,998 ",--,--,--
