Activity,All governments/a (thousands of dollars),Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total justice system,258334934,51519297,86038262,130637721,-,-,-
Direct expenditure,258334934,46933000,80945324,130456610,18.2,31.3,50.5
Intergovernmental expenditure,-,4586297,5092938,181111,-,-,-
Police protection,121872431,30261821,13676971,82115501,-,-,-
Direct expenditure,121872431,27552000,12216371,82104060,22.6,10,67.4
Intergovernmental expenditure,-,2709821,1460600,11441,-,-,-
Judicial and legal,54810668,13241696,21978852,21884330,-,-,-
Direct expenditure,54810668,12083000,20887445,21840223,22,38.1,39.8
Intergovernmental expenditure,-,1158696,1091407,44107,-,-,-
Corrections,81651835,8015780,50382439,26637890,-,-,-
Direct expenditure,81651835,7298000,47841508,26512327,8.9,58.6,32.5
Intergovernmental expenditure,-,717780,2540931,125563,-,-,-
