Activity,All governments/a Amount (thousands of dollars),Federal government,State governments,Local governments,Federal government,State governments,Local governments
Total justice system,261838327,53579000,86017873,131629692,-,-,-
Direct expenditure,261838327,49826000,80613651,131398676,19,30.8,50.2
Intergovernmental expenditure,-,3753000,5404222,231016,-,-,-
Police protection,124689979,30517642,14248537,83458015,-,-,-
Direct expenditure,124689979,28380000,12857062,83452917,22.8,10.3,66.9
Intergovernmental expenditure,-,2137642,1391475,5098,-,-,-
Judicial and legal,56470162,14569539,22602337,21904581,-,-,-
Direct expenditure,56470162,13549000,21045486,21875676,24,37.3,38.7
Intergovernmental expenditure,-,1020539,1556851,28905,-,-,-
Corrections,80678186,8491819,49166999,26267096,-,-,-
Direct expenditure,80678186,7897000,46711103,26070083,9.8,57.9,32.3
Intergovernmental expenditure,-,594819,2455896,197013,-,-,-
