State and type of government,Population 2005 (thousands),Total direct expenditure/a (Dollar amounts in thousands),Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"States--local, total","291,853","$2,350,776,077 ","$168,721,015 ",7.2,"$74,525,440 ",44.2,"$34,966,363 ",20.7,"$59,229,212 ",35.1
State, -- ,"$1,066,989,405 ","$64,947,744 ",6.1,"$9,996,942 ",15.4,"$16,583,096 ",25.5,"$38,367,706 ",59.1
"Local, total", -- ,"$1,283,786,672 ","$103,773,271 ",8.1,"$64,528,498 ",62.2,"$18,383,267 ",17.7,"$20,861,506 ",20.1
Counties, -- ,"$285,306,890 ","$50,945,333 ",17.9,"$19,061,377 ",37.4,"$14,226,833 ",27.9,"$17,657,123 ",34.7
Municipalities, -- ,"$453,350,515 ","$52,827,938 ",11.7,"$45,467,121 ",86.1,"$4,156,434 ",7.9,"$3,204,383 ",6.1
Alabama,"4,558","$33,470,832 ","$1,765,367 ",5.3,"$822,770 ",46.6,"$336,293 ",19,"$606,304 ",34.3
State, -- ,"$16,552,496 ","$756,669 ",4.6,"$115,233 ",15.2,"$225,181 ",29.8,"$416,255 ",55
"Local, total", -- ,"$16,918,336 ","$1,008,698 ",6,"$707,537 ",70.1,"$111,112 ",11,"$190,049 ",18.8
Counties, -- ,"$1,980,366 ","$419,887 ",21.2,"$176,008 ",41.9,"$72,310 ",17.2,"$171,569 ",40.9
Municipalities, -- ,"$5,095,373 ","$588,811 ",11.6,"$531,529 ",90.3,"$38,802 ",6.6,"$18,480 ",3.1
Alaska,664,"$10,026,866 ","$558,219 ",5.6,"$206,207 ",36.9,"$153,532 ",27.5,"$198,480 ",35.6
State, -- ,"$6,910,816 ","$408,835 ",5.9,"$68,653 ",16.8,"$143,229 ",35,"$196,953 ",48.2
"Local, total", -- ,"$3,116,050 ","$149,384 ",4.8,"$137,554 ",92.1,"$10,303 ",6.9,"$1,527 ",1
Boroughs, -- ,"$1,035,410 ","$15,090 ",1.5,"$9,111 ",60.4,"$5,979 ",39.6, -- ,0
Municipalities, -- ,"$1,961,629 ","$134,294 ",6.8,"$128,443 ",95.6,"$4,324 ",3.2,"$1,527 ",1.1
Arizona,"5,939","$39,265,772 ","$3,581,052 ",9.1,"$1,532,631 ",42.8,"$771,212 ",21.5,"$1,277,209 ",35.7
State, -- ,"$15,887,597 ","$1,111,613 ",7,"$196,333 ",17.7,"$153,945 ",13.8,"$761,335 ",68.5
"Local, total", -- ,"$23,378,175 ","$2,469,439 ",10.6,"$1,336,298 ",54.1,"$617,267 ",25,"$515,874 ",20.9
Counties, -- ,"$3,952,974 ","$1,225,505 ",31,"$237,158 ",19.4,"$472,565 ",38.6,"$515,782 ",42.1
Municipalities, -- ,"$8,179,195 ","$1,243,934 ",15.2,"$1,099,140 ",88.4,"$144,702 ",11.6,$92 ,0
Arkansas,"2,779","$17,189,366 ","$1,146,416 ",6.7,"$481,336 ",42,"$207,985 ",18.1,"$457,095 ",39.9
State, -- ,"$9,764,814 ","$582,938 ",6,"$99,423 ",17.1,"$135,124 ",23.2,"$348,391 ",59.8
"Local, total", -- ,"$7,424,552 ","$563,478 ",7.6,"$381,913 ",67.8,"$72,861 ",12.9,"$108,704 ",19.3
Counties, -- ,"$786,313 ","$266,738 ",33.9,"$111,062 ",41.6,"$49,446 ",18.5,"$106,230 ",39.8
Municipalities, -- ,"$2,190,691 ","$296,740 ",13.5,"$270,851 ",91.3,"$23,415 ",7.9,"$2,474 ",0.8
California,"36,132","$334,272,352 ","$29,450,955 ",8.8,"$12,289,948 ",41.7,"$7,317,119 ",24.8,"$9,843,888 ",33.4
State, -- ,"$128,822,882 ","$10,127,599 ",7.9,"$1,222,201 ",12.1,"$3,100,902 ",30.6,"$5,804,496 ",57.3
"Local, total", -- ,"$205,449,470 ","$19,323,356 ",9.4,"$11,067,747 ",57.3,"$4,216,217 ",21.8,"$4,039,392 ",20.9
Counties, -- ,"$52,152,884 ","$11,262,441 ",21.6,"$3,470,596 ",30.8,"$3,925,167 ",34.9,"$3,866,678 ",34.3
Municipalities, -- ,"$57,362,325 ","$8,060,915 ",14.1,"$7,597,151 ",94.2,"$291,050 ",3.6,"$172,714 ",2.1
Colorado,"4,665","$34,979,271 ","$2,513,087 ",7.2,"$1,188,091 ",47.3,"$431,507 ",17.2,"$893,489 ",35.6
State, -- ,"$13,581,771 ","$945,775 ",7,"$106,495 ",11.3,"$218,253 ",23.1,"$621,027 ",65.7
"Local, total", -- ,"$21,397,500 ","$1,567,312 ",7.3,"$1,081,596 ",69,"$213,254 ",13.6,"$272,462 ",17.4
Counties, -- ,"$2,976,882 ","$650,200 ",21.8,"$330,010 ",50.8,"$116,691 ",17.9,"$203,499 ",31.3
Municipalities, -- ,"$7,630,868 ","$917,112 ",12,"$751,586 ",82,"$96,563 ",10.5,"$68,963 ",7.5
Connecticut,"3,510","$29,916,670 ","$1,960,617 ",6.6,"$836,912 ",42.7,"$543,710 ",27.7,"$579,995 ",29.6
State, -- ,"$16,690,131 ","$1,258,676 ",7.5,"$173,987 ",13.8,"$504,782 ",40.1,"$579,907 ",46.1
"Local, total", -- ,"$13,226,539 ","$701,941 ",5.3,"$662,925 ",94.4,"$38,928 ",5.5,$88 ,0
Municipalities, -- ,"$11,952,547 ","$701,941 ",5.9,"$662,925 ",94.4,"$38,928 ",5.5,$88 ,0
Delaware,844,"$7,572,263 ","$590,447 ",7.8,"$237,639 ",40.2,"$134,792 ",22.8,"$218,016 ",36.9
State, -- ,"$4,958,306 ","$423,313 ",8.5,"$83,912 ",19.8,"$121,385 ",28.7,"$218,016 ",51.5
"Local, total", -- ,"$2,613,957 ","$167,134 ",6.4,"$153,727 ",92,"$13,407 ",8, -- ,0
Counties, -- ,"$467,345 ","$74,861 ",16,"$65,642 ",87.7,"$9,219 ",12.3, -- ,0
Municipalities, -- ,"$525,576 ","$92,273 ",17.6,"$88,085 ",95.5,"$4,188 ",4.5, -- ,0
District of Columbia,551,"$8,877,742 ","$634,610 ",7.1,"$414,394 ",65.3,"$55,840 ",8.8,"$164,376 ",25.9
"Local, total", -- ,"$8,877,742 ","$634,610 ",7.1,"$414,394 ",65.3,"$55,840 ",8.8,"$164,376 ",25.9
Municipality, -- ,"$9,099,596 ","$634,610 ",7,"$414,394 ",65.3,"$55,840 ",8.8,"$164,376 ",25.9
