State and type of government,2007 population (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"States-local, total","301,291","$2,645,148,741 ","$190,663,377 ",7.2,"$84,026,293 ",44.1,"$38,767,257 ",20.3,"$67,869,827 ",35.6
State,-,"$1,159,783,896 ","$74,325,804 ",6.4,"$11,383,130 ",15.3,"$18,921,485 ",25.5,"$44,021,189 ",59.2
"Local, total",-,"$1,485,364,845 ","$116,337,573 ",7.8,"$72,643,163 ",62.4,"$19,845,772 ",17.1,"$23,848,638 ",20.5
Counties,-,"$330,761,267 ","$57,752,345 ",17.5,"$22,535,380 ",39,"$15,203,975 ",26.3,"$20,012,990 ",34.7
Municipalities,-,"$509,999,311 ","$58,585,228 ",11.5,"$50,107,783 ",85.5,"$4,641,797 ",7.9,"$3,835,648 ",6.5
Alabama,"4,627","$35,612,227 ","$2,142,869 ",6,"$976,916 ",45.6,"$401,420 ",18.7,"$764,533 ",35.7
State,-,"$16,804,486 ","$908,781 ",5.4,"$144,352 ",15.9,"$277,254 ",30.5,"$487,175 ",53.6
"Local, total",-,"$18,807,741 ","$1,234,088 ",6.6,"$832,564 ",67.5,"$124,166 ",10.1,"$277,358 ",22.5
Counties,-,"$2,301,514 ","$581,187 ",25.3,"$248,346 ",42.7,"$74,297 ",12.8,"$258,544 ",44.5
Municipalities,-,"$5,302,595 ","$652,901 ",12.3,"$584,218 ",89.5,"$49,869 ",7.6,"$18,814 ",2.9
Alaska,681,"$11,582,779 ","$667,391 ",5.8,"$236,359 ",35.4,"$190,436 ",28.5,"$240,596 ",36.1
State,-,"$7,736,704 ","$485,369 ",6.3,"$72,589 ",15,"$175,636 ",36.2,"$237,144 ",48.9
"Local, total",-,"$3,846,075 ","$182,022 ",4.7,"$163,770 ",90,"$14,800 ",8.1,"$3,452 ",1.9
Boroughs,-,"$1,331,841 ","$19,521 ",1.5,"$10,655 ",54.6,"$8,866 ",45.4,$0 ,0
Municipalities,-,"$2,362,139 ","$162,501 ",6.9,"$153,115 ",94.2,"$5,934 ",3.7,"$3,452 ",2.1
