State and type of government,Population 2010 (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"States-local, total",308746,3110614008,210564636,6.8,94963671,45.1,43045538,20.4,72555427,34.5
State,-,1458044319,79467047,5.5,12376317,15.6,20995541,26.4,46095189,58
"Local, total",-,1652569689,131097589,7.9,82587354,63,22049997,16.8,26460238,20.2
Counties,-,362441311,64757067,17.9,25242706,39,16841024,26,22673337,35
Municipalities,-,548443488,66340522,12.1,57344648,86.4,5208973,7.9,3786901,5.7
Alabama,4780,41878142,2289369,5.5,1126496,49.2,422957,18.5,739916,32.3
State,-,21095674,960016,4.6,153692,16,287305,29.9,519019,54.1
"Local, total",-,20782468,1329353,6.4,972804,73.2,135652,10.2,220897,16.6
Counties,-,2479182,589197,23.8,307279,52.2,78827,13.4,203091,34.5
Municipalities,-,5897445,740156,12.6,665525,89.9,56825,7.7,17806,2.4
Alaska,710,14513929,877682,6,328284,37.4,275126,31.3,274272,31.2
State,-,9343370,608654,6.5,89609,14.7,248509,40.8,270536,44.4
"Local, total",-,5170559,269028,5.2,238675,88.7,26617,9.9,3736,1.4
Boroughs,-,2025792,50445,2.5,36422,72.2,14023,27.8,0,0
Municipalities,-,2920198,218583,7.5,202253,92.5,12594,5.8,3736,1.7
Arizona,6392,53367985,4761561,8.9,2143332,45,955069,20.1,1663160,34.9
State,-,23836077,1433108,6,228440,15.9,186913,13,1017755,71
"Local, total",-,29531908,3328453,11.3,1914892,57.5,768156,23.1,645405,19.4
Counties,-,4279889,1633282,38.2,397131,24.3,591095,36.2,645056,39.5
Municipalities,-,10208815,1695171,16.6,1517761,89.5,177061,10.4,349,0
Arkansas,2916,22743317,1223246,5.4,532272,43.5,196144,16,494830,40.5
State,-,12947788,556586,4.3,81323,14.6,106124,19.1,369139,66.3
"Local, total",-,9795529,666660,6.8,450949,67.6,90020,13.5,125691,18.9
Counties,-,989768,304682,30.8,127784,41.9,53365,17.5,123533,40.5
Municipalities,-,2900402,361978,12.5,323165,89.3,36655,10.1,2158,0.6
California,37254,431410223,37191561,8.6,15299876,41.1,8965590,24.1,12926095,34.8
State,-,166850728,13641223,8.2,1607484,11.8,4313902,31.6,7719837,56.6
"Local, total",-,264559495,23550338,8.9,13692392,58.1,4651688,19.8,5206258,22.1
Counties,-,64404741,13448840,20.9,4171615,31,4248341,31.6,5028884,37.4
Municipalities,-,68990185,10101498,14.6,9520777,94.3,403347,4,177374,1.8
Colorado,5029,50297862,3472003,6.9,1585686,45.7,574978,16.6,1311339,37.8
State,-,20483071,1291745,6.3,126535,9.8,342354,26.5,822856,63.7
"Local, total",-,29814791,2180258,7.3,1459151,66.9,232624,10.7,488483,22.4
Counties,-,3837628,828340,21.6,491522,59.3,125798,15.2,211020,25.5
Municipalities,-,9463135,1351918,14.3,967629,71.6,106826,7.9,277463,20.5
Connecticut,3574,38995328,2378085,6.1,1056347,44.4,650365,27.3,671373,28.2
State,-,22609806,1491421,6.6,208817,14,611231,41,671373,45
"Local, total",-,16385522,886664,5.4,847530,95.6,39134,4.4,0,0
Municipalities,-,14206331,886664,6.2,847530,95.6,39134,4.4,0,0
Delaware,898,9694788,694019,7.2,283752,40.9,148317,21.4,261950,37.7
State,-,6591218,499832,7.6,103201,20.6,134681,26.9,261950,52.4
"Local, total",-,3103570,194187,6.3,180551,93,13636,7,0,0
Counties,-,432486,75410,17.4,66742,88.5,8668,11.5,0,0
Municipalities,-,677610,118777,17.5,113809,95.8,4968,4.2,0,0
District of Columbia,602,13682043,946201,6.9,568915,60.1,119401,12.6,257885,27.3
"Local, total",-,13682043,946201,6.9,568915,60.1,119401,12.6,257885,27.3
Municipality,-,11494831,946201,8.2,568915,60.1,119401,12.6,257885,27.3
Florida,18801,163132471,14168437,8.7,7386818,52.1,2279318,16.1,4502301,31.8
State,-,63353248,4148167,6.5,440672,10.6,1203098,29,2504397,60.4
