State,Total (thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental Expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditures,State
Total,"$58,166,467.00 ","$53,991,300.00 ","$50,511,278.00 ","$3,480,022.00 ","$4,175,167.00 ","$9,787,596.00 ","$8,580,703.00 ","$7,934,293.00 ","$646,410.00 ","$1,206,893.00 ","$13,249,668.00 ","$12,370,672.00 ","$12,044,020.00 ","$326,652.00 ","$878,996.00 ","$35,129,203.00 ","$33,039,925.00 ","$30,532,965.00 ","$2,506,960.00 ","$2,014,290.00 ","$2,089,278.00 ",Total
Alabama,"$568,697.00 ","$537,086.00 ","$528,819.00 ","$8,267.00 ","$31,611.00 ","$117,831.00 ","$92,171.00 ","$86,908.00 ","$5,263.00 ","$25,660.00 ","$172,010.00 ","$172,010.00 ","$171,217.00 ",$793.00 ,$0.00 ,"$278,856.00 ","$272,905.00 ","$270,694.00 ","$2,211.00 ",$880.00 ,"$5,951.00 ",Alabama
Alaska,"$355,032.00 ","$341,390.00 ","$330,932.00 ","$10,458.00 ","$13,642.00 ","$63,311.00 ","$49,669.00 ","$47,380.00 ","$2,289.00 ","$13,642.00 ","$118,097.00 ","$118,097.00 ","$112,409.00 ","$5,688.00 ",$0.00 ,"$173,624.00 ","$173,624.00 ","$171,143.00 ","$2,481.00 ","$1,273.00 ",$0.00 ,Alaska
Arizona,"$1,059,785.00 ","$949,183.00 ","$894,196.00 ","$54,987.00 ","$110,602.00 ","$158,048.00 ","$144,730.00 ","$130,244.00 ","$14,486.00 ","$13,318.00 ","$182,047.00 ","$144,230.00 ","$138,966.00 ","$5,264.00 ","$37,817.00 ","$719,690.00 ","$660,223.00 ","$624,986.00 ","$35,237.00 ","$12,714.00 ","$59,467.00 ",Arizona
Arkansas,"$452,316.00 ","$439,922.00 ","$408,189.00 ","$31,733.00 ","$12,394.00 ","$73,341.00 ","$73,131.00 ","$62,660.00 ","$10,471.00 ",$210.00 ,"$103,817.00 ","$100,394.00 ","$97,107.00 ","$3,287.00 ","$3,423.00 ","$275,158.00 ","$266,397.00 ","$248,422.00 ","$17,975.00 ","$12,889.00 ","$8,761.00 ",Arkansas
California,"$7,978,942.00 ","$7,586,898.00 ","$7,385,393.00 ","$201,505.00 ","$392,044.00 ","$1,267,990.00 ","$1,051,106.00 ","$997,883.00 ","$53,223.00 ","$216,884.00 ","$2,466,272.00 ","$2,417,422.00 ","$2,406,201.00 ","$11,221.00 ","$48,850.00 ","$4,244,680.00 ","$4,118,370.00 ","$3,981,309.00 ","$137,061.00 ","$95,736.00 ","$126,310.00 ",California
Colorado,"$948,509.00 ","$856,645.00 ","$734,563.00 ","$122,082.00 ","$91,864.00 ","$79,148.00 ","$77,172.00 ","$70,056.00 ","$7,116.00 ","$1,976.00 ","$180,271.00 ","$180,271.00 ","$174,329.00 ","$5,942.00 ",$0.00 ,"$689,090.00 ","$599,202.00 ","$490,178.00 ","$109,024.00 ","$98,022.00 ","$89,888.00 ",Colorado
Connecticut,"$1,093,007.00 ","$1,091,359.00 ","$1,042,860.00 ","$48,499.00 ","$1,648.00 ","$140,110.00 ","$140,006.00 ","$135,386.00 ","$4,620.00 ",$104.00 ,"$397,448.00 ","$397,448.00 ","$369,396.00 ","$28,052.00 ",$0.00 ,"$555,449.00 ","$553,905.00 ","$538,078.00 ","$15,827.00 ","$10,885.00 ","$1,544.00 ",Connecticut
Delaware,"$382,478.00 ","$374,694.00 ","$361,738.00 ","$12,956.00 ","$7,784.00 ","$65,602.00 ","$62,991.00 ","$58,388.00 ","$4,603.00 ","$2,611.00 ","$88,800.00 ","$83,627.00 ","$82,455.00 ","$1,172.00 ","$5,173.00 ","$228,076.00 ","$228,076.00 ","$220,895.00 ","$7,181.00 ","$4,084.00 ",$0.00 ,Delaware
Florida,"$3,290,059.00 ","$3,261,293.00 ","$3,113,907.00 ","$147,386.00 ","$28,766.00 ","$369,837.00 ","$367,398.00 ","$342,559.00 ","$24,839.00 ","$2,439.00 ","$701,519.00 ","$676,783.00 ","$660,333.00 ","$16,450.00 ","$24,736.00 ","$2,218,703.00 ","$2,217,112.00 ","$2,111,015.00 ","$106,097.00 ","$70,549.00 ","$1,591.00 ",Florida
