State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Total,"$62,702,746.00 ","$58,150,894.00 ","$54,984,396.00 ","$3,166,498.00 ","$4,551,852.00 ","$10,144,976.00 ","$8,867,896.00 ","$8,299,854.00 ","$568,042.00 ","$1,277,080.00 ","$14,393,229.00 ","$13,472,052.00 ","$13,098,102.00 ","$373,950.00 ","$921,177.00 ","$38,164,541.00 ","$35,810,946.00 ","$33,586,440.00 ","$2,224,506.00 ","$1,768,385.00 ","$2,353,595.00 ",Total
Alabama,"$626,162.00 ","$596,736.00 ","$584,900.00 ","$11,836.00 ","$29,426.00 ","$124,884.00 ","$95,458.00 ","$88,192.00 ","$7,266.00 ","$29,426.00 ","$197,519.00 ","$197,519.00 ","$195,799.00 ","$1,720.00 ",$0.00 ,"$303,759.00 ","$303,759.00 ","$300,909.00 ","$2,850.00 ",$747.00 ,$0.00 ,Alabama
Alaska,"$358,304.00 ","$344,552.00 ","$337,854.00 ","$6,698.00 ","$13,752.00 ","$64,035.00 ","$50,313.00 ","$48,886.00 ","$1,427.00 ","$13,722.00 ","$121,659.00 ","$121,629.00 ","$118,502.00 ","$3,127.00 ",$30.00 ,"$172,610.00 ","$172,610.00 ","$170,466.00 ","$2,144.00 ",$880.00 ,$0.00 ,Alaska
Arizona,"$1,131,731.00 ","$971,539.00 ","$941,155.00 ","$30,384.00 ","$160,192.00 ","$161,140.00 ","$146,358.00 ","$132,869.00 ","$13,489.00 ","$14,782.00 ","$210,268.00 ","$156,751.00 ","$151,983.00 ","$4,768.00 ","$53,517.00 ","$760,323.00 ","$668,430.00 ","$656,303.00 ","$12,127.00 ","$2,723.00 ","$91,893.00 ",Arizona
Arkansas,"$491,285.00 ","$473,986.00 ","$449,527.00 ","$24,459.00 ","$17,299.00 ","$77,425.00 ","$77,425.00 ","$69,262.00 ","$8,163.00 ",$0.00 ,"$123,340.00 ","$119,438.00 ","$114,797.00 ","$4,641.00 ","$3,902.00 ","$290,520.00 ","$277,123.00 ","$265,468.00 ","$11,655.00 ","$8,437.00 ","$13,397.00 ",Arkansas
California,"$9,317,054.00 ","$8,765,169.00 ","$8,544,304.00 ","$220,865.00 ","$551,885.00 ","$1,324,682.00 ","$1,090,217.00 ","$1,044,846.00 ","$45,371.00 ","$234,465.00 ","$2,678,675.00 ","$2,620,202.00 ","$2,612,727.00 ","$7,475.00 ","$58,473.00 ","$5,313,697.00 ","$5,054,750.00 ","$4,886,731.00 ","$168,019.00 ","$123,810.00 ","$258,947.00 ",California
Colorado,"$991,894.00 ","$901,129.00 ","$814,720.00 ","$86,409.00 ","$90,765.00 ","$95,073.00 ","$92,277.00 ","$78,452.00 ","$13,825.00 ","$2,796.00 ","$192,400.00 ","$192,400.00 ","$182,704.00 ","$9,696.00 ",$0.00 ,"$704,421.00 ","$616,452.00 ","$553,564.00 ","$62,888.00 ","$55,699.00 ","$87,969.00 ",Colorado
Connecticut,"$1,177,725.00 ","$1,175,469.00 ","$1,101,631.00 ","$73,838.00 ","$2,256.00 ","$156,543.00 ","$156,421.00 ","$141,424.00 ","$14,997.00 ",$122.00 ,"$416,292.00 ","$416,292.00 ","$389,617.00 ","$26,675.00 ",$0.00 ,"$604,890.00 ","$602,756.00 ","$570,590.00 ","$32,166.00 ","$27,505.00 ","$2,134.00 ",Connecticut
Delaware,"$411,399.00 ","$403,586.00 ","$392,816.00 ","$10,770.00 ","$7,813.00 ","$66,259.00 ","$63,432.00 ","$59,699.00 ","$3,733.00 ","$2,827.00 ","$97,153.00 ","$92,167.00 ","$91,016.00 ","$1,151.00 ","$4,986.00 ","$247,987.00 ","$247,987.00 ","$242,101.00 ","$5,886.00 ","$4,089.00 ",$0.00 ,Delaware
Florida,"$3,398,761.00 ","$3,365,864.00 ","$3,209,096.00 ","$156,768.00 ","$32,897.00 ","$398,715.00 ","$393,853.00 ","$369,284.00 ","$24,569.00 ","$4,862.00 ","$751,929.00 ","$724,129.00 ","$702,728.00 ","$21,401.00 ","$27,800.00 ","$2,248,117.00 ","$2,247,882.00 ","$2,137,084.00 ","$110,798.00 ","$78,113.00 ",$235.00 ,Florida
Georgia,"$1,438,972.00 ","$1,374,194.00 ","$1,305,295.00 ","$68,899.00 ","$64,778.00 ","$270,669.00 ","$254,582.00 ","$234,123.00 ","$20,459.00 ","$16,087.00 ","$162,002.00 ","$148,758.00 ","$144,986.00 ","$3,772.00 ","$13,244.00 ","$1,006,301.00 ","$970,854.00 ","$926,186.00 ","$44,668.00 ","$24,521.00 ","$35,447.00 ",Georgia
Hawaii,"$320,497.00 ","$313,417.00 ","$303,378.00 ","$10,039.00 ","$7,080.00 ","$8,471.00 ","$5,294.00 ","$5,039.00 ",$255.00 ,"$3,177.00 ","$163,419.00 ","$159,516.00 ","$152,941.00 ","$6,575.00 ","$3,903.00 ","$148,607.00 ","$148,607.00 ","$145,398.00 ","$3,209.00 ","$1,806.00 ",$0.00 ,Hawaii
Idaho,"$255,244.00 ","$251,742.00 ","$237,099.00 ","$14,643.00 ","$3,502.00 ","$42,569.00 ","$40,880.00 ","$35,653.00 ","$5,227.00 ","$1,689.00 ","$53,533.00 ","$53,533.00 ","$52,475.00 ","$1,058.00 ",$0.00 ,"$159,142.00 ","$157,329.00 ","$148,971.00 ","$8,358.00 ","$5,707.00 ","$1,813.00 ",Idaho
Illinois,"$2,076,062.00 ","$1,947,744.00 ","$1,735,481.00 ","$212,263.00 ","$128,318.00 ","$390,950.00 ","$354,783.00 ","$326,827.00 ","$27,956.00 ","$36,167.00 ","$294,278.00 ","$274,883.00 ","$270,303.00 ","$4,580.00 ","$19,395.00 ","$1,390,834.00 ","$1,318,078.00 ","$1,138,351.00 ","$179,727.00 ","$162,484.00 ","$72,756.00 ",Illinois
Indiana,"$953,266.00 ","$930,368.00 ","$871,440.00 ","$58,928.00 ","$22,898.00 ","$240,440.00 ","$236,742.00 ","$216,288.00 ","$20,454.00 ","$3,698.00 ","$99,790.00 ","$99,790.00 ","$98,420.00 ","$1,370.00 ",$0.00 ,"$613,036.00 ","$593,836.00 ","$556,732.00 ","$37,104.00 ","$20,106.00 ","$19,200.00 ",Indiana
Iowa,"$603,374.00 ","$535,996.00 ","$528,243.00 ","$7,753.00 ","$67,378.00 ","$84,809.00 ","$84,316.00 ","$82,915.00 ","$1,401.00 ",$493.00 ,"$226,651.00 ","$217,003.00 ","$213,366.00 ","$3,637.00 ","$9,648.00 ","$291,914.00 ","$234,677.00 ","$231,962.00 ","$2,715.00 ","$1,252.00 ","$57,237.00 ",Iowa
Kansas,"$528,717.00 ","$472,506.00 ","$451,141.00 ","$21,365.00 ","$56,211.00 ","$53,358.00 ","$53,358.00 ","$47,690.00 ","$5,668.00 ",$0.00 ,"$138,864.00 ","$134,022.00 ","$131,395.00 ","$2,627.00 ","$4,842.00 ","$336,495.00 ","$285,126.00 ","$272,056.00 ","$13,070.00 ","$9,954.00 ","$51,369.00 ",Kansas
Kentucky,"$957,567.00 ","$869,005.00 ","$797,326.00 ","$71,679.00 ","$88,562.00 ","$192,738.00 ","$166,961.00 ","$137,865.00 ","$29,096.00 ","$25,777.00 ","$303,910.00 ","$262,745.00 ","$253,913.00 ","$8,832.00 ","$41,165.00 ","$460,919.00 ","$439,299.00 ","$405,548.00 ","$33,751.00 ","$27,532.00 ","$21,620.00 ",Kentucky
