State,Total (Thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditure,State
Total,"$66,114,297 ","$61,743,018 ","$58,922,134 ","$2,820,884 ","$4,371,279 ","$11,144,395 ","$9,860,380 ","$9,225,721 ","$634,659 ","$1,284,015 ","$15,782,063 ","$14,944,737 ","$14,363,824 ","$580,913 ","$837,326 ","$39,187,839 ","$36,937,901 ","$35,332,589 ","$1,605,312 ","$1,248,386 ",2249938,Total
Alabama,"$712,838 ","$681,931 ","$668,207 ","$13,724 ","$30,907 ","$129,591 ","$105,090 ","$97,253 ","$7,837 ","$24,501 ","$226,319 ","$226,319 ","$224,814 ","$1,505 ", $-   ,"$356,928 ","$350,522 ","$346,140 ","$4,382 ","$2,673 ",6406,Alabama
Alaska,"$402,981 ","$387,057 ","$380,377 ","$6,680 ","$15,924 ","$83,961 ","$68,067 ","$65,813 ","$2,254 ","$15,894 ","$136,974 ","$136,944 ","$133,675 ","$3,269 ",$30 ,"$182,046 ","$182,046 ","$180,889 ","$1,157 ",$393 ,0,Alaska
Arizona,"$1,073,579 ","$944,272 ","$923,862 ","$20,410 ","$129,307 ","$172,512 ","$162,954 ","$152,574 ","$10,380 ","$9,558 ","$170,026 ","$140,677 ","$137,601 ","$3,076 ","$29,349 ","$731,041 ","$640,641 ","$633,687 ","$6,954 ",$300 ,90400,Arizona
Arkansas,"$505,996 ","$505,543 ","$486,469 ","$19,074 ",$453 ,"$69,422 ","$69,420 ","$67,033 ","$2,387 ",$2 ,"$130,771 ","$130,763 ","$130,444 ",$319 ,$8 ,"$305,803 ","$305,360 ","$288,992 ","$16,368 ","$14,508 ",443,Arkansas
California,"$9,999,263 ","$9,569,782 ","$9,231,274 ","$338,508 ","$429,481 ","$1,443,127 ","$1,266,594 ","$1,210,310 ","$56,284 ","$176,533 ","$2,865,790 ","$2,822,954 ","$2,777,289 ","$45,665 ","$42,836 ","$5,690,346 ","$5,480,234 ","$5,243,675 ","$236,559 ","$184,850 ",210112,California
Colorado,"$1,040,540 ","$940,196 ","$915,448 ","$24,748 ","$100,344 ","$105,653 ","$101,869 ","$98,680 ","$3,189 ","$3,784 ","$211,315 ","$211,315 ","$208,677 ","$2,638 ", $-   ,"$723,572 ","$627,012 ","$608,091 ","$18,921 ","$13,123 ",96560,Colorado
Connecticut,"$1,295,675 ","$1,293,696 ","$1,204,025 ","$89,671 ","$1,979 ","$169,501 ","$169,405 ","$161,395 ","$8,010 ",$96 ,"$510,504 ","$510,504 ","$465,802 ","$44,702 ", $-   ,"$615,670 ","$613,787 ","$576,828 ","$36,959 ","$27,584 ",1883,Connecticut
Delaware,"$391,138 ","$381,514 ","$378,020 ","$3,494 ","$9,624 ","$78,549 ","$73,490 ","$71,986 ","$1,504 ","$5,059 ","$106,504 ","$101,939 ","$101,155 ",$784 ,"$4,565 ","$206,085 ","$206,085 ","$204,879 ","$1,206 ",$19 ,0,Delaware
Florida,"$3,349,401 ","$3,339,326 ","$3,239,159 ","$100,167 ","$10,075 ","$415,772 ","$415,647 ","$380,738 ","$34,909 ",$125 ,"$792,358 ","$782,408 ","$772,932 ","$9,476 ","$9,950 ","$2,141,271 ","$2,141,271 ","$2,085,489 ","$55,782 ","$45,033 ",0,Florida
Georgia,"$1,716,621 ","$1,639,652 ","$1,574,839 ","$64,813 ","$76,969 ","$263,366 ","$244,301 ","$221,297 ","$23,004 ","$19,065 ","$181,690 ","$165,717 ","$161,617 ","$4,100 ","$15,973 ","$1,271,565 ","$1,229,634 ","$1,191,925 ","$37,709 ","$26,211 ",41931,Georgia
Hawaii,"$340,525 ","$334,396 ","$316,641 ","$17,755 ","$6,129 ","$10,349 ","$7,529 ","$7,189 ",$340 ,"$2,820 ","$195,142 ","$191,833 ","$176,460 ","$15,373 ","$3,309 ","$135,034 ","$135,034 ","$132,992 ","$2,042 ",$744 ,0,Hawaii
Idaho,"$261,872 ","$258,237 ","$247,661 ","$10,576 ","$3,635 ","$40,953 ","$39,279 ","$37,300 ","$1,979 ","$1,674 ","$56,106 ","$56,106 ","$55,465 ",$641 , $-   ,"$164,813 ","$162,852 ","$154,896 ","$7,956 ","$6,832 ",1961,Idaho
Illinois,"$2,089,490 ","$1,971,163 ","$1,853,922 ","$117,241 ","$118,327 ","$407,932 ","$369,833 ","$356,956 ","$12,877 ","$38,099 ","$312,048 ","$290,926 ","$286,363 ","$4,563 ","$21,122 ","$1,369,510 ","$1,310,404 ","$1,210,603 ","$99,801 ","$89,236 ",59106,Illinois
Indiana,"$959,292 ","$925,328 ","$888,692 ","$36,636 ","$33,964 ","$196,066 ","$189,688 ","$184,177 ","$5,511 ","$6,378 ","$108,751 ","$108,751 ","$106,800 ","$1,951 ", $-   ,"$654,475 ","$626,889 ","$597,715 ","$29,174 ","$24,501 ",27586,Indiana
Iowa,"$624,765 ","$558,822 ","$542,663 ","$16,159 ","$65,943 ","$86,332 ","$85,418 ","$84,875 ",$543 ,$914 ,"$243,522 ","$234,238 ","$219,220 ","$15,018 ","$9,284 ","$294,911 ","$239,166 ","$238,568 ",$598 ,$1 ,55745,Iowa
Kansas,"$582,578 ","$519,751 ","$464,852 ","$54,899 ","$62,827 ","$72,321 ","$69,805 ","$54,838 ","$14,967 ","$2,516 ","$173,989 ","$167,608 ","$166,437 ","$1,171 ","$6,381 ","$336,268 ","$282,338 ","$243,577 ","$38,761 ","$35,603 ",53930,Kansas
Kentucky,"$995,024 ","$913,824 ","$817,152 ","$96,672 ","$81,200 ","$188,584 ","$159,251 ","$143,001 ","$16,250 ","$29,333 ","$332,106 ","$302,261 ","$293,244 ","$9,017 ","$29,845 ","$474,334 ","$452,312 ","$380,907 ","$71,405 ","$67,161 ",22022,Kentucky
Louisiana,"$1,034,713 ","$828,626 ","$784,637 ","$43,989 ","$206,087 ","$262,317 ","$207,922 ","$187,356 ","$20,566 ","$54,395 ","$152,982 ","$151,528 ","$149,261 ","$2,267 ","$1,454 ","$619,414 ","$469,176 ","$448,020 ","$21,156 ","$16,186 ",150238,Louisiana
Maine,"$254,318 ","$252,732 ","$245,333 ","$7,399 ","$1,586 ","$68,212 ","$67,185 ","$63,272 ","$3,913 ","$1,027 ","$78,761 ","$78,252 ","$76,179 ","$2,073 ",$509 ,"$107,345 ","$107,295 ","$105,882 ","$1,413 ",$819 ,50,Maine
Maryland,"$1,779,373 ","$1,686,305 ","$1,626,690 ","$59,615 ","$93,068 ","$397,090 ","$306,617 ","$295,109 ","$11,508 ","$90,473 ","$331,894 ","$331,114 ","$311,660 ","$19,454 ",$780 ,"$1,050,389 ","$1,048,574 ","$1,019,921 ","$28,653 ","$24,350 ",1815,Maryland
Massachusetts,"$2,195,841 ","$1,935,842 ","$1,772,754 ","$163,088 ","$259,999 ","$424,923 ","$296,295 ","$269,184 ","$27,111 ","$128,628 ","$721,406 ","$720,295 ","$649,684 ","$70,611 ","$1,111 ","$1,049,512 ","$919,252 ","$853,886 ","$65,366 ","$54,715 ",130260,Massachusetts
Michigan,"$2,263,094 ","$2,074,968 ","$1,945,342 ","$129,626 ","$188,126 ","$320,612 ","$310,273 ","$294,395 ","$15,878 ","$10,339 ","$263,525 ","$150,279 ","$147,128 ","$3,151 ","$113,246 ","$1,678,957 ","$1,614,416 ","$1,503,819 ","$110,597 ","$87,586 ",64541,Michigan
Minnesota,"$904,850 ","$789,623 ","$766,005 ","$23,618 ","$115,227 ","$225,726 ","$199,937 ","$191,652 ","$8,285 ","$25,789 ","$275,597 ","$262,319 ","$257,034 ","$5,285 ","$13,278 ","$403,527 ","$327,367 ","$317,319 ","$10,048 ","$3,092 ",76160,Minnesota
Mississippi,"$432,090 ","$406,588 ","$388,346 ","$18,242 ","$25,502 ","$68,338 ","$67,109 ","$62,649 ","$4,460 ","$1,229 ","$68,123 ","$67,291 ","$66,723 ",$568 ,$832 ,"$295,629 ","$272,188 ","$258,974 ","$13,214 ","$11,820 ",23441,Mississippi
Missouri,"$1,033,070 ","$1,005,533 ","$930,336 ","$75,197 ","$27,537 ","$162,920 ","$154,228 ","$119,008 ","$35,220 ","$8,692 ","$213,877 ","$198,969 ","$193,007 ","$5,962 ","$14,908 ","$656,273 ","$652,336 ","$618,321 ","$34,015 ","$17,680 ",3937,Missouri
Montana,"$198,787 ","$180,212 ","$173,479 ","$6,733 ","$18,575 ","$45,678 ","$27,543 ","$25,183 ","$2,360 ","$18,135 ","$49,725 ","$49,285 ","$46,413 ","$2,872 ",$440 ,"$103,384 ","$103,384 ","$101,883 ","$1,501 ",$891 ,0,Montana
Nebraska,"$301,564 ","$282,891 ","$271,134 ","$11,757 ","$18,673 ","$69,707 ","$51,959 ","$46,739 ","$5,220 ","$17,748 ","$49,479 ","$49,479 ","$49,431 ",$48 , $-   ,"$182,378 ","$181,453 ","$174,964 ","$6,489 ","$6,145 ",925,Nebraska
Nevada,"$328,458 ","$326,096 ","$319,473 ","$6,623 ","$2,362 ","$58,925 ","$58,877 ","$56,469 ","$2,408 ",$48 ,"$53,177 ","$52,462 ","$52,038 ",$424 ,$715 ,"$216,356 ","$214,757 ","$210,966 ","$3,791 ","$3,233 ",1599,Nevada
New Hampshire,"$235,600 ","$224,337 ","$208,721 ","$15,616 ","$11,263 ","$41,749 ","$40,633 ","$31,223 ","$9,410 ","$1,116 ","$98,214 ","$89,283 ","$83,744 ","$5,539 ","$8,931 ","$95,637 ","$94,421 ","$93,754 ",$667 ,$160 ,1216,New Hampshire
New Jersey,"$2,331,274 ","$2,272,208 ","$2,234,811 ","$37,397 ","$59,066 ","$390,817 ","$389,508 ","$384,783 ","$4,725 ","$1,309 ","$645,684 ","$633,684 ","$621,228 ","$12,456 ","$12,000 ","$1,294,773 ","$1,249,016 ","$1,228,800 ","$20,216 ","$18,741 ",45757,New Jersey
New Mexico,"$550,994 ","$534,017 ","$523,092 ","$10,925 ","$16,977 ","$109,352 ","$92,530 ","$86,339 ","$6,191 ","$16,822 ","$176,797 ","$176,772 ","$173,611 ","$3,161 ",$25 ,"$264,845 ","$264,715 ","$263,142 ","$1,573 ",$98 ,130,New Mexico
New York,"$5,119,031 ","$4,897,803 ","$4,425,867 ","$471,936 ","$221,228 ","$587,382 ","$531,176 ","$487,699 ","$43,477 ","$56,206 ","$1,995,653 ","$1,953,950 ","$1,747,321 ","$206,629 ","$41,703 ","$2,535,996 ","$2,412,677 ","$2,190,847 ","$221,830 ","$189,416 ",123319,New York
North Carolina,"$1,740,172 ","$1,692,013 ","$1,641,932 ","$50,081 ","$48,159 ","$359,016 ","$333,621 ","$309,802 ","$23,819 ","$25,395 ","$438,445 ","$423,370 ","$420,280 ","$3,090 ","$15,075 ","$942,711 ","$935,022 ","$911,850 ","$23,172 ","$17,324 ",7689,North Carolina
North Dakota,"$97,689 ","$94,596 ","$91,352 ","$3,244 ","$3,093 ","$12,645 ","$12,450 ","$11,692 ",$758 ,$195 ,"$40,518 ","$39,079 ","$37,701 ","$1,378 ","$1,439 ","$44,526 ","$43,067 ","$41,959 ","$1,108 ",$435 ,1459,North Dakota
