State,Total justice system (Thousands of dollars),Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Police protection Total,Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Judicial and Legal Total,Direct expenditure Total,Direct current,Capital outlay,Inter-governmental expenditure Total,Corrections Total,Direct expenditure Total,Direct current,Capital outlay Total,Construct. Only,Inter-governmental expenditure Total,State
Total,69747699,64947744,62023289,2924455,4799955,11362668,9996942,9314053,682889,1365726,17695665,16583096,16039630,543466,1112569,40689366,38367706,36669606,1698100,1361406,2321660,Total
Alabama,788072,756669,741766,14903,31403,140111,115233,106175,9058,24878,225181,225181,223511,1670,--,422780,416255,412080,4175,1799,6525,Alabama
Alaska,414378,408835,400538,8297,5543,74196,68653,63723,4930,5543,143229,143229,142026,1203,--,196953,196953,194789,2164,1969,--,Alaska
Arizona,1244202,1111613,1046125,65488,132589,205139,196333,172816,23517,8806,186880,153945,150376,3569,32935,852183,761335,722933,38402,26423,90848,Arizona
Arkansas,583342,582938,560004,22934,404,99450,99423,99397,26,27,135126,135124,134958,166,2,348766,348391,325649,22742,22742,375,Arkansas
California,10416219,10127599,9956102,171497,288620,1242628,1222201,1183462,38739,20427,3153198,3100902,3077424,23478,52296,6020393,5804496,5695216,109280,83696,215897,California
Colorado,1061336,945775,928823,16952,115561,109898,106495,101340,5155,3403,218681,218253,212457,5796,428,732757,621027,615026,6001,1647,111730,Colorado
Connecticut,1262042,1258676,1242500,16176,3366,173987,173987,170712,3275,--,504782,504782,494905,9877,--,583273,579907,576883,3024,172,3366,Connecticut
Delaware,430910,423313,411705,11608,7597,86186,83912,80916,2996,2274,126708,121385,120468,917,5323,218016,218016,210321,7695,2,--,Delaware
Florida,3834352,3821237,3693033,128204,13115,479317,471932,451261,20671,7385,1047819,1042089,1032771,9318,5730,2307216,2307216,2209001,98215,88807,--,Florida
Georgia,1808811,1732071,1692310,39761,76740,225940,213050,206618,6432,12890,284990,267760,266938,822,17230,1297881,1251261,1218754,32507,27291,46620,Georgia
Hawaii,392174,385219,351058,34161,6955,15023,10870,10665,205,4153,206717,203915,174802,29113,2802,170434,170434,165591,4843,4046,--,Hawaii
Idaho,289581,277979,265966,12013,11602,43352,41243,38520,2723,2109,59648,59648,59215,433,--,186581,177088,168231,8857,8255,9493,Idaho
Illinois,1884161,1772939,1733513,39426,111222,385340,351176,340469,10707,34164,368593,303617,300147,3470,64976,1130228,1118146,1092897,25249,20240,12082,Illinois
Indiana,1032931,999992,964348,35644,32939,235532,232519,217111,15408,3013,118812,118774,117387,1387,38,678587,648699,629850,18849,13664,29888,Indiana
Iowa,517188,496553,489397,7156,20635,79795,74272,70713,3559,5523,210016,198623,196949,1674,11393,227377,223658,221735,1923,822,3719,Iowa
