State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Total,84938439,79715490,76534954,3180536,5222949,13594279,12034322,11333990,700332,1559957,21446629,20442128,19915555,526573,1004501,49897531,47239040,45285409,1953631,1509994,2658491,Total
Alabama,994642,933971,906557,27414,60671,182955,153522,140041,13481,29433,286406,284158,282564,1594,2248,525281,496291,483952,12339,7023,28990,Alabama
Alaska,523970,517285,502590,14695,6685,82585,75900,73578,2322,6685,197424,197424,186123,11301,0,243961,243961,242889,1072,790,0,Alaska
Arizona,1538262,1432033,1381828,50205,106229,273533,258245,223157,35088,15288,241036,200041,195380,4661,40995,1023693,973747,963291,10456,756,49946,Arizona
Arkansas,573858,573409,541400,32009,449,81440,81440,80986,454,0,130881,130881,130855,26,0,361537,361088,329559,31529,31529,449,Arkansas
California,14839615,14381514,14051615,329899,458101,1642063,1616248,1586319,29929,25815,4367612,4311198,4183075,128123,56414,8829940,8454068,8282221,171847,106005,375872,California
Colorado,1428523,1269406,1196113,73293,159117,140723,137282,119005,18277,3441,291534,291267,283859,7408,267,996266,840857,793249,47608,40380,155409,Colorado
Connecticut,1561700,1551613,1517347,34266,10087,216795,216795,207316,9479,0,621559,621559,600936,20623,0,723346,713259,709095,4164,1070,10087,Connecticut
Delaware,537603,530247,523000,7247,7356,113596,111450,107754,3696,2146,143297,138087,137266,821,5210,280710,280710,277980,2730,4,0,Delaware
Florida,4547193,4537091,4378002,159089,10102,453620,453347,432830,20517,273,1323394,1313565,1299522,14043,9829,2770179,2770179,2645650,124529,115062,0,Florida
Georgia,2165971,2124088,2062639,61449,41883,317358,317061,303620,13441,297,276652,271650,271403,247,5002,1571961,1535377,1487616,47761,41495,36584,Georgia
Hawaii,514317,506478,431941,74537,7839,13808,12145,11531,614,1663,281439,275264,211128,64136,6175,219070,219069,209282,9787,8101,1,Hawaii
Idaho,370976,360370,337520,22850,10606,51314,49438,45691,3747,1876,75158,75133,73787,1346,25,244504,235799,218042,17757,15354,8705,Idaho
Illinois,2097469,1978986,1950974,28012,118483,437448,397298,387428,9870,40150,415791,347289,344958,2331,68502,1244230,1234399,1218588,15811,12172,9831,Illinois
Indiana,1098906,1097413,1071665,25748,1493,254012,252552,239342,13210,1460,168261,168261,165658,2603,0,676633,676600,666665,9935,5400,33,Indiana
Iowa,654994,628573,605462,23111,26421,96991,89789,83214,6575,7202,266597,250937,247313,3624,15660,291406,287847,274935,12912,9900,3559,Iowa
Kansas,624440,562864,543084,19780,61576,110231,98849,88095,10754,11382,152561,151879,151746,133,682,361648,312136,303243,8893,7191,49512,Kansas
Kentucky,1136722,1067068,1052056,15012,69654,193185,168242,161217,7025,24943,416226,390639,384342,6297,25587,527311,508187,506497,1690,1,19124,Kentucky
Louisiana,1355445,1094992,1065403,29589,260453,349563,248443,241666,6777,101120,232806,213621,210223,3398,19185,773076,632928,613514,19414,7526,140148,Louisiana
Maine,315341,304780,301543,3237,10561,72231,69836,68589,1247,2395,101128,92962,91590,1372,8166,141982,141982,141364,618,10,0,Maine
Maryland,2261800,2161228,2101818,59410,100572,405655,339724,334276,5448,65931,489934,485628,475163,10465,4306,1366211,1335876,1292379,43497,36074,30335,Maryland
Massachusetts,2807552,2444022,2358493,85529,363530,569777,431812,415255,16557,137965,904815,903275,855603,47672,1540,1332960,1108935,1087635,21300,10813,224025,Massachusetts
Michigan,2520255,2329893,2324672,5221,190362,346258,307600,304385,3215,38658,310533,196793,196155,638,113740,1863464,1825500,1824132,1368,80,37964,Michigan
Minnesota,1284513,1124401,1056799,67602,160112,343342,265356,254334,11022,77986,404411,392352,385531,6821,12059,536760,466693,416934,49759,42423,70067,Minnesota
Mississippi,583497,527656,511133,16523,55841,117202,106697,94685,12012,10505,97047,92903,91587,1316,4144,369248,328056,324861,3195,108,41192,Mississippi
Missouri,1224295,1172556,1021172,151384,51739,214579,214579,175648,38931,0,254976,247211,240774,6437,7765,754740,710766,604750,106016,97505,43974,Missouri
Montana,297826,288673,278947,9726,9153,47166,40754,37051,3703,6412,82533,79792,77576,2216,2741,168127,168127,164320,3807,2484,0,Montana
Nebraska,367056,347968,342565,5403,19088,84698,65708,62264,3444,18990,63080,63080,63023,57,0,219278,219180,217278,1902,1484,98,Nebraska
Nevada,539064,527147,417523,109624,11917,105594,100601,87864,12737,4993,66229,61912,60433,1479,4317,367241,364634,269226,95408,89826,2607,Nevada
New Hampshire,276476,268614,262164,6450,7862,52148,50206,46562,3644,1942,112063,106880,105431,1449,5183,112265,111528,110171,1357,645,737,New Hampshire
New Jersey,2947570,2794018,2753778,40240,153552,510798,460590,442687,17903,50208,939796,897522,885375,12147,42274,1496976,1435906,1425716,10190,3711,61070,New Jersey
New Mexico,787720,770508,749353,21155,17212,140759,123547,117294,6253,17212,270334,270334,263534,6800,0,376627,376627,368525,8102,4268,0,New Mexico
New York,6762464,6361881,5911392,450489,400583,958637,779264,707239,72025,179373,2668640,2562402,2490777,71625,106238,3135187,3020215,2713376,306839,245380,114972,New York
North Carolina,2511236,2432226,2311118,121108,79010,567801,493650,449336,44314,74151,618951,617383,596554,20829,1568,1324484,1321193,1265228,55965,37909,3291,North Carolina
North Dakota,128304,126120,119278,6842,2184,27949,26936,22107,4829,1013,38987,38504,38133,371,483,61368,60680,59038,1642,978,688,North Dakota
Ohio,2354039,2107332,2033086,74246,246707,264055,251854,236825,15029,12201,421255,349562,339991,9571,71693,1668729,1505916,1456270,49646,38980,162813,Ohio
