State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovernmental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovernmental expenditure,State
Total,86038262,80945324,77714225,3231099,5092938,13676971,12216371,11578593,637778,1460600,21978852,20887445,20377912,509533,1091407,50382439,47841508,45757720,2083788,1427116,2540931,Total
Alabama,1024720,956384,939233,17151,68336,188250,155368,148165,7203,32882,295421,292377,289193,3184,3044,541049,508639,501875,6764,2379,32410,Alabama
Alaska,559446,550801,540003,10798,8645,88285,79705,77336,2369,8580,211272,211207,206226,4981,65,259889,259889,256441,3448,3063,0,Alaska
Arizona,1629615,1527862,1384969,142893,101753,268685,255782,225262,30520,12903,225909,185680,183754,1926,40229,1135021,1086400,975953,110447,104075,48621,Arizona
Arkansas,484692,483815,451729,32086,877,64360,64360,64342,18,0,115082,114740,114714,26,342,305250,304715,272673,32042,32042,535,Arkansas
California,15133414,14774799,14304270,470529,358615,1683827,1663859,1599489,64370,19968,4338812,4283643,4190896,92747,55169,9110775,8827297,8513885,313412,0,283478,California
Colorado,1541254,1370975,1252967,118008,170279,130808,127419,123838,3581,3389,326078,324591,316525,8066,1487,1084368,918965,812604,106361,96349,165403,Colorado
Connecticut,1580130,1569681,1551744,17937,10449,209541,209541,204111,5430,0,635151,635151,626999,8152,0,735438,724989,720634,4355,635,10449,Connecticut
Delaware,520462,512838,509174,3664,7624,106079,103909,102708,1201,2170,141620,136166,135043,1123,5454,272763,272763,271423,1340,0,0,Delaware
Florida,4320298,4319264,4082806,236458,1034,424007,423619,406597,17022,388,1225488,1224842,1203029,21813,646,2670803,2670803,2473180,197623,187536,0,Florida
Georgia,1956065,1898863,1819216,79647,57202,267760,260531,248886,11645,7229,258932,244714,244533,181,14218,1429373,1393618,1325797,67821,43892,35755,Georgia
Hawaii,548385,540712,454245,86467,7673,28394,26432,25148,1284,1962,289335,283624,208233,75391,5711,230656,230656,220864,9792,6685,0,Hawaii
Idaho,388952,379000,352804,26196,9952,54254,53042,48318,4724,1212,76888,76888,75580,1308,0,257810,249070,228906,20164,19259,8740,Idaho
Illinois,2168588,2059518,2034400,25118,109070,431348,395266,383550,11716,36082,443778,373108,370610,2498,70670,1293462,1291144,1280240,10904,7946,2318,Illinois
Indiana,1100738,1100480,1085776,14704,258,252094,251836,242766,9070,258,174307,174307,172497,1810,0,674337,674337,670513,3824,1327,0,Indiana
Iowa,656932,633640,612902,20738,23292,97987,92201,85642,6559,5786,266336,251238,246724,4514,15098,292609,290201,280536,9665,6414,2408,Iowa
Kansas,625133,561739,536849,24890,63394,110155,98178,87795,10383,11977,156306,155650,155476,174,656,358672,307911,293578,14333,12377,50761,Kansas
Kentucky,1125332,1057239,1045474,11765,68093,183117,157006,153650,3356,26111,436274,412452,405172,7280,23822,505941,487781,486652,1129,1,18160,Kentucky
Louisiana,1421514,1183139,1154938,28201,238375,343922,271941,260707,11234,71981,245093,228910,225136,3774,16183,832499,682288,669095,13193,3145,150211,Louisiana
Maine,319171,310760,308257,2503,8411,75535,73798,72453,1345,1737,95190,88516,87789,727,6674,148446,148446,148015,431,0,0,Maine
Maryland,2397928,2287982,2229084,58898,109946,471575,385965,376843,9122,85610,513769,509543,491018,18525,4226,1412584,1392474,1361223,31251,25521,20110,Maryland
Massachusetts,2827998,2470412,2367272,103140,357586,579052,453727,436697,17030,125325,919860,918021,845057,72964,1839,1329086,1098664,1085518,13146,4341,230422,Massachusetts
Michigan,2390854,2205399,2199052,6347,185455,323947,288339,283655,4684,35608,287698,175697,175411,286,112001,1779209,1741363,1739986,1377,316,37846,Michigan
Minnesota,1317306,1164508,1090901,73607,152798,349589,281513,266972,14541,68076,412765,399224,394680,4544,13541,554952,483771,429249,54522,47916,71181,Minnesota
Mississippi,585692,538083,522192,15891,47609,115494,106863,93759,13104,8631,102320,95195,94543,652,7125,367878,336025,333890,2135,88,31853,Mississippi
Missouri,1230651,1177241,1106693,70548,53410,211349,211349,181396,29953,0,253307,245460,242953,2507,7847,765995,720432,682344,38088,31033,45563,Missouri
Montana,314683,307328,294282,13046,7355,45213,40452,36810,3642,4761,89310,86716,84964,1752,2594,180160,180160,172508,7652,1973,0,Montana
Nebraska,381861,359236,353828,5408,22625,89722,67251,63784,3467,22471,63268,63268,63156,112,0,228871,228717,226888,1829,1317,154,Nebraska
Nevada,591463,574525,466767,107758,16938,110772,105650,100485,5165,5122,82169,75931,75220,711,6238,398522,392944,291062,101882,99564,5578,Nevada
New Hampshire,276624,274151,266826,7325,2473,56063,55055,51917,3138,1008,112878,111462,110678,784,1416,107683,107634,104231,3403,2927,49,New Hampshire
New Jersey,2905920,2793129,2744348,48781,112791,469289,448062,432344,15718,21227,962928,922750,910847,11903,40178,1473703,1422317,1401157,21160,9182,51386,New Jersey
New Mexico,817080,800840,772450,28390,16240,144802,128562,123982,4580,16240,292679,292679,277781,14898,0,379599,379599,370687,8912,4093,0,New Mexico
New York,6945014,6524964,6117524,407440,420050,967673,774840,728494,46346,192833,2893997,2771777,2701488,70289,122220,3083344,2978347,2687542,290805,261347,104997,New York
North Carolina,2505067,2441831,2329574,112257,63236,484271,430392,393726,36666,53879,667287,660725,646560,14165,6562,1353509,1350714,1289288,61426,54403,2795,North Carolina
North Dakota,141195,138889,131480,7409,2306,30173,28736,24957,3779,1437,44995,44697,42977,1720,298,66027,65456,63546,1910,890,571,North Dakota
Ohio,2406678,2191968,2123197,68771,214710,284908,275217,264682,10535,9691,389481,332060,326974,5086,57421,1732289,1584691,1531541,53150,48111,147598,Ohio
Oklahoma,1067176,1022779,979179,43600,44397,165575,164640,153542,11098,935,271870,247250,235079,12171,24620,629731,610889,590558,20331,8682,18842,Oklahoma
Oregon,1155207,1040912,1013164,27748,114295,166662,164490,156585,7905,2172,274724,274724,271583,3141,0,713821,601698,584996,16702,9666,112123,Oregon
Pennsylvania,3140071,2981736,2915762,65974,158335,879920,816171,790580,25591,63749,557549,516327,513544,2783,41222,1702602,1649238,1611638,37600,26181,53364,Pennsylvania
Rhode Island,352036,351580,341317,10263,456,67514,67058,61343,5715,456,104873,104873,101164,3709,0,179649,179649,178810,839,384,0,Rhode Island
South Carolina,793405,751442,715932,35510,41963,187735,173592,159161,14431,14143,118933,93503,91472,2031,25430,486737,484347,465299,19048,16685,2390,South Carolina
South Dakota,191344,187653,180843,6810,3691,31338,29377,27992,1385,1961,45499,45344,43690,1654,155,114507,112932,109161,3771,2801,1575,South Dakota
Tennessee,1300881,1069369,1022099,47270,231512,183422,181863,178594,3269,1559,306506,278500,278000,500,28006,810953,609006,565505,43501,42390,201947,Tennessee
Texas,5176919,4948555,4762538,186017,228364,747902,741907,655063,86844,5995,739176,646004,642404,3600,93172,3689841,3560644,3465071,95573,21244,129197,Texas
Utah,655504,645628,639202,6426,9876,125867,123605,119802,3803,2262,195917,188303,187696,607,7614,333720,333720,331704,2016,0,0,Utah
Vermont,256344,251251,248042,3209,5093,74996,70905,68777,2128,4091,61165,61165,60490,675,0,120183,119181,118775,406,8,1002,Vermont
Virginia,2786843,1899195,1856556,42639,887648,671407,298437,284766,13671,372970,567841,402276,397477,4799,165565,1547595,1198482,1174313,24169,3317,349113,Virginia
Washington,1657859,1542415,1378909,163506,115444,322286,235556,216420,19136,86730,176649,148810,140042,8768,27839,1158924,1158049,1022447,135602,118413,875,Washington
West Virginia,495339,494949,470459,24490,390,101691,101691,84032,17659,0,137479,137354,135447,1907,125,256169,255904,250980,4924,2938,265,West Virginia
Wisconsin,1576713,1430027,1394532,35495,146686,135843,128800,128553,247,7043,304692,274956,273471,1485,29736,1136178,1026271,992508,33763,28506,109907,Wisconsin
Wyoming,291766,285838,258465,27373,5928,72513,72513,72117,396,0,69996,65047,63917,1130,4949,149257,148278,122431,25847,25754,979,Wyoming
