State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2000,35129203,278856,173624,719690,275158,4244680,689090,555449,228076,2218703,1007576,154622,149835,1343545,554995,279196,317890,412032,530955,91882,903548,765464,1537371,364821,256750,529451,104223,172628,220695,85522,1161043,216722,2440336,907378,31104,1627946,467617,552483,1469375,139225,437104,62831,449107,2766911,245401,66127,1123734,731277,156190,837496,73469
2001,38164541,303759,172610,760323,290520,5313697,704421,604890,247987,2248117,1006301,148607,159142,1390834,613036,291914,336495,460919,581057,94514,978505,1033143,1675379,381037,271627,604714,106955,176136,235568,83968,1206768,223023,2566911,937572,37605,1581349,486255,575836,1558157,151172,480952,66745,491727,3074359,265689,71988,1247296,730116,122009,932819,80018
2002,38887742,331476,173844,733455,284600,5596427,734457,637897,245203,2199630,1271639,157286,171684,1359318,640711,288666,326372,435206,627743,105580,1059972,1070950,1690175,416429,272024,619674,106311,176389,226554,79500,1193432,241454,2492277,923487,38522,1440803,520912,592910,1521611,157531,424031,69673,529747,3157124,267607,79771,1243090,735214,170305,965801,83268
2003,39187839,356928,182046,731041,305803,5690346,723572,615670,206085,2141271,1271565,135034,164813,1369510,654475,294911,336268,474334,619414,107345,1050389,1049512,1678957,403527,295629,656273,103384,182378,216356,95637,1294773,264845,2535996,942711,44526,1686179,486313,533090,1359531,159095,426300,79858,558669,3201068,261283,81767,1194241,786781,182064,906725,89551
2004,39313812,397943,176642,790485,351786,5875717,701710,558043,202782,2185039,1304039,158029,170981,1284453,675194,219859,316669,452482,608725,112083,1064123,972276,1637305,411061,306477,609300,121156,188457,234116,94423,1375329,254639,2586817,1041109,45458,1558121,501001,494152,1488414,162234,419758,61675,596095,2972593,275912,93827,1215898,796810,182906,918706,91003
2005,40689366,422780,196953,852183,348766,6020393,732757,583273,218016,2307216,1297881,170434,186581,1130228,678587,227377,307630,432359,637139,123645,1060157,978756,1674237,408755,297852,632552,124632,194709,244584,123618,1383350,291444,2575383,1175790,51108,1538207,520801,544191,1713859,165827,403758,74141,619807,3127702,288684,97590,1285925,901258,200802,931325,184364
2006,42720103,451885,210204,879959,394989,6795960,817687,617988,244736,2440853,1383353,179322,199818,1150677,627610,240624,313137,458835,655377,126723,1189204,1071439,1720796,442046,309747,605601,143466,198847,262876,116802,1421376,291164,2711744,1150502,56819,1604952,559240,639605,1567499,172162,440638,107094,680730,3043724,301100,103120,1374956,953652,214702,948041,126722
2007,46497875,514385,237144,946922,331717,8093209,895827,668179,265937,2542387,1465496,197273,210533,1209228,632737,259104,317649,471523,651468,130051,1376322,1217913,1801658,535237,326751,669121,146574,212598,294380,109525,1489950,341179,3126699,1271328,54283,1335897,586836,697622,1720374,178364,470894,103166,769362,3302304,310334,114748,1425372,1090342,233639,1027163,117171
2008,49897531,525281,243961,1023693,361537,8829940,996266,723346,280710,2770179,1571961,219070,244504,1244230,676633,291406,361648,527311,773076,141982,1366211,1332960,1863464,536760,369248,754740,168127,219278,367241,112265,1496976,376627,3135187,1324484,61368,1668729,616933,720504,1744264,199394,514479,110268,768711,3565217,332828,120328,1547571,1205895,241996,1084127,164617
2009,50382439,541049,259889,1135021,305250,9110775,1084368,735438,272763,2670803,1429373,230656,257810,1293462,674337,292609,358672,505941,832499,148446,1412584,1329086,1779209,554952,367878,765995,180160,228871,398522,107683,1473703,379599,3083344,1353509,66027,1732289,629731,713821,1702602,179649,486737,114507,810953,3689841,333720,120183,1547595,1158924,256169,1136178,149257
2010,48549551,551544,270536,1061067,369684,7956461,985100,682065,261950,2504397,1432460,206695,223624,1301450,669218,289856,341998,511528,774510,145588,1392836,1203611,1684525,508658,366733,719591,184888,237884,298822,114567,1563653,413725,3266368,1436294,72657,1605846,587482,754369,1874225,174958,460351,110189,758842,3691934,302043,125326,1496231,1063830,270717,1131141,137524
