"Bureau of Justice Statistics",,,,,,,,,,,,,,
"filename:  cjee0003.csv",,,,,,,,,,,,,,
"table #:  3 Percent distribution of expenditure for the justice system by type of government, fiscal 2000",,,,,,,,,,,,,,
"series  title:  Justice Expenditure and Employment Extracts 2000, NCJ 202792",,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,
"authors:  Lynn Bauer",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2000",,,,,,,,,,,,,,
"(dollar amounts in thousands)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,"Total justice system",,,"Police protection",,,"Judicial and legal",,,"Corrections",,
"State and type of government","Population 2000 (thousands)","Total direct expenditure/a","Amount","Percent of total direct expenditure/b",,"Amount","Percent of total justice system",,"Amount","Percent of total justice system",,"Amount","Percent of total justice system",
,,,,,,,,,,,,,,
"States-local, total",281418,$1742913626.00,$132635690.00,7.6,"%",$56798071.00,42.8,"%",$27032180.00,20.4,"%",$48805439.00,36.8,"%"
"State","-",$757027323.00,$53991300.00,7.1,,$8580703.00,15.9,,$12370672.00,22.9,,$33039925.00,61.2,
"Local, total","-",$985886303.00,$78644390.00,8.0,,$48217368.00,61.3,,$14661508.00,18.6,,$15765514.00,20.0,
"Counties","-",$220348039.00,$37508487.00,17.0,,$13401035.00,35.7,,$11180512.00,29.8,,$12926940.00,34.5,
"Municipalities","-",$345348693.00,$41135903.00,11.9,,$34816333.00,84.6,,$3480996.00,8.5,,$2838574.00,6.9,
,,,,,,,,,,,,,,
"Alabama",4447,$25319135.00,$1321833.00,5.2,,$655951.00,49.6,,$261598.00,19.8,,$404284.00,30.6,
"State","-",$11964239.00,$537086.00,4.5,,$92171.00,17.2,,$172010.00,32.0,,$272905.00,50.8,
"Local, total","-",$13354896.00,$784747.00,5.9,,$563780.00,71.8,,$89588.00,11.4,,$131379.00,16.7,
"Counties","-",$1620602.00,$314950.00,19.4,,$142927.00,45.4,,$57169.00,18.2,,$114854.00,36.5,
"Municipalities","-",$4034255.00,$469797.00,11.6,,$420853.00,89.6,,$32419.00,6.9,,$16525.00,3.5,
,,,,,,,,,,,,,,
"Alaska",627,$8515351.00,$481705.00,5.7,,$176972.00,36.7,,$129744.00,26.9,,$174989.00,36.3,
"State","-",$5584192.00,$341390.00,6.1,,$49669.00,14.5,,$118097.00,34.6,,$173624.00,50.9,
"Local, total","-",$2931159.00,$140315.00,4.8,,$127303.00,90.7,,$11647.00,8.3,,$1365.00,1.0,
"Boroughs","-",$1046772.00,$18560.00,1.8,,$14577.00,78.5,,$3983.00,21.5,,$0.00,0.0,
"Municipalities","-",$1758777.00,$121755.00,6.9,,$112726.00,92.6,,$7664.00,6.3,,$1365.00,1.1,
,,,,,,,,,,,,,,
"Arizona",5131,$27293135.00,$2662075.00,9.8,,$1096134.00,41.2,,$610941.00,22.9,,$955000.00,35.9,
"State","-",$10375264.00,$949183.00,9.1,,$144730.00,15.2,,$144230.00,15.2,,$660223.00,69.6,
"Local, total","-",$16917871.00,$1712892.00,10.1,,$951404.00,55.5,,$466711.00,27.2,,$294777.00,17.2,
"Counties","-",$2985658.00,$826520.00,27.7,,$171803.00,20.8,,$359965.00,43.6,,$294752.00,35.7,
"Municipalities","-",$5558173.00,$886372.00,15.9,,$779601.00,88.0,,$106746.00,12.0,,$25.00,0.0,
,,,,,,,,,,,,,,
"Arkansas",2673,$12243360.00,$835961.00,6.8,,$351795.00,42.1,,$156396.00,18.7,,$327770.00,39.2,
"State","-",$6863930.00,$439922.00,6.4,,$73131.00,16.6,,$100394.00,22.8,,$266397.00,60.6,
"Local, total","-",$5379430.00,$396039.00,7.4,,$278664.00,70.4,,$56002.00,14.1,,$61373.00,15.5,
"Counties","-",$740932.00,$170602.00,23.0,,$70760.00,41.5,,$38702.00,22.7,,$61140.00,35.8,
"Municipalities","-",$1785454.00,$225437.00,12.6,,$207904.00,92.2,,$17300.00,7.7,,$233.00,0.1,
,,,,,,,,,,,,,,
"California",33872,$234115548.00,$22128975.00,9.5,,$8703685.00,39.3,,$6254902.00,28.3,,$7170388.00,32.4,
"State","-",$84383256.00,$7586898.00,9.0,,$1051106.00,13.9,,$2417422.00,31.9,,$4118370.00,54.3,
"Local, total","-",$149732292.00,$14542077.00,9.7,,$7652579.00,52.6,,$3837480.00,26.4,,$3052018.00,21.0,
"Counties","-",$42031231.00,$8725755.00,20.8,,$2392950.00,27.4,,$3381649.00,38.8,,$2951156.00,33.8,
"Municipalities","-",$40695966.00,$5816322.00,14.3,,$5259629.00,90.4,,$455831.00,7.8,,$100862.00,1.7,
,,,,,,,,,,,,,,
"Colorado",4301,$26169571.00,$1979115.00,7.6,,$830063.00,41.9,,$328713.00,16.6,,$820339.00,41.4,
"State","-",$10226930.00,$856645.00,8.4,,$77172.00,9.0,,$180271.00,21.0,,$599202.00,69.9,
"Local, total","-",$15942641.00,$1122470.00,7.0,,$752891.00,67.1,,$148442.00,13.2,,$221137.00,19.7,
"Counties","-",$2148853.00,$455489.00,21.2,,$218574.00,48.0,,$72367.00,15.9,,$164548.00,36.1,
"Municipalities","-",$5576612.00,$666981.00,12.0,,$534317.00,80.1,,$76075.00,11.4,,$56589.00,8.5,
,,,,,,,,,,,,,,
"Connecticut",3406,$24011246.00,$1665917.00,6.9,,$681914.00,40.9,,$430098.00,25.8,,$553905.00,33.2,
"State","-",$13360650.00,$1091359.00,8.2,,$140006.00,12.8,,$397448.00,36.4,,$553905.00,50.8,
"Local, total","-",$10650596.00,$574558.00,5.4,,$541908.00,94.3,,$32650.00,5.7,,$0.00,0.0,
"Municipalities","-",$9723886.00,$574558.00,5.9,,$541908.00,94.3,,$32650.00,5.7,,$0.00,0.0,
,,,,,,,,,,,,,,
"Delaware",784,$5152073.00,$485081.00,9.4,,$166302.00,34.3,,$90703.00,18.7,,$228076.00,47.0,
"State","-",$3354648.00,$374694.00,11.2,,$62991.00,16.8,,$83627.00,22.3,,$228076.00,60.9,
"Local, total","-",$1797425.00,$110387.00,6.1,,$103311.00,93.6,,$7076.00,6.4,,$0.00,0.0,
"Counties","-",$292521.00,$48734.00,16.7,,$41928.00,86.0,,$6806.00,14.0,,$0.00,0.0,
"Municipalities","-",$359843.00,$61653.00,17.1,,$61383.00,99.6,,$270.00,0.4,,$0.00,0.0,
,,,,,,,,,,,,,,
"District of Columbia",572,$6526972.00,$680407.00,10.4,,$329503.00,48.4,,$46400.00,6.8,,$304504.00,44.8,
"Local, total","-",$6526972.00,$680407.00,10.4,,$329503.00,48.4,,$46400.00,6.8,,$304504.00,44.8,
"Municipality","-",$5483415.00,$680407.00,12.4,,$329503.00,48.4,,$46400.00,6.8,,$304504.00,44.8,
,,,,,,,,,,,,,,
"Florida",15982,$84300913.00,$8407384.00,10.0,,$3738392.00,44.5,,$1396319.00,16.6,,$3272673.00,38.9,
"State","-",$31134485.00,$3261293.00,10.5,,$367398.00,11.3,,$676783.00,20.8,,$2217112.00,68.0,
"Local, total","-",$53166428.00,$5146091.00,9.7,,$3370994.00,65.5,,$719536.00,14.0,,$1055561.00,20.5,
"Counties","-",$16238727.00,$3467007.00,21.4,,$1811422.00,52.2,,$643780.00,18.6,,$1011805.00,29.2,
"Municipalities","-",$11533309.00,$1679084.00,14.6,,$1559572.00,92.9,,$75756.00,4.5,,$43756.00,2.6,
,,,,,,,,,,,,,,
"Georgia",8186,$43516518.00,$3179612.00,7.3,,$1279240.00,40.2,,$524875.00,16.5,,$1375497.00,43.3,
"State","-",$17633200.00,$1279918.00,7.3,,$193087.00,15.1,,$118094.00,9.2,,$968737.00,75.7,
"Local, total","-",$25883318.00,$1899694.00,7.3,,$1086153.00,57.2,,$406781.00,21.4,,$406760.00,21.4,
"Counties","-",$5569900.00,$1226338.00,22.0,,$546932.00,44.6,,$344561.00,28.1,,$334845.00,27.3,
"Municipalities","-",$5303718.00,$673356.00,12.7,,$539221.00,80.1,,$62220.00,9.2,,$71915.00,10.7,
,,,,,,,,,,,,,,
"Hawaii",1212,$8239002.00,$556441.00,6.8,,$221899.00,39.9,,$179920.00,32.3,,$154622.00,27.8,
"State","-",$6446707.00,$306450.00,4.8,,$4258.00,1.4,,$147570.00,48.2,,$154622.00,50.5,
"Local, total","-",$1792295.00,$249991.00,13.9,,$217641.00,87.1,,$32350.00,12.9,,$0.00,0.0,
"Counties","-",$497173.00,$78771.00,15.8,,$65101.00,82.6,,$13670.00,17.4,,$0.00,0.0,
"Municipalities","-",$1277997.00,$171220.00,13.4,,$152540.00,89.1,,$18680.00,10.9,,$0.00,0.0,
,,,,,,,,,,,,,,
"Idaho",1294,$6404069.00,$500098.00,7.8,,$207380.00,41.5,,$101617.00,20.3,,$191101.00,38.2,
"State","-",$3214864.00,$238743.00,7.4,,$37329.00,15.6,,$52688.00,22.1,,$148726.00,62.3,
