"Bureau of Justice Statistics",,,,,,,,,,
"filename:  jeeu0101.wk1",,,,,,,,,,
"table #:  1 Percent distribution of expenditure for the justice system by type of government, fiscal 2001",,,,,,,,,,
"report title:  Justice Expenditure and Employment in the United States, 2001 NCJ 202792",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  10/23/2003",,,,,,,,,,
,,,,,,,,,,
"Table #:  1 Percent distribution of expenditure for the justice system by type of government, fiscal 2001",,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,
,,,,,,,,,,
,,,,,"Percent distribution",,,,,
"Activity","All governments/a","Federal government","State government","Local government","Federal government",,"State government",,"Local government",
,,,,,,,,,,
"Total justice system",167112887,30443000,63372304,83377152,"-",,"-",,"-",
"Direct expenditure",167112887,25285000,58820452,83007435,15.1,"%",35.2,"%",49.7,"%"
"Intergovernmental expenditure","-",5158000,4551852,369717,"-",,"-",,"-",
,,,,,,,,,,
"Police protection",72405970,15013811,10496730,50717839,"-",,"-",,"-",
"Direct expenditure",72405970,12470000,9219650,50716320,17.2,,12.7,,70.0,
"Intergovernmental expenditure","-",2543811,1277080,1519,"-",,"-",,"-",
,,,,,,,,,,
"Judicial and legal",37751380,10230341,14443708,15938498,"-",,"-",,"-",
"Direct expenditure",37751380,8497000,13522531,15731849,22.5,,35.8,,41.7,
"Intergovernmental expenditure","-",1733341,921177,206649,"-",,"-",,"-",
,,,,,,,,,,
"Corrections",56955537,5198848,38431866,16720815,"-",,"-",,"-",
"Direct expenditure",56955537,4318000,36078271,16559266,7.6,,63.3,,29.1,
"Intergovernmental expenditure","-",880848,2353595,161549,"-",,"-",,"-",
,,,,,,,,,,
"Notes:  Local government data are estimates subject to sampling variability. Federal government data are for the fiscal period beginning October 1, 2000 and ending September 30, 2001. ",,,,,,,,,,
"a/ The total lines for each criminal justice activity, and for the total justice system, exclude duplicative intergovernmental amounts.  This was done to avoid the artificial inflation that would result if an ",,,,,,,,,,
"intergovernmental  expenditure of a government were tabulated and then counted again when the recipient government(s) expended the amount.  The intergovernmental expenditure lines are not totaled for the same reason. ",,,,,,,,,,
