Bureau of Justice Statistics,,,,,,,,,,,,,,
filename:  cjee0203.csv,,,,,,,,,,,,,,
"table #:  3 Percent distribution of expenditure for the justice system by type of government, fiscal 2002",,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,
authors:  Steven W. Perry,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,

"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2002",,,,,,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,,,,,

,,,Total justice system,,,Police protection,,,Judicial and legal,,,Corrections,,
State and type of government,2002 Population (thousands),Total direct expenditure/a,Amount,Percent of total direct expenditure/b,,Amount,Percent of total justice system,,Amount,Percent of total justice system,,Amount,Percent of total justice system,

"States-local, total","287,976","$2,044,331,212 ","$150,414,874 ",7.4,%,"$64,491,894 ",42.9,%,"$31,235,811 ",20.8,%,"$54,687,169 ",36.4,%
State,-,"$915,500,744 ","$60,295,061 ",6.6,,"$9,407,598 ",15.6,,"$14,415,793 ",23.9,,"$36,471,670 ",60.5
"Local, total",-,"$1,128,830,468 ","$90,119,813 ",8,,"$55,084,296 ",61.1,,"$16,820,018 ",18.7,,"$18,215,499 ",20.2
Counties,-,"$253,954,052 ","$44,051,998 ",17.3,,"$15,923,958 ",36.1,,"$12,874,720 ",29.2,,"$15,253,320 ",34.6
Municipalities,-,"$392,980,347 ","$46,067,815 ",11.7,,"$39,160,338 ",85,,"$3,945,298 ",8.6,,"$2,962,179 ",6.4
Alabama,"4,479","$28,530,974 ","$1,487,133 ",5.2,,"$710,441 ",47.8,,"$316,457 ",21.3,,"$460,235 ",30.9
State,-,"$13,900,856 ","$639,224 ",4.6,,"$100,402 ",15.7,,"$213,566 ",33.4,,"$325,256 ",50.9
"Local, total",-,"$14,630,118 ","$847,909 ",5.8,,"$610,039 ",71.9,,"$102,891 ",12.1,,"$134,979 ",15.9
Counties,-,"$2,006,766 ","$353,310 ",17.6,,"$161,479 ",45.7,,"$66,903 ",18.9,,"$124,928 ",35.4
Municipalities,-,"$4,415,759 ","$494,599 ",11.2,,"$448,560 ",90.7,,"$35,988 ",7.3,,"$10,051 ",2
Alaska,641,"$9,397,434 ","$570,594 ",6.1,,"$264,272 ",46.3,,"$131,049 ",23,,"$175,273 ",30.7
State,-,"$6,346,873 ","$357,837 ",5.6,,"$63,170 ",17.7,,"$120,823 ",33.8,,"$173,844 ",48.6
"Local, total",-,"$3,050,561 ","$212,757 ",7,,"$201,102 ",94.5,,"$10,226 ",4.8,,"$1,429 ",0.7
Boroughs,-,"$1,019,457 ","$14,853 ",1.5,,"$8,646 ",58.2,,"$6,207 ",41.8,,$0 ,0
Municipalities,-,"$1,924,863 ","$197,904 ",10.3,,"$192,456 ",97.2,,"$4,019 ",2,,"$1,429 ",0.7
Arizona,"5,441","$31,308,193 ","$3,035,958 ",9.7,,"$1,258,955 ",41.5,,"$654,984 ",21.6,,"$1,122,019 ",37
State,-,"$11,149,896 ","$958,417 ",8.6,,"$151,152 ",15.8,,"$164,929 ",17.2,,"$642,336 ",67
"Local, total",-,"$20,158,297 ","$2,077,541 ",10.3,,"$1,107,803 ",53.3,,"$490,055 ",23.6,,"$479,683 ",23.1
Counties,-,"$3,511,315 ","$1,053,562 ",30,,"$204,252 ",19.4,,"$369,693 ",35.1,,"$479,617 ",45.5
Municipalities,-,"$6,613,564 ","$1,023,979 ",15.5,,"$903,551 ",88.2,,"$120,362 ",11.8,,$66 ,0
Arkansas,"2,706","$14,569,974 ","$967,933 ",6.6,,"$403,229 ",41.7,,"$195,259 ",20.2,,"$369,445 ",38.2
State,-,"$8,449,567 ","$488,753 ",5.8,,"$71,768 ",14.7,,"$132,729 ",27.2,,"$284,256 ",58.2
"Local, total",-,"$6,120,407 ","$479,180 ",7.8,,"$331,461 ",69.2,,"$62,530 ",13,,"$85,189 ",17.8
Counties,-,"$753,558 ","$221,495 ",29.4,,"$96,839 ",43.7,,"$41,920 ",18.9,,"$82,736 ",37.4
Municipalities,-,"$2,001,735 ","$257,685 ",12.9,,"$234,622 ",91,,"$20,610 ",8,,"$2,453 ",1
California,"35,002","$290,548,219 ","$26,208,117 ",9,,"$10,147,080 ",38.7,,"$7,049,463 ",26.9,,"$9,011,574 ",34.4
State,-,"$110,240,232 ","$9,248,190 ",8.4,,"$1,132,235 ",12.2,,"$2,782,272 ",30.1,,"$5,333,683 ",57.7
"Local, total",-,"$180,307,987 ","$16,959,927 ",9.4,,"$9,014,845 ",53.2,,"$4,267,191 ",25.2,,"$3,677,891 ",21.7
Counties,-,"$50,493,127 ","$10,545,866 ",20.9,,"$3,194,207 ",30.3,,"$3,802,127 ",36.1,,"$3,549,532 ",33.7
Municipalities,-,"$47,629,880 ","$6,414,061 ",13.5,,"$5,820,638 ",90.7,,"$465,064 ",7.3,,"$128,359 ",2
Colorado,"4,501","$31,887,179 ","$2,313,314 ",7.3,,"$1,071,991 ",46.3,,"$385,613 ",16.7,,"$855,710 ",37
State,-,"$12,527,919 ","$945,955 ",7.6,,"$99,690 ",10.5,,"$207,272 ",21.9,,"$638,993 ",67.6
"Local, total",-,"$19,359,260 ","$1,367,359 ",7.1,,"$972,301 ",71.1,,"$178,341 ",13,,"$216,717 ",15.8
