Bureau of Justice Statistics,,,,,,,,,,,,,
Filename:  cjee0603.csv,,,,,,,,,,,,,
"Table 3. Percent distribution of expenditure for the justice system by type of government, fiscal 2006",,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version:  12/15/2008,,,,,,,,,,,,,

"Table 3.   Percent distribution of expenditure for the justice system by type of government, fiscal 2006",,,,,,,,,,,,,
(Dollar amounts in thousands),,,,,,,,,,,,,


,,,Total justice system,,,Police protection,,,Judicial and legal,,,Corrections,

State and typeof government,2006 Population (thousands),Total direct expenditure/a,Amount,Percent of total direct expenditure/b,,Amount,Percent of total justice system ,,Amount,Percent of total justice system ,,Amount,Percent of total justice system 

"States-local, total","298,751","$2,406,417,239 ","$178,246,103 ",7.4,%,"$78,833,873 ",44.2,%,"$36,823,027 ",20.7,%,"$62,589,203 ",35.1,%
State, - ,"$1,122,630,567 ","$69,040,752 ",6.1,,"$10,837,654 ",15.7,,"$17,790,081 ",25.8,,"$40,413,017 ",58.5,
"Local, total", - ,"$1,283,786,672 ","$109,205,351 ",8.5,,"$67,996,219 ",62.3,,"$19,032,946 ",17.4,,"$22,176,186 ",20.3,
Counties, - ,"$301,811,243 ","$53,851,669 ",17.8,,"$20,345,329 ",37.8,,"$14,712,155 ",27.3,,"$18,794,185 ",34.9,
Municipalities, - ,"$478,273,551 ","$55,353,682 ",11.6,,"$47,650,890 ",86.1,,"$4,320,791 ",7.8,,"$3,382,001 ",6.1,

Alabama,"4,590","$34,179,044 ","$1,927,002 ",5.6,,"$923,913 ",47.9,,"$356,611 ",18.5,,"$646,478 ",33.5,
State, - ,"$17,260,708 ","$815,053 ",4.7,,"$139,767 ",17.1,,"$231,251 ",28.4,,"$444,035 ",54.5,
"Local, total", - ,"$16,918,336 ","$1,111,949 ",6.6,,"$784,146 ",70.5,,"$125,360 ",11.3,,"$202,443 ",18.2,
Counties, - ,"$2,203,426 ","$462,807 ",21,,"$205,958 ",44.5,,"$82,013 ",17.7,,"$174,836 ",37.8,
Municipalities, - ,"$5,244,388 ","$649,142 ",12.4,,"$578,188 ",89.1,,"$43,347 ",6.7,,"$27,607 ",4.3,

Alaska,677,"$10,498,030 ","$605,332 ",5.8,,"$215,137 ",35.5,,"$178,152 ",29.4,,"$212,043 ",35,
State, - ,"$7,381,980 ","$443,116 ",6,,"$66,058 ",14.9,,"$166,854 ",37.7,,"$210,204 ",47.4,
"Local, total", - ,"$3,116,050 ","$162,216 ",5.2,,"$149,079 ",91.9,,"$11,298 ",7,,"$1,839 ",1.1,
Boroughs, - ,"$1,104,025 ","$15,944 ",1.4,,"$9,876 ",61.9,,"$6,068 ",38.1,,$0 ,0
Municipalities, - ,"$2,165,358 ","$146,272 ",6.8,,"$139,203 ",95.2,,"$5,230 ",3.6,,"$1,839 ",1.3

Arizona,"6,166","$40,502,996 ","$3,962,848 ",9.8,,"$1,692,482 ",42.7,,"$842,057 ",21.2,,"$1,428,309 ",36
State, - ,"$17,124,821 ","$1,210,511 ",7.1,,"$213,517 ",17.6,,"$170,801 ",14.1,,"$826,193 ",68.3
"Local, total", - ,"$23,378,175 ","$2,752,337 ",11.8,,"$1,478,965 ",53.7,,"$671,256 ",24.4,,"$602,116 ",21.9
Counties, - ,"$3,841,003 ","$1,406,070 ",36.6,,"$281,662 ",20,,"$525,036 ",37.3,,"$599,372 ",42.6
Municipalities, - ,"$9,073,585 ","$1,346,267 ",14.8,,"$1,197,303 ",88.9,,"$146,220 ",10.9,,"$2,744 ",0.2

Arkansas,"2,809","$17,928,663 ","$1,244,468 ",6.9,,"$505,272 ",40.6,,"$217,702 ",17.5,,"$521,494 ",41.9
State, - ,"$10,504,111 ","$636,848 ",6.1,,"$102,735 ",16.1,,"$139,563 ",21.9,,"$394,550 ",62
"Local, total", - ,"$7,424,552 ","$607,620 ",8.2,,"$402,537 ",66.2,,"$78,139 ",12.9,,"$126,944 ",20.9
Counties, - ,"$829,783 ","$292,582 ",35.3,,"$117,045 ",40,,"$52,244 ",17.9,,"$123,293 ",42.1
Municipalities, - ,"$2,318,380 ","$315,038 ",13.6,,"$285,492 ",90.6,,"$25,895 ",8.2,,"$3,651 ",1.2

California,"36,250","$342,449,824 ","$31,562,858 ",9.2,,"$12,878,150 ",40.8,,"$7,770,580 ",24.6,,"$10,914,128 ",34.6
State, - ,"$137,000,354 ","$11,254,559 ",8.2,,"$1,301,716 ",11.6,,"$3,485,885 ",31,,"$6,466,958 ",57.5
"Local, total", - ,"$205,449,470 ","$20,308,299 ",9.9,,"$11,576,434 ",57,,"$4,284,695 ",21.1,,"$4,447,170 ",21.9
Counties, - ,"$55,571,326 ","$12,038,176 ",21.7,,"$3,778,471 ",31.4,,"$3,982,909 ",33.1,,"$4,276,796 ",35.5
Municipalities, - ,"$60,582,078 ","$8,270,123 ",13.7,,"$7,797,963 ",94.3,,"$301,786 ",3.6,,"$170,374 ",2.1

Colorado,"4,766","$35,927,167 ","$2,677,286 ",7.5,,"$1,203,113 ",44.9,,"$473,587 ",17.7,,"$1,000,586 ",37.4
State, - ,"$14,529,667 ","$1,029,497 ",7.1,,"$106,898 ",10.4,,"$233,253 ",22.7,,"$689,346 ",67
"Local, total", - ,"$21,397,500 ","$1,647,789 ",7.7,,"$1,096,215 ",66.5,,"$240,334 ",14.6,,"$311,240 ",18.9
Counties, - ,"$3,124,000 ","$730,867 ",23.4,,"$359,445 ",49.2,,"$141,203 ",19.3,,"$230,219 ",31.5
Municipalities, - ,"$7,689,650 ","$916,922 ",11.9,,"$736,770 ",80.4,,"$99,131 ",10.8,,"$81,021 ",8.8

Connecticut,"3,496","$30,472,665 ","$2,110,406 ",6.9,,"$905,086 ",42.9,,"$586,922 ",27.8,,"$618,398 ",29.3
State, - ,"$17,246,126 ","$1,357,056 ",7.9,,"$197,755 ",14.6,,"$541,313 ",39.9,,"$617,988 ",45.5
"Local, total", - ,"$13,226,539 ","$753,350 ",5.7,,"$707,331 ",93.9,,"$45,609 ",6.1,,$410 ,0.1
Municipalities, - ,"$12,793,680 ","$753,350 ",5.9,,"$707,331 ",93.9,,"$45,609 ",6.1,,$410 ,0.1

Delaware,853,"$8,004,153 ","$678,041 ",8.5,,"$285,881 ",42.2,,"$147,424 ",21.7,,"$244,736 ",36.1
State, - ,"$5,390,196 ","$476,452 ",8.8,,"$99,090 ",20.8,,"$132,626 ",27.8,,"$244,736 ",51.4
"Local, total", - ,"$2,613,957 ","$201,589 ",7.7,,"$186,791 ",92.7,,"$14,798 ",7.3,,$0 ,0
Counties, - ,"$468,835 ","$94,350 ",20.1,,"$84,670 ",89.7,,"$9,680 ",10.3,,$0 ,0
Municipalities, - ,"$600,434 ","$107,239 ",17.9,,"$102,121 ",95.2,,"$5,118 ",4.8,,$0 ,0

District of Columbia,582,"$8,877,742 ","$770,689 ",8.7,,"$493,234 ",64,,"$71,897 ",9.3,,"$205,558 ",26.7
"Local, total", - ,"$8,877,742 ","$770,689 ",8.7,,"$493,234 ",64,,"$71,897 ",9.3,,"$205,558 ",26.7
Municipality, - ,"$8,154,670 ","$770,689 ",9.5,,"$493,234 ",64,,"$71,897 ",9.3,,"$205,558 ",26.7

Florida,"18,058","$134,055,540 ","$12,086,516 ",9,,"$5,927,608 ",49,,"$2,111,317 ",17.5,,"$4,047,591 ",33.5
State, - ,"$56,797,200 ","$4,082,948 ",7.2,,"$465,380 ",11.4,,"$1,176,715 ",28.8,,"$2,440,853 ",59.8
"Local, total", - ,"$77,258,340 ","$8,003,568 ",10.4,,"$5,462,228 ",68.2,,"$934,602 ",11.7,,"$1,606,738 ",20.1
