State,Crime 2015,Crime 2016
Alabama,336933,339881
Alaska,53042,62441
Arizona,472572,480482
Arkansas,227745,229813
California,2392935,2363881
Colorado,325206,344285
Connecticut,147681,146135
Delaware,60867,62577
Florida,1333186,1290552
Georgia,712151,704048
Hawaii,98220,94787
Idaho,65518,66995
Illinois,617036,639955
Indiana,396259,399059
Iowa,147491,149924
Kansas,184310,179825
Kentucky,216029,216106
Louisiana,367066,363104
Maine,52511,47420
Maryland,342673,332956
Massachusetts,283538,265624
Michigan,470588,475498
Minnesota,272285,264031
Mississippi,188801,183135
Missouri,410018,406270
Montana,62251,64046
Nebraska,96176,98164
Nevada,195742,193258
New Hampshire,52758,46085
New Jersey,338179,321221
New Mexico,182986,194217
New York,789116,763501
North Carolina,623184,633154
North Dakota,39615,38866
Ohio,680222,672609
Oklahoma,263020,270879
Oregon,262057,265611
Pennsylvania,547683,529717
Rhode Island,45548,45492
South Carolina,376273,373359
South Dakota,40449,41903
Tennessee,475758,465855
Texas,1793795,1789836
Utah,195117,196046
Vermont,19726,23306
Virginia,350783,351393
Washington,541964,555611
West Virginia,90675,88556
Wisconsin,264764,260256
Wyoming,25026,25930
