State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2014
estimated 
population",Year
ALABAMA,Total all ages,"1,815",33,695,1,1,20,11,15,679,0,1,218,8,19,7,22,5,15,0,0,220,0,0,162,7,119,21,8,256,0,0,,,2014
ALASKA,Total all ages,"25,935","1,577","3,451",19,87,208,"1,263",282,"2,824",204,141,"3,134",77,182,62,24,732,218,36,250,"1,159",0,187,"2,336","1,171",125,731,0,"10,461",17,5,,,2014
ARIZONA,Total all ages,"261,448","8,899","41,250",181,303,"1,593","6,822","3,893","35,580","1,579",198,"25,530","1,140","2,076",156,"1,182","10,747","2,370",855,"1,629","29,670",6,"2,466","26,843","14,323",0,"14,777",288,"75,863",0,"1,378",,,2014
ARKANSAS,Total all ages,"119,850","3,998","15,484",86,243,582,"3,087","2,176","12,845",413,50,"10,590",724,"1,256",44,"1,138","1,252",898,222,118,"11,168",8,277,"6,844","1,918","5,912","2,462",542,"54,791",0,204,,,2014
CALIFORNIA ,Total all ages,"1,217,089","106,058","134,746","1,427","2,443","14,793","87,395","48,498","71,440","13,755","1,053","78,126","5,222","6,551","1,047","17,379","17,175","24,484","9,153","9,727","229,083",285,316,"155,285","15,673","89,901","6,308","8,105","299,229",0,"3,236",,,2014
COLORADO,Total all ages,"239,994","5,936","32,318",128,458,939,"4,411","2,671","27,857","1,565",225,"16,849",585,"1,928",88,319,"5,296","2,164",347,525,"13,381",13,"3,225","27,874","12,641",271,"9,801",561,"104,264",0,"1,608",,,2014
CONNECTICUT,Total all ages,"107,855","4,051","17,132",94,238,"1,166","2,553","2,409","13,857",581,285,"18,508",681,963,164,285,"2,011","1,129",348,389,"9,927",14,"1,401","8,918",357,2,"11,949",26,"29,593",0,7,,,2014
DELAWARE,Total all ages,"36,780","2,126","7,963",22,78,537,"1,489","1,027","6,780",128,28,"6,826",272,"1,884",204,435,774,394,64,137,"6,163",6,194,334,"1,120",473,"1,645",489,"5,212",0,65,,,2014
DISTRICT OF COLUMBIA,Total all ages,"5,709",110,128,0,1,64,45,0,119,8,1,202,12,3,0,14,38,92,0,0,389,0,0,10,532,64,76,92,"3,945",0,2,,,2014
FLORIDA,Total all ages,"865,272","39,249","119,875",685,"1,839","7,712","29,013","20,914","92,468","6,204",289,"81,138","2,482","12,236",954,"2,400","6,464","4,911","3,356","2,583","122,190",416,0,"42,745","21,682",0,0,0,"402,591",0,0,,,2014
GEORGIA,Total all ages,"307,221","11,535","47,951",419,326,"2,625","8,165","6,739","39,374","1,624",214,"29,725","3,512","5,485",399,"3,048","3,913","3,363",679,"3,229","42,619",238,"3,849","23,004","6,706","2,051","19,913","1,205","93,921",250,626,,,2014
HAWAII,Total all ages,"9,464",332,"1,072",6,22,63,241,215,723,130,4,640,12,11,0,0,72,89,20,20,"1,122",53,8,810,106,0,154,0,"4,824",0,119,,,2014
IDAHO,Total all ages,"59,003","1,403","6,673",16,108,92,"1,187",986,"5,417",207,63,"5,017",125,371,60,231,"1,051",354,17,245,"7,409",0,911,"7,439","2,478",372,"1,666",21,"22,881",0,279,,,2014
ILLINOIS  ,Total all ages,"108,211","4,655","14,984",329,349,"2,058","1,919","1,678","10,688","2,544",74,"16,555",216,267,0,74,"2,896","3,343",931,534,"29,478","1,356",313,"3,653",462,0,"9,651",47,"18,700",0,96,,,2014
INDIANA,Total all ages,"143,682","7,463","22,937",189,170,"1,185","5,919","2,488","19,081","1,271",97,"13,121",866,"1,355",130,683,"1,390","1,559",497,828,"16,167",14,"1,240","14,878","5,940","5,847","3,900",232,"44,071",188,376,,,2014
IOWA,Total all ages,"100,607","4,158","14,885",28,157,361,"3,612","1,499","12,882",394,110,"8,537",509,761,74,204,"2,289",742,68,193,"9,115",5,"1,208","9,952","4,352","10,951","5,443",16,"26,765",0,380,,,2014
KANSAS,Total all ages,"68,291","1,992","6,214",37,151,205,"1,599",819,"4,943",395,57,"9,041",261,648,159,368,"1,808",450,104,194,"7,677",0,207,"8,438","3,868",287,"2,146",0,"24,429",0,0,,,2014
KENTUCKY,Total all ages,"178,916","3,790","23,106",159,249,"1,260","2,122","3,507","18,825",629,145,"11,316","1,022","1,135",483,"1,912","1,097","1,015",226,370,"21,644",9,"4,758","19,953",234,"15,663","4,537",179,"66,467",0,0,,,2014
LOUISIANA,Total all ages,"121,145","5,215","20,526",165,218,669,"4,163","3,445","16,290",721,70,"15,282",546,"1,154",98,"1,166","1,968","1,585",398,619,"17,693",34,"1,125","5,598","1,154","2,626","5,777",124,"38,180",102,175,,,2014
MAINE,Total all ages,"47,815",762,"7,286",10,65,164,523,905,"6,117",222,42,"5,224",232,643,58,148,"1,168",270,52,207,"5,802",4,154,"5,531","3,124",16,"1,568",0,"15,544",0,22,,,2014
