State,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2000,202159,26641,299092,110019,1266714,171304,110091,35090,910154,388949,62987,41228,532315,228135,94630,118527,119626,242344,33400,255085,192131,408456,171611,113911,253338,31878,70085,85297,30068,265935,100391,588189,395972,14694,458874,157302,165780,367858,36444,209482,17511,278218,1033311,99958,18185,214348,300932,47067,172124,16285
2001,192835,26895,322549,111296,1346557,186379,106791,32267,913230,389543,65947,41392,511494,234282,96499,116446,119449,238371,34588,261600,197666,407777,178191,119615,268883,33362,74177,89845,29233,273645,97383,556106,404242,15339,475138,159405,175174,363840,39020,193103,17644,295770,1098809,96307,16978,228445,308492,46120,179410,17392
2002,200331,27745,348467,112672,1384872,195936,103719,31803,905957,385830,75238,42547,506086,230966,101265,110997,118799,228528,34381,259120,198890,389366,177454,119442,261077,31948,73606,97752,28306,259789,94196,537121,392826,15258,469104,165715,171443,350446,38393,217569,17342,290961,1130292,103129,15600,229039,309931,45320,176987,17858
2003,201572,28130,342973,111141,1420637,195046,101537,33046,881976,408923,69267,43058,486049,229890,95198,119548,121195,224631,33500,248196,194214,381880,170979,116575,255972,31779,69578,109874,28364,251398,89771,520713,397906,13779,454420,168966,180750,349857,35305,218579,16624,296010,1138623,105207,14303,220106,312820,47375,169842,17962
2004,201664,26331,335699,124201,1425264,197527,102078,30992,850895,416873,63738,42345,474096,232223,93839,118939,115361,227997,33104,241258,187262,358785,168770,109548,252855,29938,66905,112594,28681,242256,92976,507648,393572,12662,460073,167107,177199,350609,33839,222035,16227,295147,1132256,103246,15039,220227,322167,50421,158258,18052
2005,197071,28169,317823,127434,1390709,206947,99429,31577,838955,419259,64368,42226,463540,237080,92698,114575,116742,193500,33372,237852,180478,368720,173544,103362,258286,32041,65255,117078,25261,234310,93536,491829,394505,13220,460172,161450,170643,353205,31963,217030,15147,299839,1111384,101158,14956,221044,329406,52653,160646,17242
2006,200578,28765,316286,127027,1350137,182670,97605,34988,849879,408289,57997,39096,456976,241003,92034,115406,118086,201158,34812,233586,182688,381129,175242,102084,255450,27784,64058,120544,26466,230630,89528,480270,407084,13532,462444,146805,146268,358653,30047,216400,14004,295204,1080838,95393,15231,210974,308653,52759,172354,16584
2007,204530,27617,310394,127068,1299685,163047,93017,35103,878227,419417,57729,37274,445850,236691,86959,114686,119326,206308,33546,228858,182078,362763,172832,101926,249441,29243,61469,116173,26703,220827,86479,461731,412616,12999,435569,145634,142920,345359,30147,223028,14503,298104,1107196,98804,15202,211007,282275,50740,175255,16235
2008,211454,24598,307979,123882,1265920,157671,96514,37444,885199,435319,49516,35502,446135,233998,81209,106140,122960,197574,33832,233558,185133,343751,162527,94781,246404,27679,56754,108477,29595,227477,90468,466118,416060,13220,431859,144568,134144,351068,32470,222374,14854,296142,1093134,97943,16615,215516,267839,51575,170548,15710
2009,198808,24998,261511,123997,1184073,150944,92689,35283,825551,402280,50978,34271,417532,221564,77838,101698,119560,198305,33264,216045,182050,332465,151925,95485,232142,26497,54673,99322,30738,208218,87518,453491,382027,13800,415885,150243,123255,325477,30157,207965,15476,278406,1116813,97129,15748,209332,266424,51377,162019,15596
2010,186148,24796,251978,118510,1146072,151125,88443,36538,771004,391751,48657,34751,399824,217649,76648,99546,121237,190243,34555,204671,184458,316661,148946,96577,227666,27862,53925,92773,30980,210097,82868,452138,363372,13408,410747,146113,125083,322537,29611,208055,17268,271053,1064477,93759,15096,203283,270354,47330,156754,14978
2011,193364,23411,256733,124424,1128845,149744,87376,36014,769399,392586,49838,35971,401272,227681,79187,98600,128764,194150,35445,195496,177009,301962,148089,98151,225771,25825,55391,85040,32584,216922,85351,449745,374336,14935,422781,144495,130180,328419,30743,209445,17073,269205,996372,89252,15311,198064,264267,48050,152481,14123
