"Rate per 100,000 inhabitants",Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
ALABAMA,4465.20,,444.20,4020.90,6.80,37.10,132.90,267.50,949.00,2762.30,309.60,
ALASKA,4309.70,,563.40,3746.30,5.10,79.40,76.00,402.90,607.00,2755.40,383.80,
ARIZONA,6386.30,,552.90,5833.40,7.10,29.50,146.60,369.80,1082.90,3693.60,1056.90,
ARKANSAS,4157.50,,424.40,3733.10,5.20,27.80,93.10,298.20,857.10,2624.60,251.40,
CALIFORNIA,3943.70,,593.40,3350.30,6.80,29.00,185.00,372.60,679.00,2038.10,633.20,
COLORADO,4347.80, ,352.40,3995.40,4.00,45.80,79.40,223.20,702.90,2778.00,514.40,
CONNECTICUT,2997.20, ,311.10,2686.10,2.30,21.10,117.30,170.40,493.80,1857.90,334.40,
DELAWARE,3939.00,,599.00,3340.00,3.20,44.30,142.90,408.50,663.30,2298.20,378.60,
FLORIDA,5420.60, ,770.20,4650.40,5.50,40.40,194.90,529.40,1060.50,3060.30,529.60,
GEORGIA,4507.20, ,458.80,4048.40,7.10,24.60,156.90,270.10,863.70,2740.40,444.30,
HAWAII,6043.70, ,262.00,5781.70,1.90,29.90,97.20,133.00,1021.90,3963.70,796.00,
IDAHO,3172.50, ,254.90,2917.50,2.70,37.10,17.90,197.30,554.80,2166.80,195.90,
ILLINOIS,4016.40, ,620.70,3395.60,7.50,34.10,200.60,378.50,643.80,2395.90,356.00,
INDIANA,3750.00, ,357.20,3392.80,5.90,29.90,107.40,214.10,691.70,2371.70,329.40,
IOWA,3448.20, ,285.60,3162.60,1.50,27.10,39.80,217.20,634.80,2329.50,198.30,
KANSAS,4087.00, ,376.60,3710.30,2.90,38.10,79.70,255.90,724.60,2720.20,265.50,
KENTUCKY,2902.60, ,279.00,2623.60,4.50,26.60,74.80,173.10,680.60,1729.20,213.80,
LOUISIANA,5098.10, ,662.30,4435.70,13.20,34.10,158.90,456.10,1011.70,2973.70,450.30,
MAINE,2656.00, ,107.80,2548.20,1.10,29.10,20.90,56.80,538.10,1899.70,110.40,
MARYLAND,4747.40, ,769.80,3977.60,9.40,25.10,245.80,489.50,728.50,2625.80,623.30,
MASSACHUSETTS,3094.20, ,484.40,2609.80,2.70,27.60,111.50,342.50,517.20,1679.00,413.60,
MICHIGAN,3874.10, ,540.30,3333.80,6.70,53.40,117.90,362.30,706.10,2132.90,494.70,
MINNESOTA,3535.10, ,267.50,3267.60,2.20,45.30,78.40,141.60,558.50,2433.40,275.80,
MISSISSIPPI,4159.20, ,343.30,3815.90,9.20,39.20,116.90,178.00,1030.50,2453.80,331.60,
MISSOURI,4602.40, ,538.70,4063.80,5.80,25.80,123.80,383.20,753.10,2819.20,491.50,
MONTANA,3512.90, ,351.50,3161.40,1.80,26.10,31.10,292.60,361.60,2603.70,196.10,
NEBRASKA,4256.70, ,313.90,3942.80,2.80,26.80,78.60,205.70,597.30,2974.80,370.60,
NEVADA,4497.50, ,637.50,3860.00,8.30,42.70,235.50,351.00,871.90,2183.50,804.50,
NEW HAMPSHIRE,2220.00, ,161.20,2058.70,0.90,35.00,32.40,92.90,379.40,1526.80,152.50,
