Area,Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4478.60,429.50,6.60,36.80,134.20,251.90,4049.10,960.80,2756.00,332.30
ALASKA,4335.60,593.40,6.00,92.50,68.40,426.50,3742.20,594.20,2770.70,377.30
ARIZONA,6145.60,513.20,7.90,33.30,136.50,335.50,5632.40,1050.30,3560.90,1021.30
ARKANSAS,4077.50,456.10,6.40,33.10,81.70,334.80,3621.40,913.60,2487.30,220.50
CALIFORNIA,4003.60,579.30,6.80,28.20,179.70,364.60,3424.30,682.80,2061.40,680.10
COLORADO,4286.00,345.10,3.90,41.60,82.10,217.60,3940.90,711.30,2730.80,498.80
CONNECTICUT,2914.90,308.20,3.00,18.70,119.00,167.50,2606.70,448.10,1842.10,316.50
DELAWARE,4042.40,658.00,2.90,43.20,169.90,442.00,3384.40,729.80,2302.30,352.30
FLORIDA,5182.20,730.20,5.40,39.50,185.20,500.10,4452.00,1002.70,2970.10,479.20
GEORGIA,4708.50,453.90,7.60,25.70,161.80,258.80,4254.60,909.20,2846.00,499.40
HAWAII,5507.90,270.40,1.70,29.20,92.90,146.50,5237.50,907.20,3562.90,767.40
IDAHO,3151.40,242.70,1.80,37.20,17.90,185.80,2908.70,570.20,2147.50,190.90
ILLINOIS,3841.20,556.80,7.10,32.90,188.20,328.60,3284.40,618.70,2335.60,330.10
INDIANA,3710.50,352.80,5.50,27.80,103.30,216.20,3357.70,671.10,2351.40,335.20
IOWA,3233.50,272.40,1.60,25.90,38.10,206.80,2961.10,596.00,2174.90,190.20
KANSAS,4389.50,395.50,4.50,38.30,82.50,270.20,3994.00,803.60,2904.80,285.60
KENTUCKY,2943.20,261.70,4.60,25.60,77.60,153.90,2681.50,671.60,1782.40,227.50
LOUISIANA,4995.80,646.30,13.00,41.10,157.20,435.00,4349.50,998.10,2909.30,442.20
MAINE,2565.60,108.90,1.20,27.10,22.10,58.40,2456.70,503.90,1841.30,111.50
MARYLAND,4505.30,703.90,9.50,24.70,241.50,428.30,3801.40,701.40,2439.20,660.80
MASSACHUSETTS,3018.90,469.40,2.20,27.90,124.10,315.10,2549.50,539.70,1613.30,396.50
MICHIGAN,3788.50,511.20,6.10,54.10,111.70,339.30,3277.30,677.20,2067.10,533.10
MINNESOTA,3379.40,262.60,2.50,41.20,77.20,141.80,3116.80,547.40,2297.40,272.00
MISSISSIPPI,4045.90,325.50,9.30,37.40,104.80,174.10,3720.40,1035.60,2374.20,310.60
MISSOURI,4487.30,472.80,5.00,24.40,108.70,334.50,4014.50,717.10,2794.90,502.40
MONTANA,3463.20,365.20,3.30,26.80,32.50,302.60,3098.00,405.60,2484.70,207.70
NEBRASKA,4000.40,289.00,3.20,28.50,66.80,190.50,3711.40,579.10,2780.20,352.10
NEVADA,4902.60,614.20,8.80,39.00,230.30,336.10,4288.40,980.60,2378.00,929.80
NEW HAMPSHIRE,2202.70,148.80,1.40,33.20,37.10,77.10,2053.90,353.50,1551.50,148.90
NEW JERSEY,2910.20,365.80,4.70,15.30,154.70,191.00,2544.40,503.00,1641.30,400.20
NEW MEXICO,4788.80,665.20,6.00,50.00,104.00,505.20,4123.60,1025.20,2711.30,387.10
NEW YORK,2713.50,465.20,4.90,19.70,186.30,254.30,2248.30,393.40,1619.30,235.60
NORTH CAROLINA,4732.90,454.90,6.10,25.40,145.50,278.00,4278.00,1197.60,2760.50,319.90
NORTH DAKOTA,2173.90,77.80,1.90,23.80,8.00,44.00,2096.10,306.20,1619.80,170.10
OHIO,3973.70,333.20,4.60,40.10,147.70,140.80,3640.50,830.10,2451.90,358.50
OKLAHOMA,4811.70,505.70,5.90,42.70,91.80,365.30,4306.00,992.30,2944.70,369.00
OREGON,5077.80,295.50,1.90,34.20,80.10,179.30,4782.30,804.20,3444.60,533.50
PENNSYLVANIA,2829.30,398.00,5.30,28.80,145.40,218.60,2431.30,436.00,1724.80,270.40
RHODE ISLAND,3280.60,285.60,2.30,46.90,77.10,159.30,2995.00,513.30,2074.00,407.70
SOUTH CAROLINA,5270.60,793.50,7.20,44.40,136.70,605.10,4477.10,1050.90,3046.10,380.10
SOUTH DAKOTA,2175.10,173.40,1.30,46.30,13.60,112.10,2001.70,375.90,1511.40,114.40
TENNESSEE,5067.20,687.80,6.80,35.70,160.40,484.90,4379.40,1082.00,2845.30,452.10
TEXAS,5147.80,552.50,6.40,36.20,167.40,342.50,4595.30,993.70,3157.70,444.00
UTAH,4474.10,248.60,2.50,37.90,53.40,154.80,4225.50,713.10,3182.20,330.20
VERMONT,2310.30,110.20,2.30,19.50,9.70,78.70,2200.10,477.80,1618.00,104.30
VIRGINIA,2979.90,275.80,5.60,24.00,90.30,155.90,2704.10,391.50,2070.00,242.50
WASHINGTON,5101.90,347.00,3.00,46.70,93.30,204.00,4754.90,950.30,3142.10,662.50
WEST VIRGINIA,2616.90,257.50,3.50,16.40,40.30,197.30,2359.40,562.20,1602.60,194.70
WISCONSIN,3103.60,221.00,3.30,21.90,80.10,115.70,2882.60,485.40,2172.10,225.10
WYOMING,3583.40,262.10,2.80,27.10,16.80,215.50,3321.30,520.90,2641.20,159.20
