"Rate per 100,000 inhabitants",Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,
ALABAMA,4323.80,431.70,8.20,34.30,141.40,247.80,3892.10,953.80,2650.00,288.30,
ALASKA,4244.40,631.90,4.80,81.10,80.90,465.10,3612.50,622.50,2599.10,391.00,
ARIZONA,5351.20,513.20,7.50,33.80,144.40,327.40,4838.00,948.40,2965.20,924.40,
ARKANSAS,4585.40,527.50,6.70,42.90,91.10,386.80,4057.90,1084.60,2711.20,262.10,
CALIFORNIA,3848.90,526.30,6.90,26.00,176.10,317.30,3322.60,693.30,1916.50,712.80,
COLORADO,4436.00,396.50,3.70,43.40,84.60,264.70,4039.50,744.80,2735.20,559.50,
CONNECTICUT,2832.50,274.50,2.90,20.00,113.00,138.60,2558.00,437.10,1824.10,296.80,
DELAWARE,3743.50,632.10,4.40,44.70,154.80,428.20,3111.40,688.90,2144.00,278.50,
FLORIDA,4715.90,708.00,5.00,37.10,169.40,496.60,4007.90,926.30,2658.30,423.30,
GEORGIA,4621.20,448.90,6.20,23.60,154.80,264.30,4172.30,931.00,2751.10,490.20,
HAWAII,5047.70,255.10,1.90,26.90,78.50,147.80,4792.60,767.90,3308.40,716.40,
IDAHO,2954.70,256.80,2.40,40.40,18.60,195.40,2697.90,564.40,1931.70,201.80,
ILLINOIS,3631.80,551.50,6.00,33.70,181.70,330.20,3080.30,606.90,2164.80,308.60,
INDIANA,3780.00,323.70,5.70,29.60,108.60,179.90,3456.30,697.60,2412.00,346.70,
IOWA,3125.00,291.30,1.30,27.90,38.90,223.30,2833.70,606.40,2042.70,184.60,
KANSAS,4174.40,387.40,3.70,38.40,65.30,280.00,3787.00,689.20,2758.10,339.60,
KENTUCKY,2797.30,266.80,4.60,34.00,88.40,139.80,2530.50,634.00,1685.80,210.80,
LOUISIANA,4277.50,594.40,9.90,31.40,118.00,435.10,3683.10,870.60,2494.50,318.10,
MAINE,2525.30,112.20,1.40,24.70,24.40,61.70,2413.10,478.50,1832.60,102.00,
MARYLAND,4247.10,703.00,9.90,22.60,256.70,413.80,3544.10,641.40,2294.30,608.40,
MASSACHUSETTS,2820.50,456.90,2.70,27.10,119.00,308.10,2363.60,541.10,1527.40,295.10,
MICHIGAN,3643.20,552.10,6.10,51.30,131.80,362.90,3091.10,696.80,1917.80,476.50,
MINNESOTA,3381.10,297.00,2.20,44.00,92.00,158.70,3084.10,578.90,2226.90,278.20,
MISSISSIPPI,3538.50,278.40,7.30,39.30,82.30,149.40,3260.10,919.70,2083.90,256.50,
MISSOURI,4452.90,525.40,6.90,28.00,124.10,366.40,3927.50,738.30,2746.20,443.10,
MONTANA,3424.40,281.50,1.90,32.20,18.90,228.50,3142.90,389.20,2543.00,210.70,
NEBRASKA,3710.20,287.00,2.50,32.90,59.10,192.50,3423.20,532.40,2574.30,316.50,
NEVADA,4848.30,606.80,8.50,42.10,194.70,361.50,4241.50,972.40,2153.90,1115.20,
NEW HAMPSHIRE,1928.40,132.00,1.40,30.90,27.40,72.30,1796.40,317.00,1377.30,102.10,
NEW JERSEY,2687.70,354.70,4.80,13.90,151.60,184.40,2333.00,447.10,1568.40,317.50,
NEW MEXICO,4850.50,702.20,7.40,54.10,98.70,541.90,4148.30,1093.90,2639.90,414.50,
NEW YORK,2554.30,445.80,4.50,18.90,182.70,239.70,2108.50,353.30,1569.60,185.60,
NORTH CAROLINA,4543.20,468.10,6.70,26.50,145.50,289.40,4075.10,1201.10,2546.20,327.80,
NORTH DAKOTA,2076.40,98.20,1.10,24.20,7.40,65.50,1978.20,311.90,1500.30,166.00,
OHIO,4014.00,351.30,5.10,39.80,163.10,143.40,3662.70,872.80,2429.00,360.90,
OKLAHOMA,4550.60,508.60,5.30,41.70,91.00,370.50,4042.00,1006.00,2644.20,391.80,
OREGON,4686.60,286.80,2.20,34.80,68.10,181.80,4399.80,758.60,3112.20,529.00,
PENNSYLVANIA,2841.70,424.50,6.10,28.90,154.60,235.00,2417.20,451.60,1729.10,236.50,
RHODE ISLAND,2970.10,251.20,3.20,29.80,72.10,146.10,2718.90,494.20,1816.00,408.70,
SOUTH CAROLINA,5100.50,761.10,7.40,42.50,132.10,579.00,4339.40,1000.90,2954.10,384.40,
SOUTH DAKOTA,1952.10,175.70,2.30,46.70,18.60,108.10,1776.40,324.40,1343.70,108.40,
TENNESSEE,5028.30,752.80,7.20,36.40,167.30,541.90,4275.50,1026.90,2828.10,420.60,
TEXAS,4861.70,529.70,6.20,37.20,156.60,329.80,4332.00,961.60,2961.70,408.70,
UTAH,4096.10,227.20,2.30,37.30,44.30,143.40,3868.90,606.20,2918.80,343.90,
VERMONT,2400.40,119.70,1.30,23.30,11.70,83.50,2280.70,491.80,1686.10,102.90,
VIRGINIA,2921.00,282.80,6.10,22.70,99.20,154.80,2638.20,392.10,2035.00,211.10,
WASHINGTON,5238.80,345.80,3.30,44.70,92.10,205.80,4893.00,959.70,3149.50,783.90,
WEST VIRGINIA,2898.00,272.80,4.40,17.70,44.60,206.10,2625.20,621.20,1794.00,210.00,
WISCONSIN,2901.70,241.50,3.50,20.60,82.20,135.20,2660.20,440.80,1992.80,226.60,
WYOMING,3385.40,230.10,2.70,24.00,15.30,188.10,3155.30,476.30,2533.90,145.10,
