"Rate per 100,000 inhabitants",Crime Index,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4361.30,425.20,8.30,35.90,153.50,227.60,3936.10,969.10,2644.30,322.70
ALASKA,4292.90,688.00,5.40,76.00,90.30,516.40,3604.90,617.30,2610.20,377.40
ARIZONA,5129.30,501.40,7.50,31.50,149.60,312.70,4627.90,925.30,2813.10,889.50
ARKANSAS,4519.10,551.60,7.30,46.50,98.40,399.40,3967.50,1139.90,2562.10,265.50
CALIFORNIA,3703.40,532.50,6.80,25.30,194.70,305.70,3170.90,676.00,1829.10,665.70
COLORADO,3842.90,391.60,3.30,43.70,80.70,264.00,3451.30,682.10,2331.80,437.50
CONNECTICUT,2784.90,280.80,3.10,18.10,121.00,138.60,2504.10,419.30,1788.40,296.40
DELAWARE,4099.50,681.60,4.90,46.90,203.30,426.50,3417.90,725.20,2362.80,329.90
FLORIDA,4698.10,712.00,6.20,35.80,188.80,481.20,3986.10,944.60,2619.00,422.50
GEORGIA,4360.20,471.00,6.40,23.20,165.60,275.80,3889.20,909.00,2519.30,460.90
HAWAII,4511.60,281.20,1.60,27.60,88.90,163.00,4230.40,677.50,2949.10,603.90
IDAHO,2666.00,247.20,2.50,40.00,20.50,184.20,2418.80,513.20,1740.00,165.60
ILLINOIS,3561.20,541.60,6.10,31.80,185.30,318.40,3019.60,602.10,2124.20,293.30
INDIANA,3817.20,314.80,5.80,29.10,114.70,165.20,3502.40,731.30,2424.80,346.30
IOWA,3086.20,283.50,1.80,27.80,43.50,210.40,2802.70,604.20,2030.70,167.90
KANSAS,4175.20,425.00,4.60,44.80,67.90,307.70,3750.20,723.30,2712.00,314.90
KENTUCKY,2807.50,263.00,4.00,30.80,86.20,142.00,2544.50,644.80,1679.90,219.80
LOUISIANA,4691.50,697.80,12.40,36.40,133.60,515.40,3993.70,1049.20,2579.70,364.80
MAINE,2634.20,115.50,1.70,25.70,29.10,59.00,2518.70,512.90,1904.30,101.40
MARYLAND,4159.50,678.60,9.70,21.00,256.00,392.00,3480.90,667.00,2270.40,543.50
MASSACHUSETTS,2838.00,447.00,2.90,27.10,125.00,292.10,2391.00,546.50,1565.40,279.00
MICHIGAN,3775.20,562.40,7.10,52.20,140.70,362.40,3212.80,753.90,1963.50,495.40
MINNESOTA,3391.50,312.00,2.40,31.80,105.10,172.60,3079.50,583.90,2236.60,258.90
MISSISSIPPI,3507.40,298.60,7.70,34.40,107.10,149.50,3208.80,935.90,1986.10,286.80
MISSOURI,4372.10,545.60,6.30,30.20,129.90,379.30,3826.50,764.10,2627.00,435.30
MONTANA,2941.20,253.70,1.80,28.50,17.40,206.10,2687.50,310.70,2191.80,185.00
NEBRASKA,3622.50,281.80,2.80,31.00,63.80,184.10,3340.70,534.50,2521.30,284.90
NEVADA,4830.40,741.60,9.00,43.20,281.60,407.80,4088.80,994.60,2013.80,1080.40
NEW HAMPSHIRE,2012.80,138.70,1.00,26.20,32.20,79.40,1874.10,331.40,1434.50,108.10
NEW JERSEY,2643.50,351.60,4.90,14.20,153.10,179.40,2291.90,452.00,1556.50,283.40
NEW MEXICO,4580.40,643.20,6.80,56.00,107.70,472.80,3937.20,1069.70,2395.50,472.00
NEW YORK,2487.60,434.90,4.80,16.40,178.60,235.10,2052.70,355.10,1531.10,166.40
NORTH CAROLINA,4596.40,475.60,6.10,28.20,152.20,289.10,4120.80,1212.70,2567.90,340.20
NORTH DAKOTA,2128.20,127.90,1.30,30.40,11.30,84.90,2000.30,376.30,1464.80,159.20
OHIO,4028.90,350.30,4.70,39.60,166.80,139.20,3678.60,909.80,2442.80,326.10
OKLAHOMA,4101.60,497.40,5.80,41.60,87.50,362.50,3604.20,960.50,2270.50,373.20
OREGON,3952.40,280.30,2.30,32.30,72.70,173.00,3672.10,645.20,2636.10,390.70
PENNSYLVANIA,2882.90,439.40,5.90,27.30,168.60,237.60,2443.50,463.20,1742.90,237.40
RHODE ISLAND,2814.40,227.50,2.60,26.70,68.80,129.40,2586.90,507.20,1744.20,335.50
SOUTH CAROLINA,5007.80,765.50,8.30,40.80,136.50,579.90,4242.30,989.80,2873.00,379.60
SOUTH DAKOTA,1791.00,171.40,1.20,43.00,15.20,112.00,1619.60,338.90,1188.90,91.80
TENNESSEE,4888.50,760.20,6.80,35.50,184.30,533.70,4128.30,1040.90,2713.20,374.10
TEXAS,4597.80,516.30,5.90,35.60,158.50,316.40,4081.50,917.30,2758.20,405.90
UTAH,3740.80,224.40,1.80,34.10,48.80,139.70,3516.40,576.50,2614.50,325.40
VERMONT,2441.30,136.60,1.90,24.00,17.60,93.00,2304.70,528.90,1681.80,93.90
VIRGINIA,2760.40,282.20,5.20,23.40,101.40,152.10,2478.20,417.60,1866.80,193.80
WASHINGTON,4825.90,345.90,3.00,42.90,100.10,199.80,4480.00,911.60,2850.70,717.60
WEST VIRGINIA,2901.20,279.70,4.10,21.40,46.90,207.30,2621.50,634.10,1771.80,215.60
WISCONSIN,3101.80,284.00,3.00,20.40,100.20,160.60,2817.80,485.80,2079.50,252.50
WYOMING,3220.20,239.60,1.70,27.20,14.00,196.70,2980.60,450.50,2379.40,150.70
