State,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2000,4545.9,4249.4,5829.5,4115.3,3739.7,3982.6,3232.7,4478.1,5694.7,4751.1,5198.9,3186.2,4286.2,3751.9,3233.7,4408.8,2959.7,5422.8,2619.8,4816.1,3026.1,4109.9,3488.4,4004.4,4527.8,3533.4,4095.5,4268.6,2433.1,3160.5,5518.9,3099.6,4919.3,2288.1,4041.8,4558.6,4845.4,2995.3,3476.4,5221.4,2319.8,4890.2,4955.5,4476.1,2986.9,3028.1,5105.6,2602.8,3209.1,3298
2001,4319.4,4236.2,6077.4,4134.2,3902.9,4218.9,3117.9,4052.8,5569.7,4646.3,5386.1,3133.4,4097.8,3831.4,3301.2,4321.4,2938.1,5338.1,2688.2,4866.8,3098.6,4081.5,3583.7,4185.2,4776.1,3688.7,4329.6,4266,2321.6,3225.3,5324,2925.1,4938,2417.7,4177.6,4607,5044.1,2961.1,3684.9,4752.7,2332,5152.8,5152.7,4243,2769.3,3178.3,5151.9,2559.5,3321.2,3517.6
2002,4465.2,4309.7,6386.3,4157.5,3943.7,4347.8,2997.2,3939,5420.6,4507.2,6043.7,3172.5,4016.4,3750,3448.2,4087,2902.6,5098.1,2656,4747.4,3094.2,3874.1,3535.1,4159.2,4602.4,3512.9,4256.7,4497.5,2220,3024.2,5077.8,2803.7,4721.4,2406.2,4107.3,4743.2,4868.4,2841,3589.1,5297.3,2278.7,5018.9,5189.6,4452.4,2530,3140.3,5106.8,2515.2,3252.7,3580.9
2003,4478.6,4335.6,6145.6,4077.5,4003.6,4286,2914.9,4042.4,5182.2,4708.5,5507.9,3151.4,3841.2,3710.5,3233.5,4389.5,2943.2,4995.8,2565.6,4505.3,3018.9,3788.5,3379.4,4045.9,4487.3,3463.2,4000.4,4902.6,2202.7,2910.2,4788.8,2713.5,4732.9,2173.9,3973.7,4811.7,5077.8,2829.3,3280.6,5270.6,2175.1,5067.2,5147.8,4474.1,2310.3,2979.9,5101.9,2616.9,3103.6,3583.4
2004,4451.6,4017.3,5844.6,4512.1,3970.8,4292.8,2913.5,3732.3,4891,4721.4,5047.2,3039.3,3729,3723,3176.2,4348,2782.6,5048.9,2513.1,4340.7,2918.5,3547.8,3308.6,3773.6,4394,3230,3829.3,4822.5,2207.1,2784.9,4885,2640.2,4608,1996,4015,4742.6,4929.6,2826.1,3131.5,5289,2105,5001.7,5034.5,4321.6,2420.2,2952.2,5193,2777.4,2872.7,3563.9
2005,4323.8,4244.4,5351.2,4585.4,3848.9,4436,2832.5,3743.5,4715.9,4621.2,5047.7,2954.7,3631.8,3780,3125,4174.4,2797.3,4277.5,2525.3,4247.1,2820.5,3643.2,3381.1,3538.5,4452.9,3424.4,3710.2,4848.3,1928.4,2687.7,4850.5,2554.3,4543.2,2076.4,4014,4550.6,4686.6,2841.7,2970.1,5100.5,1952.1,5028.3,4861.7,4096.1,2400.4,2921,5238.8,2898,2901.7,3385.4
2006,4361.3,4292.9,5129.3,4519.1,3703.4,3842.9,2784.9,4099.5,4698.1,4360.2,4511.6,2666,3561.2,3817.2,3086.2,4175.2,2807.5,4691.5,2634.2,4159.5,2838,3775.2,3391.5,3507.4,4372.1,2941.2,3622.5,4830.4,2012.8,2643.5,4580.4,2487.6,4596.4,2128.2,4028.9,4101.6,3952.4,2882.9,2814.4,5007.8,1791,4888.5,4597.8,3740.8,2441.3,2760.4,4825.9,2901.2,3101.8,3220.2
2007,4419.6,4040.7,4896.7,4482.5,3555.6,3353.9,2655.9,4059.3,4811.9,4394.2,4498.2,2486,3469,3730.2,2910.3,4131.4,2813.3,4805.5,2546.8,4073.4,2823,3601.7,3325.3,3492.1,4243.3,3052.9,3463.8,4528.4,2029.3,2542.4,4389.9,2392.7,4553.7,2032,3798.4,4026,3813.8,2777.8,2849.9,5060,1821.5,4841.9,4631.8,3735.1,2447,2736.1,4363.9,2800.2,3128.6,3105.2
2008,4535.7,3584.2,4738,4338.5,3444.1,3192.1,2756.5,4288.7,4829.7,4494.4,3843.8,2329.8,3458,3669.6,2704.7,3787.8,2880.1,4479.3,2569.9,4145.8,2849.1,3436.3,3113.4,3225.3,4168.1,2861.1,3182.3,4172,2249.1,2619.9,4559.1,2391.6,4511.4,2060.9,3759.9,3969.1,3539.4,2820.2,3090,4963.9,1847,4765,4493.5,3579.2,2674.4,2774,4089.6,2842.4,3030.4,2949.3
2009,4222.2,3579,3964.8,4291.4,3203.5,3004,2634.5,3986.2,4453.3,4092.7,3936,2217.1,3234.1,3449.4,2587.9,3607.9,2771.4,4414.6,2523.3,3790.6,2761.1,3334.8,2884.9,3234.6,3877.1,2717.6,3043.1,3757.8,2320.6,2391.2,4354.8,2320.7,4072.4,2133.5,3603,4074.9,3221.8,2582.1,2863.4,4559.4,1905,4421.8,4506.4,3488.1,2532.8,2655.6,3997.9,2823.2,2865.2,2865.5
