State,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2000,4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,9938444,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,608827,7078515,5894121,1808344,5363675,493782
2001,4464356,634892,5307331,2692090,34501130,4417714,3425074,796165,16396515,8383915,1224398,1321006,12482301,6114745,2923179,2694641,4065556,4465430,1286670,5375156,6379304,9990817,4972294,2858029,5629707,904433,1713235,2106074,1259181,8484431,1829146,19011378,8186268,634448,11373541,3460097,3472867,12287150,1058920,4063011,756600,5740021,21325018,2269789,613090,7187734,5987973,1801916,5401906,494423
2002,4486508,643786,5456453,2710079,35116033,4506542,3460503,807385,16713149,8560310,1244898,1341131,12600620,6159068,2936760,2715884,4092891,4482646,1294464,5458137,6427801,10050446,5019720,2871782,5672579,909453,1729180,2173491,1275056,8590300,1855059,19157532,8320146,634110,11421267,3493714,3521515,12335091,1069725,4107183,761063,5797289,21779893,2316256,616592,7293542,6068996,1801873,5441196,498703
2003,4500752,648818,5580811,2725714,35484453,4550688,3483372,817491,17019068,8684715,1257608,1366332,12653544,6195643,2944062,2723507,4117827,4496334,1305728,5508909,6433422,10079985,5059375,2881281,5704484,917621,1739291,2241154,1287687,8638396,1874614,19190115,8407248,633837,11435798,3511532,3559596,12365455,1076164,4147152,764309,5841748,22118509,2351467,619107,7386330,6131445,1810354,5472299,501242
2004,4530182,655435,5743834,2752629,35893799,4601403,3503604,830364,17397161,8829383,1262840,1393262,12713634,6237569,2954451,2735502,4145922,4515770,1317253,5558058,6416505,10112620,5100958,2902966,5754618,926865,1747214,2334771,1299500,8698879,1903289,19227088,8541221,634366,11459011,3523553,3594586,12406292,1080632,4198068,770883,5900962,22490022,2389039,621394,7459827,6203788,1815354,5509026,506529
2005,4557808,663661,5939292,2779154,36132147,4665177,3510297,843524,17789864,9072576,1275194,1429096,12763371,6271973,2966334,2744687,4173405,4523628,1321505,5600388,6398743,10120860,5132799,2921088,5800310,935670,1758787,2414807,1309940,8717925,1928384,19254630,8683242,636677,11464042,3547884,3641056,12429616,1076189,4255083,775933,5962959,22859968,2469585,623050,7567465,6287759,1816856,5536201,509294
2006,4599030,670053,6166318,2810872,36457549,4753377,3504809,853476,18089888,9363941,1285498,1466465,12831970,6313520,2982085,2764075,4206074,4287768,1321574,5615727,6437193,10095643,5167101,2910540,5842713,944632,1768331,2495529,1314895,8724560,1954599,19306183,8856505,635867,11478006,3579212,3700758,12440621,1067610,4321249,781919,6038803,23507783,2550063,623908,7642884,6395798,1818470,5556506,515004
2007,4627851,683478,6338755,2834797,36553215,4861515,3502309,864764,18251243,9544750,1283388,1499402,12852548,6345289,2988046,2775997,4241474,4293204,1317207,5618344,6449755,10071822,5197621,2918785,5878415,957861,1774571,2565382,1315828,8685920,1969915,19297729,9061032,639715,11466917,3617316,3747455,12432792,1057832,4407709,796214,6156719,23904380,2645330,621254,7712091,6468424,1812035,5601640,522830
2008,4661900,686293,6500180,2855390,36756666,4939456,3501252,873092,18328340,9685744,1288198,1523816,12901563,6376792,3002555,2802134,4269245,4410796,1316456,5633597,6497967,10003422,5220393,2938618,5911605,967440,1783432,2600167,1315809,8682661,1984356,19490297,9222414,641481,11485910,3642361,3790060,12448279,1050788,4479800,804194,6214888,24326974,2736424,621270,7769089,6549224,1814468,5627967,532668
2009,4708708,698473,6595778,2889450,36961664,5024748,3518288,885122,18537969,9829211,1295178,1545801,12910409,6423113,3007856,2818747,4314113,4492076,1318301,5699478,6593587,9969727,5266214,2951996,5987580,974989,1796619,2643085,1324575,8707739,2009671,19541453,9380884,646844,11542645,3687050,3825657,12604767,1053209,4561242,812383,6296254,24782302,2784572,621760,7882590,6664195,1819777,5654774,544270
2010,4779736,710231,6392017,2915918,37253956,5029196,3574097,897934,18801310,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,5773552,6547629,9883640,5303925,2967297,5988927,989415,1826341,2700551,1316470,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,12702379,1052567,4625364,814180,6346105,25145561,2763885,625741,8001024,6724540,1852994,5686986,563626
2011,4802740,722718,6482505,2937979,37691912,5116796,3580709,907135,19057542,9815210,1374810,1584985,12869257,6516922,3062309,2871238,4369356,4574836,1328188,5828289,6587536,9876187,5344861,2978512,6010688,998199,1842641,2723322,1318194,8821155,2082224,19465197,9656401,683932,11544951,3791508,3871859,12742886,1051302,4679230,824082,6403353,25674681,2817222,626431,8096604,6830038,1855364,5711767,568158
