Area,Population,Crime Index Total,Modified Crime Index Total1,Violent Crime2,Property Crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
ALABAMA,4447100,202159,,21620,180539,329,1482,5702,14107,40331,127399,12809,
ALASKA,626932,26641, ,3554,23087,27,497,490,2540,3899,16838,2350,
ARIZONA,5130632,299092,,27281,271811,359,1577,7504,17841,51902,176705,43204,
ARKANSAS,2673400,110019,,11904,98115,168,848,2001,8887,21443,69740,6932,
CALIFORNIA,33871648,1266714,,210531,1056183,2079,9785,60249,138418,222293,651855,182035,
COLORADO,4301261,171304,,14367,156937,134,1774,3034,9425,27133,112843,16961,
CONNECTICUT,3405565,110091,,11058,99033,98,678,3832,6450,17436,68498,13099,
DELAWARE,783600,35090,,5363,29727,25,424,1394,3520,5216,21360,3151,
FLORIDA,15982378,910154,,129777,780377,903,7057,31809,90008,172898,518298,89181,
GEORGIA,8186453,388949,,41319,347630,651,1968,13250,25450,68488,240440,38702,
HAWAII,1211537,62987,,2954,60033,35,346,1123,1450,10665,43254,6114,
IDAHO,1293953,41228,,3267,37961,16,384,223,2644,7330,28545,2086,
ILLINOIS,12419293,532315,,81567,450748,891,4090,25758,50828,81913,312692,56143,
INDIANA,6080485,228135,,21230,206905,352,1759,6282,12837,41108,144707,21090,
IOWA,2926324,94630,,7796,86834,46,676,1071,6003,16342,65118,5374,
KANSAS,2688418,118527,,10470,108057,169,1022,2048,7231,21484,80077,6496,
KENTUCKY,4041769,119626,,11903,107723,193,1091,3256,7363,25308,73141,9274,
LOUISIANA,4468976,242344,,30440,211904,560,1497,7532,20851,46289,144345,21270,
MAINE,1274923,33400,,1397,32003,15,320,247,815,6775,23906,1322,
MARYLAND,5296486,255085,,41663,213422,430,1543,13560,26130,39426,145423,28573,
MASSACHUSETTS,6349097,192131,,30230,161901,125,1696,5815,22594,30600,105425,25876,
MICHIGAN,9938444,408456,,55159,353297,669,5025,13712,35753,69790,227783,55724,
MINNESOTA,4919479,171611,,13813,157798,151,2240,3713,7709,26116,118250,13432,
MISSISSIPPI,2844658,113911,,10267,103644,255,1019,2703,6290,26918,69758,6968,
MISSOURI,5595211,253338,,27419,225919,347,1351,7598,18123,41685,159539,24695,
MONTANA,902195,31878,,2171,29707,16,301,249,1605,3946,23805,1956,
NEBRASKA,1711263,70085,,5606,64479,63,436,1147,3960,10131,49118,5230,
NEVADA,1998257,85297,,10474,74823,129,860,4543,4942,17526,44125,13172,
NEW HAMPSHIRE,1235786,30068,,2167,27901,22,522,453,1170,4992,20761,2148,
NEW JERSEY,8414350,265935,,32298,233637,289,1357,13553,17099,43924,155562,34151,
NEW MEXICO,1819046,100391,,13786,86605,135,922,2499,10230,21339,57925,7341,
NEW YORK,18976457,588189,,105111,483078,952,3530,40539,60090,87946,340901,54231,
NORTH CAROLINA,8049313,395972,,40051,355921,560,2181,12595,24715,97888,232767,25266,
NORTH DAKOTA,642200,14694,,523,14171,4,169,56,294,2093,11092,986,
OHIO,11353140,458874,,37935,420939,418,4271,15610,17636,88636,293277,39026,
OKLAHOMA,3450654,157302,,17177,140125,182,1422,2615,12958,31661,96116,12348,
OREGON,3421399,165780,,12000,153780,70,1286,2888,7756,25618,114230,13932,
PENNSYLVANIA,12281054,367858,,51584,316274,602,3247,18155,29580,54080,225869,36325,
RHODE ISLAND,1048319,36444,,3121,33323,45,412,922,1742,6620,22038,4665,
SOUTH CAROLINA,4012012,209482,,32293,177189,233,1511,5883,24666,38888,123094,15207,
SOUTH DAKOTA,754844,17511,,1259,16252,7,305,131,816,2896,12558,798,
TENNESSEE,5689283,278218,,40233,237985,410,2186,9465,28172,56344,154111,27530,
TEXAS,20851820,1033311,,113653,919658,1238,7856,30257,74302,188975,637522,93161,
UTAH,2233169,99958,,5711,94247,43,863,1242,3563,14348,73438,6461,
VERMONT,608827,18185,,691,17494,9,140,117,425,3501,13184,809,
VIRGINIA,7078515,214348,,19943,194405,401,1616,6295,11631,30434,146158,17813,
WASHINGTON,5894121,300932,,21788,279144,196,2737,5812,13043,53476,190650,35018,
WEST VIRGINIA,1808344,47067,,5723,41344,46,331,749,4597,9890,28139,3315,
WISCONSIN,5363675,172124,,12700,159424,169,1165,4537,6829,25183,119605,14636,
WYOMING,493782,16285,,1316,14969,12,160,70,1074,2078,12318,573,
