Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1
ALABAMA,4486508,200331,,19931,180400,303,1664,5962,12002,42578,123932,13890,
ALASKA,643786,27745,,3627,24118,33,511,489,2594,3908,17739,2471,
ARIZONA,5456453,348467,,30171,318296,387,1608,8000,20176,59087,201541,57668,
ARKANSAS,2710079,112672,,11501,101171,142,754,2524,8081,23229,71129,6813,
CALIFORNIA,35116033,1384872,,208388,1176484,2395,10198,64968,130827,238428,715692,222364,
COLORADO,4506542,195936,,15882,180054,179,2066,3579,10058,31678,125193,23183,
CONNECTICUT,3460503,103719,,10767,92952,80,730,4060,5897,17088,64292,11572,
DELAWARE,807385,31803,,4836,26967,26,358,1154,3298,5355,18555,3057,
FLORIDA,16713149,905957,,128721,777236,911,6753,32581,88476,177242,511478,88516,
GEORGIA,8560310,385830,,39271,346559,606,2108,13432,23125,73932,234591,38036,
HAWAII,1244898,75238,,3262,71976,24,372,1210,1656,12722,49344,9910,
IDAHO,1341131,42547,,3419,39128,36,497,240,2646,7441,29060,2627,
ILLINOIS,12600620,506086,,78214,427872,949,4298,25272,47695,81123,301892,44857,
INDIANA,6159068,230966,,22001,208965,362,1843,6612,13184,42605,146073,20287,
IOWA,2936760,101265,,8388,92877,44,797,1169,6378,18643,68411,5823,
KANSAS,2715884,110997,,10229,100768,78,1035,2165,6951,19679,73877,7212,
KENTUCKY,4092891,118799,,11418,107381,184,1088,3063,7083,27855,70776,8750,
LOUISIANA,4482646,228528,,29690,198838,593,1529,7123,20445,45350,133302,20186,
MAINE,1294464,34381,,1396,32985,14,377,270,735,6965,24591,1429,
MARYLAND,5458137,259120,,42015,217105,513,1370,13417,26715,39765,143320,34020,
MASSACHUSETTS,6427801,198890,,31137,167753,173,1777,7169,22018,33243,107922,26588,
MICHIGAN,10050446,389366,,54306,335060,678,5364,11847,36417,70970,214367,49723,
MINNESOTA,5019720,177454,,13428,164026,112,2273,3937,7106,28034,122150,13842,
MISSISSIPPI,2871782,119442,,9858,109584,264,1127,3356,5111,29593,70468,9523,
MISSOURI,5672579,261077,,30557,230520,331,1465,7024,21737,42721,159921,27878,
MONTANA,909453,31948,,3197,28751,16,237,283,2661,3289,23679,1783,
NEBRASKA,1729180,73606,,5428,68178,48,464,1359,3557,10329,51440,6409,
NEVADA,2173491,97752,,13856,83896,181,928,5118,7629,18951,47459,17486,
NEW HAMPSHIRE,1275056,28306,,2056,26250,12,446,413,1185,4838,19468,1944,
NEW JERSEY,8590300,259789,,32168,227621,337,1347,13905,16579,43898,147984,35739,
NEW MEXICO,1855059,94196,,13719,80477,152,1027,2206,10334,19634,53406,7437,
NEW YORK,19157532,537121,,95030,442091,909,3885,36653,53583,76700,318025,47366,
NORTH CAROLINA,8320146,392826,,39118,353708,548,2196,12205,24169,99535,229307,24866,
NORTH DAKOTA,634110,15258,,496,14762,5,163,58,270,2243,11501,1018,
OHIO,11421267,469104,,40128,428976,526,4809,17871,16922,99164,287045,42767,
OKLAHOMA,3493714,165715,,17587,148128,163,1573,2966,12885,35171,100185,12772,
OREGON,3521515,171443,,10298,161145,72,1238,2742,6246,25696,118925,16524,
PENNSYLVANIA,12335091,350446,,49578,300868,624,3731,17163,28060,55610,212441,32817,
RHODE ISLAND,1069725,38393,,3051,35342,41,395,916,1699,6415,24051,4876,
SOUTH CAROLINA,4107183,217569,,33761,183808,298,1959,5774,25730,43745,123196,16867,
SOUTH DAKOTA,761063,17342,,1350,15992,11,361,117,861,3034,12139,819,
TENNESSEE,5797289,290961,,41562,249399,420,2290,9413,29439,61248,161610,26541,
TEXAS,21779893,1130292,,126018,1004274,1302,8508,37580,78628,212602,688992,102680,
UTAH,2316256,103129,,5488,97641,47,943,1140,3358,15124,74795,7722,
VERMONT,616592,15600,,658,14942,13,126,77,442,3489,10684,769,
VIRGINIA,7293542,229039,,21256,207783,388,1839,6961,12068,31757,157548,18478,
WASHINGTON,6068996,309931,,20964,288967,184,2734,5797,12249,54948,193526,40493,
WEST VIRGINIA,1801873,45320,,4221,41099,57,328,657,3179,9677,27524,3898,
WISCONSIN,5441196,176987,,12238,164749,154,1237,4713,6134,27926,123365,13458,
WYOMING,498703,17858,,1364,16494,15,148,93,1108,2448,13303,743,
