State,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
ALABAMA,4627851,20732,412,1545,7398,11377,183798,45331,124237,14230
ALASKA,683478,4519,44,529,583,3363,23098,3682,16998,2418
ARIZONA,6338755,30600,468,1856,9618,18658,279794,57825,173580,48389
ARKANSAS,2834797,15007,191,1268,3024,10524,112061,32072,72979,7010
CALIFORNIA,36553215,191025,2260,9013,70542,109210,1108660,237025,652243,219392
COLORADO,4861515,16906,153,1998,3453,11302,146141,28751,100598,16792
CONNECTICUT,3502309,8965,106,658,3607,4594,84052,15162,59723,9167
DELAWARE,864764,5960,37,336,1706,3881,29143,6341,20486,2316
FLORIDA,18251243,131880,1201,6151,38162,86366,746347,181833,490858,73656
GEORGIA,9544750,47075,718,2178,17340,26839,372342,90690,239058,42594
HAWAII,1283388,3501,22,326,1105,2048,54228,9097,38416,6715
IDAHO,1499402,3589,49,578,233,2729,33685,6977,24482,2226
ILLINOIS,12852548,68528,752,4103,23100,40573,377322,75524,267911,33887
INDIANA,6345289,21165,356,1742,7872,11195,215526,46919,149050,19557
IOWA,2988046,8805,37,904,1313,6551,78154,16941,56328,4885
KANSAS,2775997,12566,107,1231,2016,9212,102120,20263,73293,8564
KENTUCKY,4241474,12513,204,1381,4069,6859,106813,27683,70455,8675
LOUISIANA,4293204,31317,608,1393,6083,23233,174991,44602,115209,15180
MAINE,1317207,1554,21,391,349,793,31992,6676,24057,1259
MARYLAND,5618344,36062,553,1179,13258,21072,192796,37095,127308,28393
MASSACHUSETTS,6449755,27832,184,1634,7006,19008,154246,35662,103592,14992
MICHIGAN,10071822,53988,676,4579,13414,35319,308775,75428,191196,42151
MINNESOTA,5197621,15003,116,1873,4770,8244,157829,29670,115633,12526
MISSISSIPPI,2918785,8502,208,1040,2866,4388,93424,27959,58084,7381
MISSOURI,5878415,29682,385,1714,7165,20418,219759,43446,152529,23784
MONTANA,957861,2754,14,290,191,2259,26489,3027,21707,1755
NEBRASKA,1774571,5367,68,527,1108,3664,56102,9046,41855,5201
NEVADA,2565382,19257,192,1096,6932,11037,96916,24840,49745,22331
NEW HAMPSHIRE,1315828,1807,15,333,432,1027,24896,4986,18611,1299
NEW JERSEY,8685920,28601,380,1050,12549,14622,192226,37482,132791,21953
NEW MEXICO,1969915,13085,162,1032,2321,9570,73394,18992,45463,8939
NEW YORK,19297729,79915,801,2926,31094,45094,381816,64857,288929,28030
NORTH CAROLINA,9061032,42262,585,2385,13548,25744,370354,108800,233588,27966
NORTH DAKOTA,639715,911,12,207,70,622,12088,2164,9010,914
OHIO,11466917,39360,516,4452,18260,16132,396209,98508,263922,33779
OKLAHOMA,3617316,18072,222,1559,3373,12918,127562,34121,79982,13459
OREGON,3747455,10777,73,1255,2862,6587,132143,22821,94773,14549
PENNSYLVANIA,12432792,51782,723,3450,19458,28151,293577,56020,211096,26461
RHODE ISLAND,1057832,2404,19,256,751,1378,27743,5236,19281,3226
SOUTH CAROLINA,4407709,34746,352,1739,6346,26309,188282,45214,126042,17026
SOUTH DAKOTA,796214,1347,17,308,112,910,13156,2378,10043,735
TENNESSEE,6156719,46380,397,2174,11022,32787,251724,61715,168351,21658
TEXAS,23904380,122054,1420,8439,38769,73426,985142,228313,662930,93899
UTAH,2645330,6210,58,908,1420,3824,92594,15541,68241,8812
VERMONT,621254,772,12,123,80,557,14430,3106,10683,641
VIRGINIA,7712091,20798,406,1745,7651,10996,190209,31688,144467,14054
WASHINGTON,6468424,21546,173,2629,6053,12691,260729,52704,170403,37622
WEST VIRGINIA,1812035,4987,64,369,852,3702,45753,10814,31447,3492
WISCONSIN,5601640,16296,183,1223,5474,9416,158959,27839,117687,13433
WYOMING,522830,1251,16,160,84,991,14984,2348,11840,796
