State,Population,"Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny- 
theft","Motor 
vehicle 
theft"
ALABAMA,4802740,20174,301,1371,4910,13592,173190,51117,111411,10662
ALASKA,722718,4383,29,420,576,3358,19028,2826,14859,1343
ARIZONA,6482505,26311,405,2264,7127,16515,230422,54929,155664,19829
ARKANSAS,2937979,14129,162,1213,2428,10326,110295,34471,70012,5812
CALIFORNIA,37691912,154944,1792,7663,54292,91197,973901,230090,596963,146848
COLORADO,5116796,16383,149,2278,3306,10650,133361,25768,96546,11047
CONNECTICUT,3580709,9767,128,686,3677,5276,77609,15679,55218,6712
DELAWARE,907135,5075,41,289,1538,3207,30939,7531,21878,1530
FLORIDA,19057542,98199,984,5274,25622,66319,671200,170171,461408,39621
GEORGIA,9815210,36634,554,2053,12148,21879,355952,95657,230820,29475
HAWAII,1374810,3949,17,434,1042,2456,45889,10008,31697,4184
IDAHO,1584985,3184,36,435,184,2529,32787,6920,24534,1333
ILLINOIS,12869257,55247,721,3708,20254,30564,346025,77746,239510,28769
INDIANA,6516922,21626,312,1757,6978,12579,206055,50551,140688,14816
IOWA,3062309,7826,46,834,825,6121,71361,17400,50025,3936
KANSAS,2871238,10162,110,1085,1459,7508,88438,18789,62972,6677
KENTUCKY,4369356,10406,153,1463,3693,5097,118358,32553,79132,6673
LOUISIANA,4574836,25406,513,1268,5239,18386,168744,46320,113301,9123
MAINE,1328188,1636,26,393,369,848,33809,7854,24877,1078
MARYLAND,5828289,28797,398,1194,10343,16862,166699,35784,114847,16068
MASSACHUSETTS,6587536,28219,185,1628,6768,19638,148790,36533,101471,10786
MICHIGAN,9876187,43983,613,4347,10393,28630,257979,71596,160887,25496
MINNESOTA,5344861,11825,74,1664,3386,6701,136264,25724,102358,8182
MISSISSIPPI,2978512,8036,239,865,2492,4440,90115,30907,54283,4925
MISSOURI,6010688,26889,366,1458,6269,18796,198882,44822,138743,15317
MONTANA,998199,2670,28,357,169,2116,23155,3390,18307,1458
NEBRASKA,1842641,4665,67,695,997,2906,50726,8714,37909,4103
NEVADA,2723322,15309,141,912,4299,9957,69731,20214,40032,9485
NEW HAMPSHIRE,1318194,2478,17,429,474,1558,30106,5749,23383,974
NEW JERSEY,8821155,27203,380,1006,12209,13608,189719,43238,129066,17415
NEW MEXICO,2082224,11817,156,857,1722,9082,73534,21423,46703,5408
NEW YORK,19465197,77490,774,2752,28396,45568,372255,65397,287547,19311
NORTH CAROLINA,9656401,33774,508,1995,9550,21721,340562,106144,217386,17032
NORTH DAKOTA,683932,1689,24,259,91,1315,13246,2433,9833,980
OHIO,11544951,35484,513,3631,16057,15283,387297,112709,253520,21068
OKLAHOMA,3791508,17243,208,1403,3282,12350,127252,36341,79880,11031
OREGON,3871859,9586,82,1217,2222,6065,120594,20448,91099,9047
PENNSYLVANIA,12742886,45240,637,3324,16131,25148,283179,57850,208485,16844
RHODE ISLAND,1051302,2602,14,304,746,1538,28141,6964,18890,2287
SOUTH CAROLINA,4679230,26760,320,1612,4313,20515,182685,46921,122100,13664
SOUTH DAKOTA,824082,2094,21,496,167,1410,14979,2899,11134,946
TENNESSEE,6403353,38944,373,2024,8081,28466,230261,62749,153476,14036
TEXAS,25674681,104873,1126,7439,28395,67913,891499,215223,612938,63338
UTAH,2817222,5494,54,854,1081,3505,83758,13122,64453,6183
VERMONT,626431,847,8,119,85,635,14464,3643,10322,499
VIRGINIA,8096604,15923,303,1536,5430,8654,182141,30597,141820,9724
WASHINGTON,6830038,20121,162,2290,5638,12031,244146,56532,162779,24835
WEST VIRGINIA,1855364,5861,80,388,910,4483,42189,11192,28743,2254
WISCONSIN,5711767,13532,136,1163,4469,7764,138949,26654,104063,8232
WYOMING,568158,1246,18,146,71,1011,12877,1863,10493,521
