State,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
state_abbr,,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
latitude,,32.8,61.39,33.77,34.95,36.17,39.06,41.58,39.35,27.83,32.99,21.11,44.24,40.34,39.86,42,38.51,37.67,31.18,44.61,39.07,42.24,43.35,45.73,32.77,38.46,46.9,41.13,38.42,43.41,40.31,34.84,42.15,35.64,47.54,40.37,35.54,44.57,40.58,41.68,33.82,44.29,35.74,31.11,40.11,44.04,37.77,47.39,38.47,44.26,42.75
longitude,,-86.81,-152.27,-111.39,-92.38,-119.75,-105.33,-72.76,-75.51,-81.72,-83.65,-157.53,-114.51,-89,-86.26,-93.21,-96.8,-84.65,-91.87,-69.4,-76.79,-71.53,-84.56,-93.92,-89.68,-92.3,-110.33,-98.29,-117.12,-71.57,-74.51,-106.24,-74.94,-79.84,-99.79,-82.78,-96.92,-122.13,-77.26,-71.51,-80.91,-99.46,-86.75,-97.65,-111.85,-72.71,-78.21,-121.57,-80.97,-89.64,-107.21
2000,31070498151,557767814,177881580,667976456,328403457,3792096590,370882855,288895735,85735787,1590311741,822536045,132643273,150011363,1272164392,588909058,305590676,296011073,501796366,643637545,154133835,461461303,662761571,1105793304,465781969,448733274,597240071,156536540,189206074,127129727,114094562,761924027,332184647,2583256084,753759804,117810518,1171953385,449407200,347636498,1285504828,134418578,443090828,133366735,583465744,2484215057,255609306,91491401,641092965,569577741,257981746,530100703,86526320
2001,71254347585,1205096441,227988480,1990909460,618218324,7895473833,1061188114,703315579,187754734,3622745422,1973334617,229367192,317431995,3128505463,1565548276,901029813,714466440,949124657,1336661483,327987375,1094203563,1908834439,2438946185,1266655860,810714107,1593065077,298360532,498722144,259985925,326084388,1568266890,530066506,6011667167,1641764159,258845309,2954518787,961098433,911681573,3795993993,401957614,922375423,296723889,1326565262,4760220857,510599570,253879970,1564714192,1253035444,520774265,1205201789,152676575
2002,82400551683,1387975241,260180178,2520137525,733650835,9092121808,1238777106,825970250,216149404,4124966740,2313606367,271216945,387946629,3787395383,1831992075,1050102995,831895259,1097466524,1454436369,371144771,1248475008,2158368561,2853382957,1491617009,914917630,1825224666,337784625,561372404,315850518,379199766,1788556522,609110771,6856280172,1942521331,293462900,3346374854,1129165230,1045914343,4218203051,426601401,1086611670,342344861,1514613174,5638643478,594855398,276976033,1772711389,1501299011,593509323,1357291868,182179355
2003,92604476486,1584581070,280079667,3103945066,829601733,9928105199,1416997560,908683240,226632147,4631097940,2618655949,296507436,443846331,4402319739,2012969908,1197441529,949612346,1236706200,1658234909,402203249,1366392680,2388397776,3173344267,1754990277,1030626853,2061996961,369708627,637057108,363882348,408411200,1906148101,684817087,7590280856,2219887909,318814767,3829932878,1250970587,1188324467,4576009648,500204883,1240482040,373160375,1705965593,6541541039,674510076,304548823,1952288975,1663743593,677382817,1511374487,211058170
2004,1.01498E+11,1672101861,299103691,4312713049,888970231,10825485264,1665593582,965299387,286492122,5181788479,3047639805,328434252,465769792,4949209265,2163633194,1359456012,980808704,1360229743,1717280472,423214886,1505190669,2603588836,3454672680,1939365014,1103081748,2258962812,376050552,703859098,400225384,423650638,2148413429,735023519,8106090202,2315149754,323609847,3919276071,1334923300,1318760448,4740816851,530793180,1313444504,375611344,1895812898,7207764023,762450195,318894589,2122509463,1780464671,714586624,1613726426,258093648
2005,1.05532E+11,1677873818,304062005,4678691268,930347440,11080946384,1823869012,997567838,293525157,5701576524,3279800371,356335228,468785354,4728937533,2243657479,1431675661,996327475,1499444374,1673063069,418711062,1564968595,2670561086,3612333060,2133466102,1154835325,2356116918,375974288,703224866,447480692,432014135,2223697671,747461489,8153308555,2468879245,340069374,4034554557,1383106457,1307882154,5045260714,579074776,1325000535,404652702,1930731025,7652047983,763993683,331030556,2343361290,1790296779,724741052,1682084698,264614902
2006,1.07435E+11,1658852571,301221949,5024773228,943608285,11259250170,1906039380,989209889,288998217,5805917256,3385081272,352899977,467601127,4879526580,2271212934,1523025722,985416174,1499200583,1660398638,427830422,1573459095,2608631711,3734005600,2322627249,1120054323,2455501942,373357573,708693051,452284897,438087063,2122576555,732575554,8196631641,2535976395,350723567,4122599532,1358397668,1295029955,5294647339,552904039,1374888937,385732599,1976977392,7792289367,767757139,348958046,2400097845,1718697048,747262992,1695229913,247839567
