Unnamed: 0,Unnamed: 2,1981,Unnamed: 6,1982,Unnamed: 10,1983,Unnamed: 14,1984,Unnamed: 18,Unnamed: 19,1985,Unnamed: 22,1986,Unnamed: 26,1987,Unnamed: 30,1988,Unnamed: 34,1989,Unnamed: 38,Unnamed: 40,1990,Unnamed: 44,1991,Unnamed: 48,1992,Unnamed: 52,1993,Unnamed: 56,1994,Unnamed: 60,Unnamed: 62,1995,Unnamed: 65,1996,Unnamed: 69,1997,Unnamed: 73,1998,Unnamed: 77,Unnamed: 79,1999,Unnamed: 83,2000,Unnamed: 87,2001,Unnamed: 91,2002,Unnamed: 95,Unnamed: 97,2003,Unnamed: 100,2004,Unnamed: 104,2005,Unnamed: 108,2006,Unnamed: 112,2007,Unnamed: 116,Unnamed: 118,2008,Unnamed: 121,2009,Unnamed: 125,Unnamed: 127,2010,Unnamed: 131,2011,Unnamed: 135,Unnamed: 137,2012,Unnamed: 140,2013,Unnamed: 144,2014,Unnamed: 148,2015,Unnamed: 152,Unnamed: 154,2016,Unnamed: 156,2017,Unnamed: 158,2018
,1980,President's,1981,President's,1982,President's,1983,President's,1984,,President's,1985,President's,1986,President's,1987,President's,1988,President's,1989 ,,President's,1990,President's,1991,President's,1992,President's,1993,President's,1994,,President's,1995,President's,1996,President's,1997,President's,1998,,President's,1999,President's,2000,President's,2001,President's,2002,,President's,2003,President's,2004,President's,2005,President's,2006,President's,2007,,President's,2008,President's,2009,2009,President's ,2010,President's ,2011,,President's ,2012,President's ,2013,President's ,2014,President's ,2015,,President's ,2016,President's ,2017,President's 
(in thousands of dollars),Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Recovery Act,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget
Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,
Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,
  ESEA Title I Grants to Local Educational Agencies,2731651,2225266,2611317,2096312,2562753,1726256,2727588,2729939,3003680,  ESEA Title I Grants to Local Educational Agencies,3034519,3200000,3200000,3062400,3261005,3453500,3636853,3829600,4058365,4026100,  ESEA Title I Grants to Local Educational Agencies,4162988,4768258,4959000,5557678,5676750,6134240,6235000,6125923,6500000,6336000,  ESEA Title I Grants to Local Educational Agencies,7000000,6698356,7000000,6730348,7165000,7295232,7540599,7375232,  ESEA Title I Grants to Local Educational Agencies,7767000,7732397,7996020,7941397,8357500,8762721,9060721,10350000,  ESEA Title I Grants to Local Educational Agencies,11350000,11688664,12350000,12342309,13342309,12739571,13342309,12713125,12713125,12838125,  ESEA Title I Grants to Local Educational Agencies,13909900,13898875,14304901,14492401,10000000,12992401,14492401,14492401,14463416,  ESEA Title I Grants to Local Educational Agencies,14792401,14516457,14516457,13760219,14516457,14384802,14384802,14409802,  ESEA Title I Grants to Local Educational Agencies,15409802,14909802,15359802,15386180,15881458
  Reading First,0,0,0,0,0,0,0,0,0,  Reading First,0,0,0,0,0,0,0,0,0,0,  Reading First,0,0,0,0,0,0,0,0,0,0,  Reading First,0,0,0,0,0,0,0,0,  Reading First,0,0,0,0,0,286000,975000,975000,  Reading First,1075000,1068012,1150000,1118362,1257000,1145760,1145760,1132352,1132352,1146900,  Reading First,1136358,505561,1112549,112549,0,162549,0,0,0,  Reading First,0,0,0,0,0,0,0,0,  Reading First,0,0,0,0,0
  Striving Readers,0,0,0,0,0,0,0,0,0,  Striving Readers,0,0,0,0,0,0,0,0,0,0,  Striving Readers,0,0,0,0,0,0,0,0,0,0,  Striving Readers,0,0,0,0,0,0,0,0,  Striving Readers,0,0,0,0,0,0,0,0,  Striving Readers,0,0,0,0,100000,24800,200000,29700,100000,31870,  Striving Readers,100000,35371,100000,35371,0,370371,200000,0,0,  Striving Readers,0,159698,0,151378,0,158000,0,160000,  Striving Readers,160000,190000,190000,190000,0
  High School Intervention,0,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,1240000,0,1475000,0,  High School Intervention,0,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0,0,0,0,  High School Intervention,0,0,0,0,0
  Impact Aid,755000,648500,681750,456000,463222,286880,540200,455000,600300,  Impact Aid,506630,695000,543000,682722,548000,717500,548000,708476,592000,733096,  Impact Aid,629260,732352,660854,780710,620130,834198,532130,840154,688800,913208,  Impact Aid,750000,728000,619000,693000,617000,730000,658000,808000,  Impact Aid,696000,864000,736000,906452,770000,993302,1130500,1143500,  Impact Aid,1140500,1188226,1015500,1229527,1229527,1243862,1240862,1228453,1228453,1228453,  Impact Aid,1228100,1240717,1240718,1265718,100000,1265718,1276183,1276183,1273631,  Impact Aid,1276183,1291186,1224239,1223649,1224239,1288603,1221790,1288603,  Impact Aid,1288603,1305603,1305603,1328603,1236435
  Improving Teacher Quality State Grants,0,0,0,0,0,0,0,0,0,  Improving Teacher Quality State Grants,0,0,0,0,0,0,0,0,0,0,  Improving Teacher Quality State Grants,0,0,0,0,0,0,0,0,0,0,  Improving Teacher Quality State Grants,0,0,0,0,0,0,0,0,  Improving Teacher Quality State Grants,0,0,0,0,0,0,2600000,2850000,  Improving Teacher Quality State Grants,2850000,2930825,2850000,2930126,2930126,2916605,2916605,2887439,2887439,2887439,  Improving Teacher Quality State Grants,2787488,2935248,2835248,2947749,0,2947749,2947749,0,2468054,  Improving Teacher Quality State Grants,0,2466567,0,2337830,0,2349830,2000000,2349830,  Improving Teacher Quality State Grants,2349830,2349830,2250000,2044411,0
