state,state_abbr,latitude,longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,AL,32.799,-86.8073,1205096441,1387975241,1584581070,1672101861,1677873818,1658852571,1774144162.3023155,1986869435.5606759,2472093599.4639006,3061491531.0310545,2879238226.0446415,2845439867.286647,2883319880.1582117,2875991323.5722704,2729781357.9214287,2777873023.725931
Alaska,AK,61.385,-152.2683,227988480,260180178,280079667,299103691,304062005,301221949,305996183.9421146,318560716.1748154,347373459.52648604,427620917.4141768,439835771.0249293,450029057.03722364,443908978.39474666,425276010.97123915,415238723.76199996,442445025.75699997
Arizona,AZ,33.7712,-111.3877,1990909460,2520137525,3103945066,4312713049,4678691268,5024773228,5864572509.832415,6375493472.002057,8052788118.099042,10181765748.049038,8998281669.28803,8048923633.054579,8189692877.575838,7477469185.624355,6241051367.527839,6350539683.38539
Arkansas,AR,34.9513,-92.3809,618218324,733650835,829601733,888970231,930347440,943608285,988744640.7514713,1046683516.9065185,1303196239.4857664,1542976135.7694557,1460922257.2767777,1423079498.214991,1412106992.3086104,1405013759.946279,1334963163.4,1349409057.69
California,CA,36.17,-119.7462,7895473833,9092121808,9928105199,10825485264,11080946384,11259250170,11912567291.204268,12912570107.967741,15405843838.274593,18401548958.991646,17284116871.01024,17137797045.492912,15768503223.823475,16816137362.915615,16727837254.665184,16973949402.153957
Colorado,CO,39.0646,-105.3272,1061188114,1238777106,1416997560,1665593582,1823869012,1906039380,2029026694.8574886,2200548161.3068852,2742721575.5445404,3383144560.2268295,3292972712.714243,3115254276.0142183,3062212569.8883076,2965284073.9779024,2780371880.401291,2821226543.189088
Connecticut,CT,41.5834,-72.7622,703315579,825970250,908683240,965299387,997567838,989209889,1081503458.5414424,1150836530.7865043,1385394653.5959215,1685550602.5165327,1646164335.9890282,1673334566.4696145,1579567772.6881394,1656657509.7006075,1711664970.7,1737793179.5
Delaware,DE,39.3498,-75.5148,187754734,216149404,226632147,286492122,293525157,288998217,325591740.0968576,362014919.07252324,433831127.23378223,529740270.3580239,375182304.8873441,441221808.356023,502047740.2685438,494499653.7357788,407209807.35,413471484.69
District of Columbia,DC,38.9072,-77.037,596359049,663632391,747391195,832483943,716632246,797311644,853788582.6521485,927957391.4116604,1141626722.7769148,1691927260.7137256,2026483134.4335716,1825921477.7796135,1861968102.9025302,1781215702.9155788,1667518725.5,1692720160.0
Florida,FL,27.8333,-81.717,3622745422,4124966740,4631097940,5181788479,5701576524,5805917256,6267422114.950626,6744987113.8798485,8511101401.107056,10463075106.306137,10371606988.969017,10068816174.38293,10071335583.579168,9992845893.930006,8838564032.0297,8964002541.917433
Georgia,GA,32.9866,-83.6487,1973334617,2313606367,2618655949,3047639805,3279800371,3385081272,3511477351.5380144,3907401173.2999687,4948357555.281504,6605891174.707106,5480540148.936842,5345661550.858009,5245788391.58469,5183160669.884556,5116975413.586689,5211385808.515443
Hawaii,HI,21.1098,-157.5311,229367192,271216945,296507436,328434252,356335228,352899977,342789117.55714333,353191297.8982313,413389206.03535044,86355191.05193184,524570627.85130656,520633695.8711002,509054101.6844547,494017468.87579536,451957656.72,466122400.63
Idaho,ID,44.2394,-114.5103,317431995,387946629,443846331,465769792,468785354,467601127,484532926.009973,562589289.008841,690659432.8122847,835840128.8128563,850625017.7736428,792912554.7285218,759674746.7359629,743821754.2032768,679872934.21,687456360.1800001
Illinois,IL,40.3363,-89.0022,3128505463,3787395383,4402319739,4949209265,4728937533,4879526580,5255753297.891718,5813116522.846838,7161797552.681707,9151542441.046131,9240377997.204586,8392571592.130815,7839065368.138483,7649445915.603471,7469049674.004913,7559122434.976425
Indiana,IN,39.8647,-86.2604,1565548276,1831992075,2012969908,2163633194,2243657479,2271212934,2486601473.6962805,2663698921.9775233,3279151829.51748,4430351596.675518,4713456128.018209,4437755509.990668,4205383182.271881,4187494654.7147474,3883891185.2681694,3925191883.120443
Iowa,IA,42.0046,-93.214,901029813,1050102995,1197441529,1359456012,1431675661,1523025722,1960014303.6780062,2276849747.888604,2875339159.601309,4200960739.8985796,4109414058.5561295,3683401846.6426682,3960865384.481829,2775868884.0567627,2421686819.7,2456539630.6
Kansas,KS,38.5111,-96.8005,714466440,831895259,949612346,980808704,996327475,985416174,1038701561.9185973,1114729744.044178,1363485196.2967434,1639412700.683092,638328561.0,635906241.0,1513568780.260771,1611277229.2034452,1499228798.0,1530103359.53
Kentucky,KY,37.669,-84.6514,949124657,1097466524,1236706200,1360229743,1499444374,1499200583,1624990569.6228218,1739805781.3224006,2146866189.1474183,2562570756.5695868,2507020977.2977467,2440632217.103861,2438921453.628294,2346257238.495531,2157474470.8135786,2188350066.0231767
Louisiana,LA,31.1801,-91.8749,1336661483,1454436369,1658234909,1717280472,1673063069,1660398638,1671183286.2159557,1734100593.0742474,2077358089.361903,2335545319.087903,2270917149.7031507,2220360080.5956593,2216834661.001148,2240881517.3290453,2176484426.319391,2206503709.426673
Maine,ME,44.6074,-69.3977,327987375,371144771,402203249,423214886,418711062,427830422,447461242.2228127,478196984.58579665,574159256.7116923,699844636.5463898,697328857.436976,679890129.9367888,657303870.5447232,705625905.7939695,657899840.9048359,668633866.1548359
Maryland,MD,39.0724,-76.7902,1094203563,1248475008,1366392680,1505190669,1564968595,1573459095,1707514008.858193,1914689257.6423488,2311199243.390616,2751359220.2698717,2600882404.963085,2581653431.592053,2509739948.16199,2561599475.7521343,2418090781.2839274,2471948328.630195
Massachusetts,MA,42.2373,-71.5314,1908834439,2158368561,2388397776,2603588836,2670561086,2608631711,2791876591.0046954,3153444000.595341,3807861860.4410057,4216387368.918291,4051605567.212447,3980866176.305411,3827930585.9410553,3890410363.585373,3951763992.255986,4009659208.607105
Michigan,MI,43.3504,-84.5603,2438946185,2853382957,3173344267,3454672680,3612333060,3734005600,4194823730.367516,4795022744.977551,5877161081.299996,6717055727.605217,6171461102.136703,5768368134.203609,5851569061.853476,5755325241.73115,5170171423.315886,5221732633.1448765
Minnesota,MN,45.7326,-93.9196,1266655860,1491617009,1754990277,1939365014,2133466102,2322627249,2720416368.321669,2973502579.962306,3663969867.2182546,4608090142.469979,4585013228.439859,4392252001.962891,4584980154.514042,4593669239.972509,4177354624.2407694,4252465415.3447657
