state,state_abbr,latitude,longitude,date,funding
Alabama,AL,32.799,-86.8073,2001-12-31,1205096441.0
Alaska,AK,61.385,-152.2683,2001-12-31,227988480.0
Arizona,AZ,33.7712,-111.3877,2001-12-31,1990909460.0
Arkansas,AR,34.9513,-92.3809,2001-12-31,618218324.0
California,CA,36.17,-119.7462,2001-12-31,7895473833.0
Colorado,CO,39.0646,-105.3272,2001-12-31,1061188114.0
Connecticut,CT,41.5834,-72.7622,2001-12-31,703315579.0
Delaware,DE,39.3498,-75.5148,2001-12-31,187754734.0
District of Columbia,DC,38.9072,-77.037,2001-12-31,596359049.0
Florida,FL,27.8333,-81.717,2001-12-31,3622745422.0
Georgia,GA,32.9866,-83.6487,2001-12-31,1973334617.0
Hawaii,HI,21.1098,-157.5311,2001-12-31,229367192.0
Idaho,ID,44.2394,-114.5103,2001-12-31,317431995.0
Illinois,IL,40.3363,-89.0022,2001-12-31,3128505463.0
Indiana,IN,39.8647,-86.2604,2001-12-31,1565548276.0
Iowa,IA,42.0046,-93.214,2001-12-31,901029813.0
Kansas,KS,38.5111,-96.8005,2001-12-31,714466440.0
Kentucky,KY,37.669,-84.6514,2001-12-31,949124657.0
Louisiana,LA,31.1801,-91.8749,2001-12-31,1336661483.0
Maine,ME,44.6074,-69.3977,2001-12-31,327987375.0
Maryland,MD,39.0724,-76.7902,2001-12-31,1094203563.0
Massachusetts,MA,42.2373,-71.5314,2001-12-31,1908834439.0
Michigan,MI,43.3504,-84.5603,2001-12-31,2438946185.0
Minnesota,MN,45.7326,-93.9196,2001-12-31,1266655860.0
Mississippi,MS,32.7673,-89.6812,2001-12-31,810714107.0
Missouri,MO,38.4623,-92.302,2001-12-31,1593065077.0
Montana,MT,46.9048,-110.3261,2001-12-31,298360532.0
Nebraska,NE,41.1289,-98.2883,2001-12-31,498722144.0
Nevada,NV,38.4199,-117.1219,2001-12-31,259985925.0
New Hampshire,NH,43.4108,-71.5653,2001-12-31,326084388.0
New Jersey,NJ,40.314,-74.5089,2001-12-31,1568266890.0
New Mexico,NM,34.8375,-106.2371,2001-12-31,530066506.0
New York,NY,42.1497,-74.9384,2001-12-31,6011667167.0
North Carolina,NC,35.6411,-79.8431,2001-12-31,1641764159.0
North Dakota,ND,47.5362,-99.793,2001-12-31,258845309.0
Ohio,OH,40.3736,-82.7755,2001-12-31,2954518787.0
Oklahoma,OK,35.5376,-96.9247,2001-12-31,961098433.0
Oregon,OR,44.5672,-122.1269,2001-12-31,911681573.0
Pennsylvania,PA,40.5773,-77.264,2001-12-31,3795993993.0
Rhode Island,RI,41.6772,-71.5101,2001-12-31,401957614.0
South Carolina,SC,33.8191,-80.9066,2001-12-31,922375423.0
South Dakota,SD,44.2853,-99.4632,2001-12-31,296723889.0
Tennessee,TN,35.7449,-86.7489,2001-12-31,1326565262.0
Texas,TX,31.106,-97.6475,2001-12-31,4760220857.0
Utah,UT,40.1135,-111.8535,2001-12-31,510599570.0
Vermont,VT,44.0407,-72.7093,2001-12-31,253879970.0
Virginia,VA,37.768,-78.2057,2001-12-31,1564714192.0
Washington,WA,47.3917,-121.5708,2001-12-31,1253035444.0
West Virginia,WV,38.468,-80.9696,2001-12-31,520774265.0
Wisconsin,WI,44.2563,-89.6385,2001-12-31,1205201789.0
Wyoming,WY,42.7475,-107.2085,2001-12-31,152676575.0
Alabama,AL,32.799,-86.8073,2002-12-31,1387975241.0
Alaska,AK,61.385,-152.2683,2002-12-31,260180178.0
Arizona,AZ,33.7712,-111.3877,2002-12-31,2520137525.0
Arkansas,AR,34.9513,-92.3809,2002-12-31,733650835.0
California,CA,36.17,-119.7462,2002-12-31,9092121808.0
Colorado,CO,39.0646,-105.3272,2002-12-31,1238777106.0
Connecticut,CT,41.5834,-72.7622,2002-12-31,825970250.0
Delaware,DE,39.3498,-75.5148,2002-12-31,216149404.0
District of Columbia,DC,38.9072,-77.037,2002-12-31,663632391.0
Florida,FL,27.8333,-81.717,2002-12-31,4124966740.0
Georgia,GA,32.9866,-83.6487,2002-12-31,2313606367.0
Hawaii,HI,21.1098,-157.5311,2002-12-31,271216945.0
Idaho,ID,44.2394,-114.5103,2002-12-31,387946629.0
Illinois,IL,40.3363,-89.0022,2002-12-31,3787395383.0
Indiana,IN,39.8647,-86.2604,2002-12-31,1831992075.0
Iowa,IA,42.0046,-93.214,2002-12-31,1050102995.0
Kansas,KS,38.5111,-96.8005,2002-12-31,831895259.0
Kentucky,KY,37.669,-84.6514,2002-12-31,1097466524.0
Louisiana,LA,31.1801,-91.8749,2002-12-31,1454436369.0
Maine,ME,44.6074,-69.3977,2002-12-31,371144771.0
Maryland,MD,39.0724,-76.7902,2002-12-31,1248475008.0
Massachusetts,MA,42.2373,-71.5314,2002-12-31,2158368561.0
Michigan,MI,43.3504,-84.5603,2002-12-31,2853382957.0
Minnesota,MN,45.7326,-93.9196,2002-12-31,1491617009.0
Mississippi,MS,32.7673,-89.6812,2002-12-31,914917630.0
Missouri,MO,38.4623,-92.302,2002-12-31,1825224666.0
Montana,MT,46.9048,-110.3261,2002-12-31,337784625.0
Nebraska,NE,41.1289,-98.2883,2002-12-31,561372404.0
Nevada,NV,38.4199,-117.1219,2002-12-31,315850518.0
New Hampshire,NH,43.4108,-71.5653,2002-12-31,379199766.0
New Jersey,NJ,40.314,-74.5089,2002-12-31,1788556522.0
New Mexico,NM,34.8375,-106.2371,2002-12-31,609110771.0
New York,NY,42.1497,-74.9384,2002-12-31,6856280172.0
North Carolina,NC,35.6411,-79.8431,2002-12-31,1942521331.0
North Dakota,ND,47.5362,-99.793,2002-12-31,293462900.0
Ohio,OH,40.3736,-82.7755,2002-12-31,3346374854.0
Oklahoma,OK,35.5376,-96.9247,2002-12-31,1129165230.0
Oregon,OR,44.5672,-122.1269,2002-12-31,1045914343.0
Pennsylvania,PA,40.5773,-77.264,2002-12-31,4218203051.0
Rhode Island,RI,41.6772,-71.5101,2002-12-31,426601401.0
South Carolina,SC,33.8191,-80.9066,2002-12-31,1086611670.0
South Dakota,SD,44.2853,-99.4632,2002-12-31,342344861.0
Tennessee,TN,35.7449,-86.7489,2002-12-31,1514613174.0
Texas,TX,31.106,-97.6475,2002-12-31,5638643478.0
Utah,UT,40.1135,-111.8535,2002-12-31,594855398.0
Vermont,VT,44.0407,-72.7093,2002-12-31,276976033.0
Virginia,VA,37.768,-78.2057,2002-12-31,1772711389.0
Washington,WA,47.3917,-121.5708,2002-12-31,1501299011.0
West Virginia,WV,38.468,-80.9696,2002-12-31,593509323.0
Wisconsin,WI,44.2563,-89.6385,2002-12-31,1357291868.0
Wyoming,WY,42.7475,-107.2085,2002-12-31,182179355.0
Alabama,AL,32.799,-86.8073,2003-12-31,1584581070.0
Alaska,AK,61.385,-152.2683,2003-12-31,280079667.0
Arizona,AZ,33.7712,-111.3877,2003-12-31,3103945066.0
Arkansas,AR,34.9513,-92.3809,2003-12-31,829601733.0
California,CA,36.17,-119.7462,2003-12-31,9928105199.0
Colorado,CO,39.0646,-105.3272,2003-12-31,1416997560.0
Connecticut,CT,41.5834,-72.7622,2003-12-31,908683240.0
Delaware,DE,39.3498,-75.5148,2003-12-31,226632147.0
District of Columbia,DC,38.9072,-77.037,2003-12-31,747391195.0
Florida,FL,27.8333,-81.717,2003-12-31,4631097940.0
Georgia,GA,32.9866,-83.6487,2003-12-31,2618655949.0
Hawaii,HI,21.1098,-157.5311,2003-12-31,296507436.0
Idaho,ID,44.2394,-114.5103,2003-12-31,443846331.0
Illinois,IL,40.3363,-89.0022,2003-12-31,4402319739.0
Indiana,IN,39.8647,-86.2604,2003-12-31,2012969908.0
Iowa,IA,42.0046,-93.214,2003-12-31,1197441529.0
Kansas,KS,38.5111,-96.8005,2003-12-31,949612346.0
Kentucky,KY,37.669,-84.6514,2003-12-31,1236706200.0
Louisiana,LA,31.1801,-91.8749,2003-12-31,1658234909.0
Maine,ME,44.6074,-69.3977,2003-12-31,402203249.0
Maryland,MD,39.0724,-76.7902,2003-12-31,1366392680.0
Massachusetts,MA,42.2373,-71.5314,2003-12-31,2388397776.0
Michigan,MI,43.3504,-84.5603,2003-12-31,3173344267.0
Minnesota,MN,45.7326,-93.9196,2003-12-31,1754990277.0
Mississippi,MS,32.7673,-89.6812,2003-12-31,1030626853.0
Missouri,MO,38.4623,-92.302,2003-12-31,2061996961.0
Montana,MT,46.9048,-110.3261,2003-12-31,369708627.0
Nebraska,NE,41.1289,-98.2883,2003-12-31,637057108.0
Nevada,NV,38.4199,-117.1219,2003-12-31,363882348.0
New Hampshire,NH,43.4108,-71.5653,2003-12-31,408411200.0
New Jersey,NJ,40.314,-74.5089,2003-12-31,1906148101.0
New Mexico,NM,34.8375,-106.2371,2003-12-31,684817087.0
New York,NY,42.1497,-74.9384,2003-12-31,7590280856.0
North Carolina,NC,35.6411,-79.8431,2003-12-31,2219887909.0
North Dakota,ND,47.5362,-99.793,2003-12-31,318814767.0
Ohio,OH,40.3736,-82.7755,2003-12-31,3829932878.0
Oklahoma,OK,35.5376,-96.9247,2003-12-31,1250970587.0
Oregon,OR,44.5672,-122.1269,2003-12-31,1188324467.0
Pennsylvania,PA,40.5773,-77.264,2003-12-31,4576009648.0
Rhode Island,RI,41.6772,-71.5101,2003-12-31,500204883.0
South Carolina,SC,33.8191,-80.9066,2003-12-31,1240482040.0
South Dakota,SD,44.2853,-99.4632,2003-12-31,373160375.0
Tennessee,TN,35.7449,-86.7489,2003-12-31,1705965593.0
Texas,TX,31.106,-97.6475,2003-12-31,6541541039.0
Utah,UT,40.1135,-111.8535,2003-12-31,674510076.0
Vermont,VT,44.0407,-72.7093,2003-12-31,304548823.0
Virginia,VA,37.768,-78.2057,2003-12-31,1952288975.0
Washington,WA,47.3917,-121.5708,2003-12-31,1663743593.0
West Virginia,WV,38.468,-80.9696,2003-12-31,677382817.0
Wisconsin,WI,44.2563,-89.6385,2003-12-31,1511374487.0
Wyoming,WY,42.7475,-107.2085,2003-12-31,211058170.0
Alabama,AL,32.799,-86.8073,2004-12-31,1672101861.0
Alaska,AK,61.385,-152.2683,2004-12-31,299103691.0
Arizona,AZ,33.7712,-111.3877,2004-12-31,4312713049.0
Arkansas,AR,34.9513,-92.3809,2004-12-31,888970231.0
California,CA,36.17,-119.7462,2004-12-31,10825485264.0
Colorado,CO,39.0646,-105.3272,2004-12-31,1665593582.0
Connecticut,CT,41.5834,-72.7622,2004-12-31,965299387.0
Delaware,DE,39.3498,-75.5148,2004-12-31,286492122.0
District of Columbia,DC,38.9072,-77.037,2004-12-31,832483943.0
Florida,FL,27.8333,-81.717,2004-12-31,5181788479.0
Georgia,GA,32.9866,-83.6487,2004-12-31,3047639805.0
Hawaii,HI,21.1098,-157.5311,2004-12-31,328434252.0
Idaho,ID,44.2394,-114.5103,2004-12-31,465769792.0
Illinois,IL,40.3363,-89.0022,2004-12-31,4949209265.0
Indiana,IN,39.8647,-86.2604,2004-12-31,2163633194.0
Iowa,IA,42.0046,-93.214,2004-12-31,1359456012.0
Kansas,KS,38.5111,-96.8005,2004-12-31,980808704.0
Kentucky,KY,37.669,-84.6514,2004-12-31,1360229743.0
Louisiana,LA,31.1801,-91.8749,2004-12-31,1717280472.0
Maine,ME,44.6074,-69.3977,2004-12-31,423214886.0
Maryland,MD,39.0724,-76.7902,2004-12-31,1505190669.0
Massachusetts,MA,42.2373,-71.5314,2004-12-31,2603588836.0
Michigan,MI,43.3504,-84.5603,2004-12-31,3454672680.0
Minnesota,MN,45.7326,-93.9196,2004-12-31,1939365014.0
Mississippi,MS,32.7673,-89.6812,2004-12-31,1103081748.0
Missouri,MO,38.4623,-92.302,2004-12-31,2258962812.0
Montana,MT,46.9048,-110.3261,2004-12-31,376050552.0
Nebraska,NE,41.1289,-98.2883,2004-12-31,703859098.0
Nevada,NV,38.4199,-117.1219,2004-12-31,400225384.0
New Hampshire,NH,43.4108,-71.5653,2004-12-31,423650638.0
New Jersey,NJ,40.314,-74.5089,2004-12-31,2148413429.0
New Mexico,NM,34.8375,-106.2371,2004-12-31,735023519.0
New York,NY,42.1497,-74.9384,2004-12-31,8106090202.0
North Carolina,NC,35.6411,-79.8431,2004-12-31,2315149754.0
North Dakota,ND,47.5362,-99.793,2004-12-31,323609847.0
Ohio,OH,40.3736,-82.7755,2004-12-31,3919276071.0
Oklahoma,OK,35.5376,-96.9247,2004-12-31,1334923300.0
Oregon,OR,44.5672,-122.1269,2004-12-31,1318760448.0
Pennsylvania,PA,40.5773,-77.264,2004-12-31,4740816851.0
Rhode Island,RI,41.6772,-71.5101,2004-12-31,530793180.0
South Carolina,SC,33.8191,-80.9066,2004-12-31,1313444504.0
South Dakota,SD,44.2853,-99.4632,2004-12-31,375611344.0
Tennessee,TN,35.7449,-86.7489,2004-12-31,1895812898.0
Texas,TX,31.106,-97.6475,2004-12-31,7207764023.0
Utah,UT,40.1135,-111.8535,2004-12-31,762450195.0
Vermont,VT,44.0407,-72.7093,2004-12-31,318894589.0
Virginia,VA,37.768,-78.2057,2004-12-31,2122509463.0
Washington,WA,47.3917,-121.5708,2004-12-31,1780464671.0
West Virginia,WV,38.468,-80.9696,2004-12-31,714586624.0
Wisconsin,WI,44.2563,-89.6385,2004-12-31,1613726426.0
Wyoming,WY,42.7475,-107.2085,2004-12-31,258093648.0
Alabama,AL,32.799,-86.8073,2005-12-31,1677873818.0
Alaska,AK,61.385,-152.2683,2005-12-31,304062005.0
Arizona,AZ,33.7712,-111.3877,2005-12-31,4678691268.0
Arkansas,AR,34.9513,-92.3809,2005-12-31,930347440.0
California,CA,36.17,-119.7462,2005-12-31,11080946384.0
Colorado,CO,39.0646,-105.3272,2005-12-31,1823869012.0
Connecticut,CT,41.5834,-72.7622,2005-12-31,997567838.0
Delaware,DE,39.3498,-75.5148,2005-12-31,293525157.0
District of Columbia,DC,38.9072,-77.037,2005-12-31,716632246.0
Florida,FL,27.8333,-81.717,2005-12-31,5701576524.0
Georgia,GA,32.9866,-83.6487,2005-12-31,3279800371.0
Hawaii,HI,21.1098,-157.5311,2005-12-31,356335228.0
Idaho,ID,44.2394,-114.5103,2005-12-31,468785354.0
Illinois,IL,40.3363,-89.0022,2005-12-31,4728937533.0
Indiana,IN,39.8647,-86.2604,2005-12-31,2243657479.0
Iowa,IA,42.0046,-93.214,2005-12-31,1431675661.0
Kansas,KS,38.5111,-96.8005,2005-12-31,996327475.0
Kentucky,KY,37.669,-84.6514,2005-12-31,1499444374.0
Louisiana,LA,31.1801,-91.8749,2005-12-31,1673063069.0
Maine,ME,44.6074,-69.3977,2005-12-31,418711062.0
Maryland,MD,39.0724,-76.7902,2005-12-31,1564968595.0
Massachusetts,MA,42.2373,-71.5314,2005-12-31,2670561086.0
Michigan,MI,43.3504,-84.5603,2005-12-31,3612333060.0
Minnesota,MN,45.7326,-93.9196,2005-12-31,2133466102.0
Mississippi,MS,32.7673,-89.6812,2005-12-31,1154835325.0
Missouri,MO,38.4623,-92.302,2005-12-31,2356116918.0
Montana,MT,46.9048,-110.3261,2005-12-31,375974288.0
Nebraska,NE,41.1289,-98.2883,2005-12-31,703224866.0
Nevada,NV,38.4199,-117.1219,2005-12-31,447480692.0
New Hampshire,NH,43.4108,-71.5653,2005-12-31,432014135.0
New Jersey,NJ,40.314,-74.5089,2005-12-31,2223697671.0
New Mexico,NM,34.8375,-106.2371,2005-12-31,747461489.0
New York,NY,42.1497,-74.9384,2005-12-31,8153308555.0
North Carolina,NC,35.6411,-79.8431,2005-12-31,2468879245.0
North Dakota,ND,47.5362,-99.793,2005-12-31,340069374.0
Ohio,OH,40.3736,-82.7755,2005-12-31,4034554557.0
Oklahoma,OK,35.5376,-96.9247,2005-12-31,1383106457.0
Oregon,OR,44.5672,-122.1269,2005-12-31,1307882154.0
Pennsylvania,PA,40.5773,-77.264,2005-12-31,5045260714.0
Rhode Island,RI,41.6772,-71.5101,2005-12-31,579074776.0
South Carolina,SC,33.8191,-80.9066,2005-12-31,1325000535.0
South Dakota,SD,44.2853,-99.4632,2005-12-31,404652702.0
Tennessee,TN,35.7449,-86.7489,2005-12-31,1930731025.0
Texas,TX,31.106,-97.6475,2005-12-31,7652047983.0
Utah,UT,40.1135,-111.8535,2005-12-31,763993683.0
Vermont,VT,44.0407,-72.7093,2005-12-31,331030556.0
Virginia,VA,37.768,-78.2057,2005-12-31,2343361290.0
Washington,WA,47.3917,-121.5708,2005-12-31,1790296779.0
West Virginia,WV,38.468,-80.9696,2005-12-31,724741052.0
Wisconsin,WI,44.2563,-89.6385,2005-12-31,1682084698.0
Wyoming,WY,42.7475,-107.2085,2005-12-31,264614902.0
Alabama,AL,32.799,-86.8073,2006-12-31,1658852571.0
Alaska,AK,61.385,-152.2683,2006-12-31,301221949.0
Arizona,AZ,33.7712,-111.3877,2006-12-31,5024773228.0
Arkansas,AR,34.9513,-92.3809,2006-12-31,943608285.0
California,CA,36.17,-119.7462,2006-12-31,11259250170.0
Colorado,CO,39.0646,-105.3272,2006-12-31,1906039380.0
Connecticut,CT,41.5834,-72.7622,2006-12-31,989209889.0
Delaware,DE,39.3498,-75.5148,2006-12-31,288998217.0
District of Columbia,DC,38.9072,-77.037,2006-12-31,797311644.0
Florida,FL,27.8333,-81.717,2006-12-31,5805917256.0
Georgia,GA,32.9866,-83.6487,2006-12-31,3385081272.0
Hawaii,HI,21.1098,-157.5311,2006-12-31,352899977.0
Idaho,ID,44.2394,-114.5103,2006-12-31,467601127.0
Illinois,IL,40.3363,-89.0022,2006-12-31,4879526580.0
Indiana,IN,39.8647,-86.2604,2006-12-31,2271212934.0
Iowa,IA,42.0046,-93.214,2006-12-31,1523025722.0
Kansas,KS,38.5111,-96.8005,2006-12-31,985416174.0
Kentucky,KY,37.669,-84.6514,2006-12-31,1499200583.0
Louisiana,LA,31.1801,-91.8749,2006-12-31,1660398638.0
Maine,ME,44.6074,-69.3977,2006-12-31,427830422.0
Maryland,MD,39.0724,-76.7902,2006-12-31,1573459095.0
Massachusetts,MA,42.2373,-71.5314,2006-12-31,2608631711.0
Michigan,MI,43.3504,-84.5603,2006-12-31,3734005600.0
Minnesota,MN,45.7326,-93.9196,2006-12-31,2322627249.0
Mississippi,MS,32.7673,-89.6812,2006-12-31,1120054323.0
Missouri,MO,38.4623,-92.302,2006-12-31,2455501942.0
Montana,MT,46.9048,-110.3261,2006-12-31,373357573.0
Nebraska,NE,41.1289,-98.2883,2006-12-31,708693051.0
Nevada,NV,38.4199,-117.1219,2006-12-31,452284897.0
New Hampshire,NH,43.4108,-71.5653,2006-12-31,438087063.0
New Jersey,NJ,40.314,-74.5089,2006-12-31,2122576555.0
New Mexico,NM,34.8375,-106.2371,2006-12-31,732575554.0
New York,NY,42.1497,-74.9384,2006-12-31,8196631641.0
North Carolina,NC,35.6411,-79.8431,2006-12-31,2535976395.0
North Dakota,ND,47.5362,-99.793,2006-12-31,350723567.0
Ohio,OH,40.3736,-82.7755,2006-12-31,4122599532.0
Oklahoma,OK,35.5376,-96.9247,2006-12-31,1358397668.0
