State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
ALABAMA  ,2010,2678,70047,108,2183,96,3192,13191,8213,6140,163,230,1178,6370,47,12691,3697,658,176,1022,17457,4421075,15640,74,688,,412,1496,0,155266,97,1878,3772,1084,
ALASKA,2010,2085,16191,33,486,20,1083,4997,2491,496,96,88,118,283,10,3141,2492,280,25,315,5220,705910,3940,161,264,,324,35,11,42084,16,903,2462,420,
ARIZONA,2010,5883,79591,198,4185,3086,16653,36200,30349,3,213,193,1901,2062,268,32822,24236,1411,315,2336,24471,6783974,38616,956,1708,,1626,1145,0,286906,1368,11026,8099,2701,
ARKANSAS,2010,2643,52917,54,2027,462,2755,8616,9753,7168,44,164,670,2001,10,9179,1950,286,67,85,9193,2166546,11546,269,398,,163,777,0,114029,333,1249,3272,796,
CALIFORNIA ,2010,88102,314204,1133,51601,10066,12433,195276,241547,105388,1264,1909,6932,8367,497,86717,17007,12957,1548,246,84758,37923361,152408,11344,18163,,11949,16356,0,1357573,4640,24795,109722,28374,
COLORADO,2010,4471,83255,208,2483,1484,10213,27833,15294,1723,112,441,752,1861,4,19510,12479,971,120,3057,13880,5098950,23172,417,907,,841,647,29,210253,370,5201,5939,1690,
CONNECTICUT,2010,3644,31132,154,2787,32,14206,9621,17092,1,174,234,747,1357,31,13514,1077,646,104,1519,23722,3402212,17101,445,1431,,574,463,0,128670,30,2548,5413,1385,
DELAWARE,2010,1750,4865,44,1145,105,2316,211,5395,607,183,86,480,1678,12,5773,1821,117,31,187,7672,897934,7079,27,600,,156,448,0,37917,876,941,2467,391,
FLORIDA    ,2010,33270,500643,406,28392,,,52346,141831,,815,1546,3562,14989,384,96923,32637,5607,852,,90096,18791299,131328,5048,9419,,2990,3160,,1038651,,7717,45087,6018,
GEORGIA,2010,9871,96605,240,8602,526,26197,28712,41312,3432,419,341,5083,7735,585,39197,10077,2176,410,4421,32790,9826626,50215,1414,2892,,3910,3592,42,340098,1544,3765,13514,4208,
HAWAII,2010,870,23060,30,512,164,791,5922,2078,0,51,111,129,403,38,4229,1157,426,22,26,4862,1207055,5197,296,375,,263,141,0,46875,0,694,1378,225,
IDAHO,2010,1123,23241,51,986,462,2544,10458,6349,305,65,104,218,440,0,5473,4934,183,13,756,5667,1466441,6693,13,105,,300,227,0,65624,11,1094,1345,502,
ILLINOIS ,2010,4273,19806,59,2721,285,13990,3966,42934,0,1,434,246,282,3059,13185,1256,3118,264,377,21421,12989829,19083,2525,2594,,700,47,0,145657,141,4041,7565,3932,
INDIANA,2010,3347,32330,92,2902,709,4353,17405,16728,10686,6,109,1069,1441,18,17392,10131,688,115,1428,12163,6819446,21074,203,762,,903,889,154,139062,100,1763,4333,1176,
IOWA,2010,3660,25917,115,1871,607,6400,11548,9031,11549,101,105,465,851,8,11615,7509,387,20,947,10061,2674284,13988,123,273,,210,179,0,106800,13,2751,4058,484,
KANSAS,2010,2056,21873,73,1003,0,3175,12969,8122,340,167,179,465,1216,1,5815,6354,339,43,232,11615,1978746,7230,185,284,,296,299,0,79565,0,1818,2562,646,
KENTUCKY,2010,2018,42942,84,3216,51,5357,21148,18277,19213,295,222,1452,811,15,13066,469,407,113,3630,9553,4042574,16773,275,1075,,360,1660,0,148208,496,991,3428,1012,
LOUISIANA,2010,8043,45602,102,3812,133,7229,8143,19324,2406,159,192,629,1884,61,18008,2176,688,163,1092,15633,4616792,22610,257,906,,593,1279,95,142872,212,2301,9304,1750,
MAINE,2010,403,16420,103,1493,59,1924,6203,5933,35,43,68,319,742,2,6209,4961,234,19,107,6637,1328361,8039,10,201,,285,211,0,54566,10,1522,691,413,
MARYLAND,2010,7117,90034,409,5813,321,6544,18526,44888,1,275,305,1082,1794,240,21528,6748,1791,271,2064,27873,5704436,29541,1465,3385,,1252,181,256,251633,161,3654,11078,3655,
MASSACHUSETTS,2010,10667,36299,136,3934,4,7942,11634,12086,7443,148,383,676,1422,15,15199,4601,768,87,2134,22612,6131066,20037,905,1850,,657,1478,54,148282,10,3541,12987,1597,
MICHIGAN,2010,9733,78982,281,6211,886,9709,34882,34513,348,925,665,764,5152,118,26782,16732,1988,187,2774,30457,9249545,35262,446,2567,,1010,1799,0,275769,332,3406,13152,4120,
MINNESOTA ,2010,4019,34547,177,2833,2091,13095,24978,17501,1,39,,1179,2721,19,24552,22990,980,90,664,16873,5303925,28542,966,1037,,1463,1736,0,180703,554,3908,,1690,
MISSISSIPPI,2010,1103,38018,74,2525,466,7081,11005,11004,5200,497,142,662,1662,126,8970,1858,352,116,3480,11391,2569211,11921,149,612,,393,662,88,109802,136,1071,1973,959,
MISSOURI,2010,7849,95900,302,6066,1947,12951,29655,33964,553,230,374,1986,2894,99,32812,10241,1473,145,4138,29970,5974070,40653,338,1851,,2010,2847,0,289495,219,5387,10219,3294,
MONTANA,2010,672,4398,29,233,359,2830,3659,1494,0,21,25,38,153,0,3259,3040,198,9,347,3270,858976,3719,1,54,,66,15,0,25058,4,801,760,83,
NEBRASKA,2010,1484,16296,78,863,292,3730,12488,10177,0,54,163,497,1425,10,8782,10526,358,60,1386,8870,1641088,10081,148,332,,609,790,0,83132,37,2807,2039,870,
NEVADA,2010,4445,53453,100,2521,2164,2634,13412,16268,228,408,143,880,1545,19,12513,8557,538,113,1327,16820,2397300,15672,3738,1576,,1355,1494,2,152050,1686,2514,6277,1597,
NEW HAMPSHIRE,2010,510,13790,37,587,17,1450,4355,3915,3602,38,63,211,762,5,3507,4411,69,5,178,6438,1144113,4200,24,187,,162,663,0,46438,52,1284,765,116,
NEW JERSEY,2010,8271,138472,280,5951,3419,19974,26016,49072,0,169,313,1681,3798,106,26635,6640,642,254,13284,26206,8598088,33508,1489,3825,,1441,3182,0,351747,839,5488,12663,4300,
NEW MEXICO,2010,3778,47950,164,1636,10,3522,11307,8814,845,207,122,296,613,37,10178,5189,384,86,1351,10545,2807829,12362,347,330,,210,585,77,110709,50,1368,4316,708,
NEW YORK ,2010,9724,72360,326,8256,0,14017,36578,62519,0,103,503,2742,6487,147,45462,4620,2051,234,623,37980,19600548,56095,783,3372,,3708,5008,0,338474,868,16304,13833,3699,
NORTH CAROLINA,2010,13789,135390,369,15196,0,13958,50907,33170,0,1473,598,2064,17435,81,43788,9634,1180,553,6577,54262,9886978,60533,1145,3671,,1504,4543,0,425700,279,7407,18611,6727,
NORTH DAKOTA,2010,351,4577,10,232,249,2167,3945,1938,196,35,39,77,613,0,2449,5072,129,7,113,1846,605751,2820,5,31,,82,143,0,24900,1,475,428,118,
OHIO,2010,3940,64347,222,6725,1267,19318,36259,31465,3602,37,511,1509,2902,45,30710,11723,935,183,4172,36172,11539835,38592,1724,2790,,799,3436,79,272655,39,4516,7424,3228,
OKLAHOMA,2010,4495,41812,253,3017,1974,2846,17446,19714,21859,487,243,795,2278,46,14892,2551,442,161,895,9387,3706617,18604,247,761,,660,2233,0,153958,1111,1431,5660,1922,
OREGON,2010,2738,18324,255,2343,1504,9421,13600,15600,0,37,222,745,1586,1,19943,14350,1165,82,468,12414,3337173,23706,296,971,,1102,339,0,123440,5,4438,4013,1491,
PENNSYLVANIA,2010,15836,53938,644,9389,19166,58285,51402,55858,24949,400,975,2703,7404,139,46175,22405,2595,556,1206,48237,12300834,58803,1958,6896,,2681,2792,0,452862,1338,10642,24263,4293,
RHODE ISLAND,2010,606,12177,52,834,4,3376,2574,3782,17,110,61,143,585,0,2748,1162,151,9,101,4815,1040938,3785,103,270,,107,393,0,35893,0,1305,946,408,
SOUTH CAROLINA,2010,6789,31280,129,4484,115,15479,19245,30435,11706,403,305,1676,7358,321,20805,9613,838,239,1136,21652,4393409,26256,624,1486,,562,2063,0,195496,961,3386,8819,2406,
SOUTH DAKOTA,2010,451,2371,12,353,196,1765,4883,2903,68,32,47,102,598,0,2942,5066,112,11,254,3469,732552,3419,22,39,,57,94,0,26717,171,537,548,162,
TENNESSEE,2010,12095,125823,219,6384,1938,9884,20589,37512,17104,719,335,2478,6438,408,32097,6102,1737,253,2359,29574,5932498,40437,2387,2296,,737,775,0,327693,35,4306,14979,3109,
TEXAS,2010,22842,335855,567,19493,8459,37961,93533,136966,130295,522,1851,6958,13033,624,115161,26607,4656,767,5414,112198,24862112,139877,7554,7612,,4301,908,0,1120190,2184,13205,33072,10664,
UTAH,2010,1345,40909,80,1406,1175,5224,7170,10728,4337,20,238,953,1091,1,18872,10063,325,43,1562,11330,2669959,20683,414,444,,848,774,0,125124,212,4300,2070,1260,
VERMONT,2010,367,2353,18,306,0,553,2461,1156,3,37,77,50,225,0,1208,428,80,6,293,1346,645701,1612,5,19,,14,105,0,11458,0,339,469,9,
VIRGINIA,2010,4608,122233,265,4486,2737,5701,28680,33666,34766,1646,366,2268,7425,78,30893,13618,1045,293,2072,42988,7864147,36689,689,2005,,1217,999,0,353473,233,4719,7272,3777,
WASHINGTON,2010,5038,66995,223,5059,34,4835,34098,20644,10,85,583,1238,954,7,25895,8434,1237,108,562,26736,6269545,32414,836,1898,,876,2489,0,217761,54,6292,7627,2541,
WEST VIRGINIA,2010,1625,11561,53,875,64,1098,4922,6235,3388,139,60,434,802,10,4839,1711,193,26,87,6347,1488466,5960,114,178,,125,345,0,46370,7,822,1889,310,
WISCONSIN,2010,4711,91312,142,3949,4263,49517,29549,22651,5,164,626,1027,3817,165,28916,28373,958,139,2215,16488,5037442,33965,358,1777,,2311,1483,2,309381,2977,8168,7253,3318,
WYOMING,2010,422,10269,19,350,429,1313,5810,3103,2374,4,38,74,200,0,2418,3760,84,6,194,3168,559126,2871,7,23,,148,68,15,35170,27,748,489,99,
ALABAMA  ,2009,3485,75466,125,4031,27,4093,13924,15180,8868,158,325,1569,7614,120,19080,4854,868,292,860,24341,4682108,24104,296,1657,184,550,1932,0,193586,274,2034,5759,1379,
ALASKA,2009,1763,15579,42,390,16,949,5428,2050,367,90,77,116,276,0,3236,2391,269,22,315,4947,682496,3937,217,283,166,191,37,3,40349,0,764,2145,365,
