State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ALABAMA,4447100,4464356,4486508,4500752,4530182,4557808,4599030,4627851,4661900,4708708,4779736,4802740
ALASKA,626932,634892,643786,648818,655435,663661,670053,683478,686293,698473,710231,722718
ARIZONA,5130632,5307331,5456453,5580811,5743834,5939292,6166318,6338755,6500180,6595778,6392017,6482505
ARKANSAS,2673400,2692090,2710079,2725714,2752629,2779154,2810872,2834797,2855390,2889450,2915918,2937979
CALIFORNIA,33871648,34501130,35116033,35484453,35893799,36132147,36457549,36553215,36756666,36961664,37253956,37691912
COLORADO,4301261,4417714,4506542,4550688,4601403,4665177,4753377,4861515,4939456,5024748,5029196,5116796
CONNECTICUT,3405565,3425074,3460503,3483372,3503604,3510297,3504809,3502309,3501252,3518288,3574097,3580709
DELAWARE,783600,796165,807385,817491,830364,843524,853476,864764,873092,885122,897934,907135
FLORIDA,15982378,16396515,16713149,17019068,17397161,17789864,18089888,18251243,18328340,18537969,18801310,19057542
GEORGIA,8186453,8383915,8560310,8684715,8829383,9072576,9363941,9544750,9685744,9829211,9687653,9815210
HAWAII,1211537,1224398,1244898,1257608,1262840,1275194,1285498,1283388,1288198,1295178,1360301,1374810
IDAHO,1293953,1321006,1341131,1366332,1393262,1429096,1466465,1499402,1523816,1545801,1567582,1584985
ILLINOIS,12419293,12482301,12600620,12653544,12713634,12763371,12831970,12852548,12901563,12910409,12830632,12869257
INDIANA,6080485,6114745,6159068,6195643,6237569,6271973,6313520,6345289,6376792,6423113,6483802,6516922
IOWA,2926324,2923179,2936760,2944062,2954451,2966334,2982085,2988046,3002555,3007856,3046355,3062309
KANSAS,2688418,2694641,2715884,2723507,2735502,2744687,2764075,2775997,2802134,2818747,2853118,2871238
KENTUCKY,4041769,4065556,4092891,4117827,4145922,4173405,4206074,4241474,4269245,4314113,4339367,4369356
LOUISIANA,4468976,4465430,4482646,4496334,4515770,4523628,4287768,4293204,4410796,4492076,4533372,4574836
MAINE,1274923,1286670,1294464,1305728,1317253,1321505,1321574,1317207,1316456,1318301,1328361,1328188
MARYLAND,5296486,5375156,5458137,5508909,5558058,5600388,5615727,5618344,5633597,5699478,5773552,5828289
MASSACHUSETTS,6349097,6379304,6427801,6433422,6416505,6398743,6437193,6449755,6497967,6593587,6547629,6587536
MICHIGAN,9938444,9990817,10050446,10079985,10112620,10120860,10095643,10071822,10003422,9969727,9883640,9876187
MINNESOTA,4919479,4972294,5019720,5059375,5100958,5132799,5167101,5197621,5220393,5266214,5303925,5344861
MISSISSIPPI,2844658,2858029,2871782,2881281,2902966,2921088,2910540,2918785,2938618,2951996,2967297,2978512
MISSOURI,5595211,5629707,5672579,5704484,5754618,5800310,5842713,5878415,5911605,5987580,5988927,6010688
MONTANA,902195,904433,909453,917621,926865,935670,944632,957861,967440,974989,989415,998199
NEBRASKA,1711263,1713235,1729180,1739291,1747214,1758787,1768331,1774571,1783432,1796619,1826341,1842641
NEVADA,1998257,2106074,2173491,2241154,2334771,2414807,2495529,2565382,2600167,2643085,2700551,2723322
NEW HAMPSHIRE,1235786,1259181,1275056,1287687,1299500,1309940,1314895,1315828,1315809,1324575,1316470,1318194
NEW JERSEY,8414350,8484431,8590300,8638396,8698879,8717925,8724560,8685920,8682661,8707739,8791894,8821155
NEW MEXICO,1819046,1829146,1855059,1874614,1903289,1928384,1954599,1969915,1984356,2009671,2059179,2082224
NEW YORK,18976457,19011378,19157532,19190115,19227088,19254630,19306183,19297729,19490297,19541453,19378102,19465197
NORTH CAROLINA,8049313,8186268,8320146,8407248,8541221,8683242,8856505,9061032,9222414,9380884,9535483,9656401
NORTH DAKOTA,642200,634448,634110,633837,634366,636677,635867,639715,641481,646844,672591,683932
OHIO,11353140,11373541,11421267,11435798,11459011,11464042,11478006,11466917,11485910,11542645,11536504,11544951
OKLAHOMA,3450654,3460097,3493714,3511532,3523553,3547884,3579212,3617316,3642361,3687050,3751351,3791508
OREGON,3421399,3472867,3521515,3559596,3594586,3641056,3700758,3747455,3790060,3825657,3831074,3871859
PENNSYLVANIA,12281054,12287150,12335091,12365455,12406292,12429616,12440621,12432792,12448279,12604767,12702379,12742886
RHODE ISLAND,1048319,1058920,1069725,1076164,1080632,1076189,1067610,1057832,1050788,1053209,1052567,1051302
SOUTH CAROLINA,4012012,4063011,4107183,4147152,4198068,4255083,4321249,4407709,4479800,4561242,4625364,4679230
SOUTH DAKOTA,754844,756600,761063,764309,770883,775933,781919,796214,804194,812383,814180,824082
TENNESSEE,5689283,5740021,5797289,5841748,5900962,5962959,6038803,6156719,6214888,6296254,6346105,6403353
TEXAS,20851820,21325018,21779893,22118509,22490022,22859968,23507783,23904380,24326974,24782302,25145561,25674681
UTAH,2233169,2269789,2316256,2351467,2389039,2469585,2550063,2645330,2736424,2784572,2763885,2817222
VERMONT,608827,613090,616592,619107,621394,623050,623908,621254,621270,621760,625741,626431
VIRGINIA,7078515,7187734,7293542,7386330,7459827,7567465,7642884,7712091,7769089,7882590,8001024,8096604
WASHINGTON,5894121,5987973,6068996,6131445,6203788,6287759,6395798,6468424,6549224,6664195,6724540,6830038
WEST VIRGINIA,1808344,1801916,1801873,1810354,1815354,1816856,1818470,1812035,1814468,1819777,1852994,1855364
WISCONSIN,5363675,5401906,5441196,5472299,5509026,5536201,5556506,5601640,5627967,5654774,5686986,5711767
WYOMING,493782,494423,498703,501242,506529,509294,515004,522830,532668,544270,563626,568158
