Aggravated assault,All other offenses (except traffic),Area,Arson,Burglary,Crime Index Total,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),State,"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",Year
"14,107",,State Total,,"40,331","202,159",,,,,,,"1,482",,,,"127,399",,"12,809",329,,,"4,447,100","180,539",,"5,702",,,ALABAMA,,,"202,159",,,"21,620",,2000
"2,540",,State Total,,"3,899","26,641",,,,,,,497,,,,"16,838",,"2,350",27,,,"626,932","23,087",,490,,,ALASKA,,,"26,641",,,"3,554",,2000
"17,841",,State Total,,"51,902","299,092",,,,,,,"1,577",,,,"176,705",,"43,204",359,,,"5,130,632","271,811",,"7,504",,,ARIZONA,,,"299,092",,,"27,281",,2000
"8,887",,State Total,,"21,443","110,019",,,,,,,848,,,,"69,740",,"6,932",168,,,"2,673,400","98,115",,"2,001",,,ARKANSAS,,,"110,019",,,"11,904",,2000
"138,418",,State Total,,"222,293","1,266,714",,,,,,,"9,785",,,,"651,855",,"182,035","2,079",,,"33,871,648","1,056,183",,"60,249",,,CALIFORNIA,,,"1,266,714",,,"210,531",,2000
"9,425",,State Total,,"27,133","171,304",,,,,,,"1,774",,,,"112,843",,"16,961",134,,,"4,301,261","156,937",,"3,034",,,COLORADO,,,"171,304",,,"14,367",,2000
"6,450",,State Total,,"17,436",Not given,,,,,,,678,,,,"68,498",,"13,099",98,,,"3,405,565", ,,"3,832",,,CONNECTICUT,,,Not given,,,"11,058",,2000
"3,520",,State Total,,"5,216","35,090",,,,,,,424,,,,"21,360",,"3,151",25,,,"783,600","29,727",,"1,394",,,DELAWARE,,,"35,090",,,"5,363",,2000
"4,582",,State Total,,"4,745","41,626",,,,,,,251,,,,"21,655",,"6,600",239,,,"572,059","33,000",,"3,554",,,DISTRICT OF COLUMBIA,,,"41,626",,,"8,626",,2000
"90,008",,State Total,,"172,898","910,154",,,,,,,"7,057",,,,"518,298",,"89,181",903,,,"15,982,378","780,377",,"31,809",,,FLORIDA,,,"910,154",,,"129,777",,2000
"25,450",,State Total,,"68,488","388,949",,,,,,,"1,968",,,,"240,440",,"38,702",651,,,"8,186,453","347,630",,"13,250",,,GEORGIA,,,"388,949",,,"41,319",,2000
"1,450",,State Total,,"10,665","62,987",,,,,,,346,,,,"43,254",,"6,114",35,,,"1,211,537","60,033",,"1,123",,,HAWAII,,,"62,987",,,"2,954",,2000
"2,644",,State Total,,"7,330","41,228",,,,,,,384,,,,"28,545",,"2,086",16,,,"1,293,953","37,961",,223,,,IDAHO,,,"41,228",,,"3,267",,2000
"50,828",,State Total,,"81,913","532,315",,,,,,,"4,090",,,,"312,692",,"56,143",891,,,"12,419,293","450,748",,"25,758",,,ILLINOIS,,,"532,315",,,"81,567",,2000
