State,cor_2000,cor_2001,cor_2002,cor_2003,cor_2004,cor_2005,cor_2006,cor_2007,cor_2008,cor_2009,cor_2010
Alabama,278856,303759,331476,356928,397943,422780,451885,514385,525281,541049,551544
Alaska,173624,172610,173844,182046,176642,196953,210204,237144,243961,259889,270536
Arizona,719690,760323,733455,731041,790485,852183,879959,946922,1023693,1135021,1061067
Arkansas,275158,290520,284600,305803,351786,348766,394989,331717,361537,305250,369684
California,4244680,5313697,5596427,5690346,5875717,6020393,6795960,8093209,8829940,9110775,7956461
Colorado,689090,704421,734457,723572,701710,732757,817687,895827,996266,1084368,985100
Connecticut,555449,604890,637897,615670,558043,583273,617988,668179,723346,735438,682065
Delaware,228076,247987,245203,206085,202782,218016,244736,265937,280710,272763,261950
Florida,2218703,2248117,2199630,2141271,2185039,2307216,2440853,2542387,2770179,2670803,2504397
Georgia,1007576,1006301,1271639,1271565,1304039,1297881,1383353,1465496,1571961,1429373,1432460
Hawaii,154622,148607,157286,135034,158029,170434,179322,197273,219070,230656,206695
Idaho,149835,159142,171684,164813,170981,186581,199818,210533,244504,257810,223624
Illinois,1343545,1390834,1359318,1369510,1284453,1130228,1150677,1209228,1244230,1293462,1301450
Indiana,554995,613036,640711,654475,675194,678587,627610,632737,676633,674337,669218
Iowa,279196,291914,288666,294911,219859,227377,240624,259104,291406,292609,289856
Kansas,317890,336495,326372,336268,316669,307630,313137,317649,361648,358672,341998
Kentucky,412032,460919,435206,474334,452482,432359,458835,471523,527311,505941,511528
Louisiana,530955,581057,627743,619414,608725,637139,655377,651468,773076,832499,774510
Maine,91882,94514,105580,107345,112083,123645,126723,130051,141982,148446,145588
Maryland,903548,978505,1059972,1050389,1064123,1060157,1189204,1376322,1366211,1412584,1392836
Massachusetts,765464,1033143,1070950,1049512,972276,978756,1071439,1217913,1332960,1329086,1203611
Michigan,1537371,1675379,1690175,1678957,1637305,1674237,1720796,1801658,1863464,1779209,1684525
Minnesota,364821,381037,416429,403527,411061,408755,442046,535237,536760,554952,508658
Mississippi,256750,271627,272024,295629,306477,297852,309747,326751,369248,367878,366733
Missouri,529451,604714,619674,656273,609300,632552,605601,669121,754740,765995,719591
Montana,104223,106955,106311,103384,121156,124632,143466,146574,168127,180160,184888
Nebraska,172628,176136,176389,182378,188457,194709,198847,212598,219278,228871,237884
Nevada,220695,235568,226554,216356,234116,244584,262876,294380,367241,398522,298822
New Hampshire,85522,83968,79500,95637,94423,123618,116802,109525,112265,107683,114567
New Jersey,1161043,1206768,1193432,1294773,1375329,1383350,1421376,1489950,1496976,1473703,1563653
New Mexico,216722,223023,241454,264845,254639,291444,291164,341179,376627,379599,413725
New York,2440336,2566911,2492277,2535996,2586817,2575383,2711744,3126699,3135187,3083344,3266368
North Carolina,907378,937572,923487,942711,1041109,1175790,1150502,1271328,1324484,1353509,1436294
North Dakota,31104,37605,38522,44526,45458,51108,56819,54283,61368,66027,72657
Ohio,1627946,1581349,1440803,1686179,1558121,1538207,1604952,1335897,1668729,1732289,1605846
Oklahoma,467617,486255,520912,486313,501001,520801,559240,586836,616933,629731,587482
Oregon,552483,575836,592910,533090,494152,544191,639605,697622,720504,713821,754369
Pennsylvania,1469375,1558157,1521611,1359531,1488414,1713859,1567499,1720374,1744264,1702602,1874225
Rhode Island,139225,151172,157531,159095,162234,165827,172162,178364,199394,179649,174958
South Carolina,437104,480952,424031,426300,419758,403758,440638,470894,514479,486737,460351
South Dakota,62831,66745,69673,79858,61675,74141,107094,103166,110268,114507,110189
Tennessee,449107,491727,529747,558669,596095,619807,680730,769362,768711,810953,758842
Texas,2766911,3074359,3157124,3201068,2972593,3127702,3043724,3302304,3565217,3689841,3691934
Utah,245401,265689,267607,261283,275912,288684,301100,310334,332828,333720,302043
Vermont,66127,71988,79771,81767,93827,97590,103120,114748,120328,120183,125326
Virginia,1123734,1247296,1243090,1194241,1215898,1285925,1374956,1425372,1547571,1547595,1496231
Washington,731277,730116,735214,786781,796810,901258,953652,1090342,1205895,1158924,1063830
West Virginia,156190,122009,170305,182064,182906,200802,214702,233639,241996,256169,270717
Wisconsin,837496,932819,965801,906725,918706,931325,948041,1027163,1084127,1136178,1131141
Wyoming,73469,80018,83268,89551,91003,184364,126722,117171,164617,149257,137524
